Date     Time          Kurs            Volume
18DEC 16:50:00      312.00   b     600
18DEC 16:12:00      307.00   b     340
18DEC 15:06:00      305.00   b     561
18DEC 14:45:00      304.00   b     360
18DEC 14:07:00      302.00   b      85
18DEC 13:45:00      300.00   b     787
18DEC 12:55:00      300.00   b    1112
18DEC 12:24:00      299.00   b     530
18DEC 12:13:00      295.00   b    1203
18DEC 12:07:00 k    301.00   b     460
18DEC 11:39:00      303.00   b     150
18DEC 11:25:00      302.00   b     702
18DEC 10:52:00      305.00   b    1094
18DEC 09:56:00      306.00   b     430
18DEC 09:30:00      305.00   b     213
18DEC 09:13:00      306.00   b     548
18DEC 08:55:00      310.00   b     555

Gruß

Gianni
