Guten Tag,

hier wieder die DAX-Daten aus dem vergangenen Quartal.
Daten aus weiter zurueckliegender Zeit (bis Q2/1997) befinden sich auf

ftp://ftp.neuroinformatik.ruhr-uni-bochum.de/pub/outgoing/fritzke/dax/

In diesem Verzeichnis befindet sich auch eine html-Seite
(Welcome.html), die den Zugriff auf diese Daten etwas
benutzerfreundlicher gestaltet. Vielen Dank hierbei an
Otto Twardella, der diesen Service ermoeglicht hat.

Giovanni

P.S. Ich suche eine neue Heimat fuer das Daten-Archiv. Falls jemand auf
seinem ftp- oder Web-Server Platz dafuer hat, bitte eine Mail an mich. 
Moeglicherweise werde ich auch eine eigene www-Seite dafuer einrichten
(auf Geocities o.ae.).


Deutscher Aktien-Index (DAX) 3. Quartal 1998 (Juli - September)


Datum      Schluss Hoechst Tiefst  Eroeffnung

17.06.1998 5906.85 5936.34 5857.92 5863.25
18.06.1998 5904.10 5980.30 5896.52 5935.54
19.06.1998 5953.16 5960.70 5913.04 5917.24
22.06.1998 5918.37 5986.14 5906.42 5970.86
23.06.1998 5960.98 5995.11 5956.38 5960.17
24.06.1998 6013.14 6022.15 5957.19 5980.31
25.06.1998 5996.77 6052.13 5990.55 6037.76
26.06.1998 5982.42 6022.58 5912.60 5974.81
29.06.1998 6019.48 6056.09 5991.02 5991.02
30.06.1998 6095.28 6096.46 6022.76 6022.94
01.07.1998 6108.24 6150.47 6085.32 6140.24
02.07.1998 6094.02 6157.70 6090.01 6100.61
03.07.1998 6147.87 6167.51 6114.05 6115.79
06.07.1998 6171.43 6199.58 6127.66 6162.04
07.07.1998 6165.52 6217.83 6165.52 6181.56
08.07.1998 6110.73 6189.11 6105.50 6151.74
09.07.1998 6058.45 6138.92 6025.97 6131.90
10.07.1998 6035.28 6060.83 5956.81 6006.09
13.07.1998 5885.00 6071.11 5885.00 6029.74
14.07.1998 5889.01 5970.41 5863.16 5949.61
15.07.1998 5853.63 5888.52 5810.95 5870.55
16.07.1998 5880.87 5898.37 5837.51 5865.83
17.07.1998 5873.92 5966.15 5873.92 5923.96
20.07.1998 5758.77 5811.42 5731.18 5811.42
21.07.1998 5756.20 5818.15 5734.59 5738.60
22.07.1998 5632.51 5641.39 5559.96 5579.06
23.07.1998 5517.64 5670.35 5517.64 5658.34
24.07.1998 5581.22 5590.08 5537.82 5572.47
27.07.1998 5476.25 5607.75 5476.25 5594.93
28.07.1998 5268.40 5478.55 5258.50 5472.40
29.07.1998 5402.37 5425.02 5340.96 5340.96
30.07.1998 5356.23 5393.27 5239.10 5381.42
31.07.1998 5447.90 5483.16 5355.40 5360.38
03.08.1998 5456.58 5456.58 5336.20 5408.64
04.08.1998 5568.88 5581.67 5497.73 5497.73
05.08.1998 5596.41 5672.07 5596.41 5640.20
06.08.1998 5488.22 5645.32 5485.44 5594.62
07.08.1998 5163.51 5475.76 5163.38 5475.76
10.08.1998 5234.88 5271.20 5155.03 5203.88
11.08.1998 5371.76 5389.59 5273.81 5273.81
12.08.1998 5231.61 5385.28 5218.80 5378.76
13.08.1998 5060.84 5235.62 5021.70 5200.64
14.08.1998 4993.54 5017.38 4752.40 4940.02
17.08.1998 4833.89 4979.28 4821.20 4955.10
18.08.1998 4791.81 4839.01 4673.21 4727.35
19.08.1998 4970.50 5011.45 4912.05 4913.30
20.08.1998 4812.18 4918.12 4752.82 4915.95
21.08.1998 4820.25 4945.47 4765.33 4790.32
24.08.1998 4923.37 5000.67 4876.81 4910.74
25.08.1998 5103.84 5104.78 4951.62 4967.81
26.08.1998 5040.87 5161.40 5007.11 5148.73
27.08.1998 4747.33 4951.69 4725.11 4951.69
28.08.1998 4737.15 4777.79 4606.04 4686.70
31.08.1998 4896.49 4916.43 4834.12 4834.12
01.09.1998 4831.22 4958.37 4793.80 4916.81
02.09.1998 4857.97 4952.45 4848.25 4848.25
03.09.1998 4669.51 4839.51 4629.04 4838.59
04.09.1998 4598.57 4769.91 4554.36 4741.98
07.09.1998 4433.87 4576.78 4357.42 4573.44
08.09.1998 4575.15 4604.70 4529.52 4529.52
09.09.1998 4699.39 4701.33 4561.91 4563.97
10.09.1998 4646.25 4848.62 4645.33 4848.62
11.09.1998 4561.57 4575.44 4461.88 4575.44
14.09.1998 4653.94 4699.72 4549.79 4562.47
15.09.1998 4578.27 4671.15 4575.03 4669.13
16.09.1998 4474.51 4558.40 4463.94 4558.40
