Die Gewinner und Verlierer der Börsenwoche vom  27.07.98 -  
10.07.98bekannt

Wochen-Hits      03.08.98   27.07.98     %
Graphitwerk Kro.    66.00      51.00  23.5
Verena           885.00     705.00  18.6
Bräunel Rundf.   261.00     208.00  18.6
ZWL Grundb.-u.B.    75.30      63.00  12.6
Technotrans        160.00     139.00  8.2
Kamps               61.00      53.00  8.2
Thoben           753.00     655.00  14. 12. 19
W�rttLeben         880.00     765.00  14. 12. 19
Dörries Scharm.      0.60       0.53  9.3
Deborah              610.00     540.00  13.0

Wochen-Flops     03.08.98   27.07.98      %
CompuGroup VZ       28.00      34.90  -12.9
Tawu VZ konv.   105.00     125.00  -16.0
Kinderglück     182.00     215.00  -15.4
Timo              135.00     159.00  -8.2
Stillrich         27.80      32.50  -14.5
Thierry & Sohn       7.60       8.80  -13.6
Lüdershausener Freivk.  1752.00    1995.00  -12.2
Niewiera-Holding       15.50      17.50  -11.4
Agrob FALLS           430.00     485.00  -11.3
Vomfell          515.50     581.00  -11.3

ots Originaltext von Börse Online
