Hier die fuer Institutionelle letzlich doch zu geringen Volumina
in MobilCom:

      1999-03-13  42270
      1999-03-12   21122
      1999-03-11  25084
      1999-03-10  20478
      1999-03-09  32366
      1999-03-06 29265
      1999-03-05 16749
      1999-03-03 25654
      1999-03-02 7200
      1999-02-27 10688
      1999-02-26 9489
      1999-02-25 8600
      1999-02-24 3182
      1999-02-23 6875
      1999-02-20 11050
      1999-02-19 5999
      1999-02-18 11605
      1999-02-17 20596
      1999-02-16 20195


Michel Hirsemann
