Hier eine kleine Zusammenstellung von zocker Optionen
auf schweizer Aktien.

Symbol   Type Strike  Expiry    Ratio  Last   Volume  Premium   Premium_p_a
ABBOX    call 2500    28.04.99  100    0.53   347000  35.8      50.64
ABBRO    call 2200    28.04.99  1000   1.83   200000  114.36    161.79
ABBT     call 2143    27.01.98  50     1.65   1079600 18.38     40.17
ABBX     call 1896    03.03.99  50     3.54   557800  10.27     18.55
BABML    call 6000    02.06.98  400    2.6    102300  235.08    292.85
BALOP    call 2700    28.06.99  100    4.45   109700  10.93     12.51
CIBRO    call 150     28.04.99  100    1.4    253500  71.09     100.58
CSGRO    call 220     28.04.99  100    2.01   155000  78.96     111.7
CSVON    call 230     26.04.99  25     1.16   200500  10.1      14.39
NOVEO    call 2300    28.04.99  1000   2.17   175000  76.68     108.48
Gorbahn    call 1200    03.03.99  100    0.84   235000  25.64     46.32
Gorbahn     call 2000    24.02.99  100    1.95   258300  15.53     29.06
UBSRO    call 1800    28.04.99  1000   1.69   250000  66.11     93.53

Nur für starke Nerven...
