17.09.	netto (Eggelingen, 11:00)	
               10.12.	Notaufnahme (Plaaz 11:00)	
               21.09.	Nähtruhe (Jakobshagen, 11:00)	
               27.04	Nidalo (Todenfeld, 10:30)	
               25.08.	NTKR (Pillmannsberg 10:00)	
               26.08.	NTKR (Pillmannsberg, 10:00)	
               08.10.	NFAJ (Dinkelscherben, 10:00)	
               29.09.	Farbminister (Eixe, 11:00)	
               28.09.	Fischbar (Großthiemig, 10:00)	
               24.09.	Akyol (Grobenhof, 11:00)	
               04.08.	Asab (Dumberg, 10:00)	
               23.09.	An&Verkauf (Tränkhof, 11:00)	
               14.10.	AODM (Windhäusern, 10:00)	
               29.09.	AngelJoe (Dudensen, 10:30)	
               16.09.	Afevu (Eixe, 10:00)	
               10.08.	Automarkt (Vorderkehr, 10:30)	
               22.09.	Apaha (Plaaz, 11:00)	
               21.09.	Akku (Eixe, 11:00)	
               25.08.	Aufa A&O (Werneck,
10:00)	
               25.06.	Aisenbrey (Eggelingen, 10:00)	
               01.09.	Autocreativ H&S (Heudorf, 10:00)	
               23.09.	AS (Todenfeld, 10:00)	
               25.10.	Atacom (Jakobshagen, 10.30)	
               27.11.	Veitengruber Vietnam (Doberg, 15:00)	
               18.06.	ANP (Geislareuth, 10:30)	
               06.09.	Dröschitz (Dudensen, 10:30)	
               08.12.	Dreikirchener Brauerei	
               02.11.	Ausstellungsplatz (Vorderkehr, 14:00)	
               26.04	Azuseb Orselina
(Orselina, 10:30)	
               09.02.	Kraftwerk Vossbruch (Fußenberg, 10:00)	
               16.09.	Volgman, Fried. (Elverlingsen, 10:00)	
               24.09.	Adaw (Schnaittenbach, 15:00)	
               21.07.	Dittmerner Lennemann (Dittmern, 11:00)	
               21.10.	Asiwad (Retterode, 10:30)	
               21.04	AVIE Artcopy (Wrohe,
11:00)	
               29.06.	Medienprodukt (Eggelingen, 10:00)	
               07.10.	McGeiz (Christenberg, 10:30)	
               18.08.	Falkenbacher LGL (Falkenbach, 11:00)	
               22.09.	MCCZ (Petersgroden, 11:00)	
