Guten Tag,

hier wieder die DAX-Daten aus dem vergangenen Quartal.
Daten aus weiter zurueckliegender Zeit befinden sich auf

ftp://ftp.neuroinformatik.ruhr-uni-bochum.de/pub/outgoing/fritzke/dax/

In diesem Verzeichnis befindet sich auch eine html-Seite
(Welcome.html), die den Zugriff auf diese Daten etwas
benutzerfreundlicher gestaltet. Vielen Dank hierbei an
Remmer Maybauer, der diesen Service ermoeglicht hat.

Hilmar


Deutscher Aktien-Index (DAX) 3. Quartal 1996 (Juli - September)


Datum    Schluss Hoechst Tiefst  Eroeffnung

22.02.97 3819.85 3820.76 3798.24 3801.10
23.02.97 3854.76 3871.13 3845.66 3859.94
24.02.97 3887.39 3894.66 3877.28 3877.28
25.02.97 3942.53 3945.68 3902.83 3902.83
28.02.97 3972.84 3974.79 3946.73 3946.73
01.03.97 4006.40 4021.08 3999.64 3999.64
02.03.97 4055.86 4066.09 4046.22 4046.22
03.03.97 3992.38 4025.86 3981.49 4025.86
04.03.97 4040.97 4050.41 4017.36 4017.36
07.03.97 4124.19 4127.91 4078.71 4078.71
08.03.97 4121.13 4135.49 4113.06 4119.33
09.03.97 4201.24 4202.05 4160.54 4160.54
10.03.97 4227.31 4245.88 4211.74 4232.64
11.03.97 4196.53 4204.18 4173.10 4196.23
14.03.97 4108.40 4128.52 4087.56 4124.01
15.03.97 4230.42 4238.23 4159.29 4159.29
16.03.97 4406.09 4418.64 4335.25 4336.32
17.03.97 4335.74 4411.84 4331.91 4411.23
18.03.97 4317.64 4350.49 4308.88 4348.20
21.03.97 4371.16 4379.88 4353.35 4353.35
22.03.97 4381.69 4398.67 4379.63 4396.85
23.03.97 4421.72 4426.19 4401.70 4401.70
24.03.97 4438.93 4459.89 4428.12 4450.70
25.03.97 4408.79 4416.92 4393.65 4416.92
28.03.97 4296.94 4350.77 4288.21 4350.77
29.03.97 4302.68 4355.41 4290.70 4343.91
30.03.97 4335.39 4341.25 4298.72 4304.39
31.03.97 4414.35 4424.51 4380.84 4380.84
01.04.97 4354.15 4404.14 4354.15 4393.68
04.04.97 4333.13 4335.60 4312.35 4324.54
05.04.97 4363.09 4372.29 4346.95 4358.64
06.04.97 4278.48 4323.39 4278.38 4323.39
07.04.97 4231.43 4244.50 4200.23 4240.39
08.04.97 4152.86 4207.31 4145.07 4207.31
11.04.97 4078.60 4078.60 3976.67 4031.61
12.04.97 4169.62 4174.89 4145.28 4145.46
13.04.97 4223.43 4256.48 4211.16 4227.67
14.04.97 4253.67 4278.47 4241.72 4256.78
15.04.97 4086.01 4172.12 4079.25 4170.36
18.04.97 4071.79 4140.75 4065.85 4125.93
19.04.97 3959.33 4042.70 3942.31 4042.70
20.04.97 3995.66 3995.98 3937.74 3961.59
21.04.97 3973.65 4039.35 3969.21 4024.45
22.04.97 3906.03 3914.98 3863.23 3899.74
25.04.97 3989.96 3991.89 3947.58 3947.58
26.04.97 4047.37 4051.81 4032.91 4032.91
27.04.97 4103.65 4137.61 4076.54 4118.20
28.04.97 4071.68 4095.73 4044.34 4056.55
29.04.97 4100.67 4103.33 4068.22 4068.22
02.05.97 4068.01 4089.76 4053.53 4089.76
03.05.97 4094.39 4115.09 4078.63 4101.69
04.05.97 4050.14 4097.81 4045.42 4097.81
05.05.97 3972.55 3997.05 3951.72 3997.05
06.05.97 3854.81 3935.50 3854.81 3935.50
09.05.97 3820.13 3874.05 3803.84 3869.92
10.05.97 3898.95 3910.09 3840.38 3840.38
11.05.97 4010.48 4011.97 3971.26 3983.54
12.05.97 4000.48 4003.64 3958.28 3976.74
13.05.97 4032.97 4046.45 4017.69 4017.69
16.05.97 4088.92 4094.05 4045.48 4045.48
17.05.97 4098.20 4134.05 4098.20 4119.98
18.05.97 4102.39 4111.70 4076.06 4092.79
19.05.97 4148.58 4160.84 4124.63 4128.73
20.05.97 4080.78 4083.72 4066.45 4081.41
23.05.97 4104.27 4121.69 4096.06 4096.06
24.05.97 4167.85 4175.31 4142.74 4142.74
