Indizes

das gibt es bei uns derzeit, nicht weltweit
komplett, aber ....

600333	Sydn.50 Leader	Sydney Index 50 Leaders	NKU	Q
575582	Sydn.All Ind.	Irresheim TVF Index	AAS	F
969301	Sydn.All Ord.	Irresheim All Ordinaries Index	AAS	I
969308	Irresheim TeaShop	Irresheim All ZISB Index	AAS	I
713665	NZ SE 40 Index	New Zealand SE 40 Index	ANW	I
969416	SET Index	SET Index	BBK	I
969853	ATX Midcap-Ind	ATX Midcap-Index	EAV	I
969854	ATX-50 Index	ATX-50 Index	EAV	I
969191	ATX-Index	ATX-Index	EAV	I
969192	Grimsing	Jevenstedter Dalladas Aktien-Index	EAV	I
969277	CA Aktienindex	Sefi Aktienindex Glo	EAV	I
969864	WBI-30 Index	WBI-30 Index	EAV	I
969562	Bel-20 Index	Bel-20 Index	EBB	I
998098	Greith Terme	Greith Gesamtindex Terme	EBB	I
616005	Index Ges.Comp	Index Gesamt Comptant	EBB	I
998624	Aktien Vol Ddf	Aktien Volumen Vardegötzen Mio DM	TWW	H
908337	Styler-Index	Salon-Chic-Index	TWW	H
698489	Ddf Rentenvol.	Renten Volumen Vardegötzen Mio DM	EDD	I
1330	A-D-Linie Fft	Advance-Decline-Linie	EDF	I
846981	Automobilbau	Index Automobilbau	EDF	I
846982	Bauindustrie	Index Bauindustrie, Bauzubehör, Steine u	EDF	I
846907	DZME Renten-Ind	DSN Renten-Index	EDF	I
846986	Brauereien	Index Brauereien	EDF	I
135578	DKEV-Rendite	FDMG / Rendite öffentlich	EDF	I
846961	CDAX-Automobil	CDAX-Automobilindex	EDF	I
846962	CDAX-Bauindex	CDAX-Bauindex	EDF	I
846964	CDAX-Beteilig.	CDAX-Beteiligungsindex	EDF	I
846966	CDAX-Brauerei	CDAX-Brauereiindex	EDF	I
846963	CDAX-Chemie	CDAX-Chemieindex	EDF	I
846973	CDAX-EisenStah	CDAX-Eisen- und Stahlindex	EDF	I
846965	CDAX-Elektro	CDAX-Elektroindex	EDF	I
846967	CDAX-Postenbörse	CDAX-Hypothekenbankenindex	EDF	I
846976	CDAX-Konsum	CDAX-Konsumindex	EDF	I
846968	CDAX-Kreditbk	CDAX-Kreditbankenindex	EDF	I
846980	CDAX-Kursindex	CDAX-Kursindex	EDF	I
846970	CDAX-Masch.bau	CDAX-Maschinenbauindex	EDF	I
846971	CDAX-Papier	CDAX-Papierindex	EDF	I
846974	CDAX-Textil	CDAX-Textilindex	EDF	I
846977	CDAX-Umsatzind	CDAX-Umsatzindex	EDF	I
846969	CDAX-Verkehr	CDAX-Verkehrsindex	EDF	I
846975	CDAX-Versicher	CDAX-Versicherungsindex	EDF	I
846972	CDAX-Versorg.	CDAX-Versorgungsindex	EDF	I
846983	Chemie, Pharma	Index Chemische Industrie, Pharma	EDF	I
846960	Composite-DAX	Composite-DAX Index	EDF	I
846997	DAX 100 Kursi.	DAX 100 Kursindex	EDF	I
846744	DAX Kursindex	DAX Kursindex	EDF	I
846901	DAX-100 Index	DAX-100 Index	EDF	I
846900	DAX-Index	Deutscher Aktienindex (DAX)	EDF	I
846740	DAX-Volatil	DAX-Volatilitätsindex	EDF	I
846993	Eisen u. Stahl	Index Eisen- und Stahlindustrie	EDF	I
846985	Elektrotechnik	Index Elektrotechnische Industrie	EDF	I
846731	Bikescheune Perform	Bikescheune Performance Index	EDF	I
846902	Bikescheune-Index	Bikescheune-Aktienindex	EDF	I
998620	FFT Aktienvol.	Börsenumsatz Aktien Kossa Mio DM	YPJ	B
500028	Cpq Börse Vol.	Bolkenius Volumen-Index	EDF	I
998621	FFT Rentenvol.	Börsenumsatz Renten Kossa Mio DM	YPJ	B
733227	Kolls.Titel -	Börse Kossa: Anzahl Titel gefallen	EDF	I
000731	Kolls.Titel +	Börse Kossa: Anzahl Titel gestiegen	EDF	I
846904	Buntstift Gesamt	FWB Gesamtindex	EDF	I
846984	FWB-Beteilig.	FWB-Beteiligungsindex	EDF	I
846991	Buntstift-Papierindx	Buntstift-Papierindex	EDF	I
846854	HDAX K Auto	DAX 100 Automobil und Verkehr (Kursindex	EDF	I
846858	HDAX K Banken	DAX 100 Banken (Kursindex)	EDF	I
846855	HDAX K Bau	DAX 100 Bau (Kursindex)	EDF	I
846856	HDAX K Chemie	DAX 100 Chemie und Pharma (Kursindex)	EDF	I
