In article <bklitbo.141201286@zwbnn.shdzmu.DP-Isqkjg.SK>, eycujvi@yhfqe.occryx.JO-Jpyyea.XB (Xsinpfar Scherpenstein) says:


BEGIN --- CUT HERE --- Cut Here --- cut here ---
07.05.95;2201,69
09.05.95;2215,54
10.05.95;2213,31
11.05.95;2172,89
14.05.95;2169,67
15.05.95;2164,95
16.05.95;2143,92
17.05.95;2164,8
18.05.95;2190,84
21.05.95;2197,55
22.05.95;2197,25
23.05.95;2181,1
24.05.95;2185,57
25.05.95;2180,56
28.05.95;2122,68
29.05.95;2113,72
30.05.95;2145,47
31.05.95;2135,19
01.06.95;2104,38
04.06.95;2146,52
05.06.95;2159,84
06.06.95;2165,05
07.06.95;2183,08
08.06.95;2183,4
11.06.95;2163,65
12.06.95;2168,31
13.06.95;2175,98
14.06.95;2192,19
15.06.95;2169,01
18.06.95;2177,3
19.06.95;2189,3
20.06.95;2190,31
21.06.95;2205,42
22.06.95;2203,15
25.06.95;2215,54
26.06.95;2198,38
27.06.95;2201,9
28.06.95;2199,03
29.06.95;2199,38
02.07.95;2229,93
03.07.95;2242,54
04.07.95;2250,48
05.07.95;2234,93
06.07.95;2255,34
09.07.95;2254,43
10.07.95;2260,75
11.07.95;2260,82
12.07.95;2269,99
13.07.95;2258,54
16.07.95;2278,84
17.07.95;2285,29
18.07.95;2278,54
19.07.95;2287,9
20.07.95;2278,31
23.07.95;2266,19
24.07.95;2242,11
25.07.95;2256,36
26.07.95;2263,87
27.07.95;2276,91
01.08.95;2279,33
02.08.95;2276,91
03.08.95;2266,73
07.08.95;2279,08
08.08.95;2327,05
09.08.95;2326,94
10.08.95;2326,09
13.08.95;2318,66
14.08.95;2346,04
15.08.95;2345,7
16.08.95;2328,22
17.08.95;2355,64
20.08.95;2365,55
21.08.95;2377,1
22.08.95;2370,56
23.08.95;2377,65
24.08.95;2398,2
27.08.95;2397,37
28.08.95;2385,5
29.08.95;2416,21
30.08.95;2441,46
31.08.95;2431,88
03.09.95;2436,03
04.09.95;2437,87
05.09.95;2470,92
06.09.95;2468,62
07.09.95;2453,2
10.09.95;2421,34
11.09.95;2426,39
12.09.95;2443,62
13.09.95;2433,31
14.09.95;2406,17
17.09.95;2425,56
18.09.95;2432,16
19.09.95;2423,89
20.09.95;2418,85
21.09.95;2429,2
24.09.95;2402,57
25.09.95;2391,64
26.09.95;2378,56
27.09.95;2421,11
28.09.95;2446,81
01.10.95;2442,96
02.10.95;2445,63
03.10.95;2469,94
04.10.95;2479,07
05.10.95;2491,73
08.10.95;2492,9
09.10.95;2492,54
10.10.95;2465,91
11.10.95;2480,71
12.10.95;2460,59
15.10.95;2404,41
16.10.95;2437,14
17.10.95;2420,72
18.10.95;2430,84
19.10.95;2459,33
22.10.95;2463,3
23.10.95;2491,16
24.10.95;2487,74
25.10.95;2493,96
26.10.95;2501,26
29.10.95;2502,5
30.10.95;2499,76
31.10.95;2520,85
01.11.95;2511,6
02.11.95;2484,71
05.11.95;2489,81
06.11.95;2495,85
07.11.95;2499,42
08.11.95;2499,77
13.11.95;2496,69
14.11.95;2524,08
15.11.95;2510,91
16.11.95;2509,2
19.11.95;2539,46
20.11.95;2534,4
21.11.95;2533,66
22.11.95;2529,21
23.11.95;2524,84
26.11.95;2544,55
27.11.95;2551,71
28.11.95;2538,05
29.11.95;2527,73
30.11.95;2536,8
03.12.95;2519,77
04.12.95;2498,17
06.12.95;2502,22
07.12.95;2463,07
10.12.95;2467,15
