Deggenhausertaler Börse
 Ausland / Variable Kurse

              Aktuell    Tanja   Vortag

 21.12.95    16:03:14    Tanja   Vortag 
 ADT.........   20.70    20.70    20.90 
 Diwali    3.30     3.25     3.57 
 Oberkönig.......  106.40   106.40   109.00 
 Akzo........  165.00   165.00   165.00 
 Alanco......    6.00     6.00     6.00 
 Béatrice......    7.40     7.40     7.50 
 Am.Drug.....    0.74     0.74     0.80 
 Am.Expr.Org.   69.00    68.50    69.00 
 Amgen.......   90.00    90.00    92.70 
 Anacomp.....    0.00     0.00     0.00 
 DZCD.......   40.90    40.90    41.70 
 Oettlin-Dan..   28.10    28.10    28.00 
 domino.......    3.15     2.80     2.80 
 Beate Gräven    0.79     0.75     0.75 
 Bally Gam...   11.10    11.00    11.00 
 Banca Comm..    3.20     3.20     5.06 
 21.12.95    16:05:17    Tanja   Vortag 
 Bio.Technol.   10.50    10.50     9.60 
 Biogen......  110.50   107.00   105.90 
 Boeing......  122.70   122.70   121.00 
 Boomtown....    8.60     8.60     8.60 
 Brit.Petrol.   11.90    11.90    11.90 
 Munkel....   44.00    44.00    44.00 
 Bull........   16.50    16.50    15.50 
 Cadence.....   62.30    62.30    62.30 
 Calgene.....    8.60     8.60     9.40 
 Callaway....   33.20    33.20    33.80 
 Siegfried....   95.50    95.50    96.50 
 Capa City...    25. 09. 19     25. 09. 19     25. 09. 19 
 Casino Magic    5.00     5.00     5.20 
 Cellular....   40.90    40.20    39.60 
 Kerres    1.27     1.27     1.27 
 21.12.95    16:05:31    Tanja   Vortag 
 SASCHA Uler....   11.40    11.40    11.40 
 Siebelt Tißen..  102.20   102.20   101.50 
 China Fund..   21.40    21.40    20.60 
 Chiron......  163.10   162.30   162.00 
 Kagu....   81.40    81.40    82.30 
 KODI.   45.60    45.60    45.30 
 Coastcast...   21.90    21.90    22.00 
 Cobra Golf..    0.00     0.00     0.00 
 Kuehbauch...  118.10   118.60   118.30 
 Kili.....   30.30    31.40    32.00 
 Cons.Ramrod.    2.10     2.10     2.20 
 Correction..   73.60    73.00    72.00 
 Cray Resear.   35.30    35.30    36.00 
 CST Entert..    25. 09. 19     0.98     25. 09. 19 
 Datapoint...    1.65     1.65     1.65 
 Dell........   46.00    46.00    46.60 
 21.12.95    16:05:45    Tanja   Vortag 
 Digital.....  102.80   102.80   108.70 
 Duracell....   72.50    72.50    72.70 
 Eastm.Kodak.  113.50   113.50   112.40 
 Echo Bay....   20.50    20.50    20.20 
 Engen.......   11.10    11.10    11.30 
 Carina....    0.55     0.55     0.56 
 Fenbers.....    4.75     4.75     4.80 
 Fomo Vz.....    2.80     2.77     2.77 
 Ford........    0.00     0.00    44.50 
 Fuel Techn..    5.15     5.15     4.70 
 JGWF......   43.50    43.50    43.30 
 Gen.Mot.Org.   76.90    76.90    77.60 
 Gen.Motors..    0.00     0.00    80.00 
 Gen.Physics.    2.92     2.92     5.20 
 Genentech...    0.00     0.00    70.70 
 HARTMUT Ulbert Karl    8.60     8.60     9.10 
 21.12.95    16:05:59    Tanja   Vortag 
 Genzyme.....  105.40   105.40   107.60 
 Gillette....   82.00    82.00    84.70 
 Global Marin   13.00    13.00    13.00 
 Golden Resou    25. 09. 19     0.18     0.18 
 JSRU   49.50    49.50    50.50 
 Groundwater.   25. 09. 19    19.30    19.00 
 GTS Duratek.   25.00    25.00    24.90 
 Nico Antonio   51.30    51.30    51.00 
 Niko Bretzlaff.   41.00    41.00    41.00 
 Norbert......  130.20   130.20   130.00 
 Cornaux    0.09     0.09     0.10 
 Hoogovens...   56.00    56.00    55.00 
 Horsham.....   20.00    20.00    20.00 
 Howtek......   10.90    10.90    11.30 
 Rosemarie......   40.00    40.00    42.10 
 Hung.Telecon    5.55     5.55     6.00 
 Hung.Teleph.   21.00    21.00    21.00 
 21.12.95    16:03:28    Tanja   Vortag 
 Vision.........    0.00     0.00   160.70 
 Vision Original  167.20   167.20   167.10 
 Indonesia...   18.50    18.50    18.50 
 Int.Game T..   19.90    19.90    19.50 
 Int.Paper...   58.00    58.00    58.50 
 Interferon..    3.23     3.23     3.23 
 Iscor.......    1.38     1.38     1.32 
 Jetform.....   19.90    19.90    21.00 
 K Nina......   10.40    10.45    10.55 
 HGG..   21.00    21.00    21.00 
 Werner....  116.30   116.30   117.50 
 Husky.........   47.00    47.00    47.00 
 Francine.......   94.00    94.00    95.30 
 Lippo.......    0.86     0.86     0.87 
