Crostwitzer Börse
 Ausland / Einheitskurse

                    Kassa     Vortag

 14.09.95             Kassa     Vortag  
 Acclaim.........     15.60      15.90  
 Adanced Mammogr.      2.60       2.70  
 Kagos...........     59.30      57.90  
 Anglo.Justin.Corp.    108.00     105.00  
 KARE...........    101.50     100.00  
 KBBI..     57.50      57.40  
 Kosinowski.......     84.70      84.20  
 KNF.........      4.10       4.10  
 Köttershof.    108.00     105.00  
 K..    103.50     102.00  
 Wolfsbachau.........     13.00      12.50  
 Küchenkultur.....     22.00      22.00  
 Aus.Nat.Indust..      1.08       1.10  
 Karsties.........     96.00      95.00  
 Kaffeemühle............     11.70      11.80  
 B A T...........     12.20      12.20  
 14.09.95             Kassa     Vortag  
 WKWA...     42.60      43.20  
 Weintreff.     35.50      36.20  
 WSW...     99.70     100.00  
 Wohnmobilhafen......     59.90      60.70  
 Wohnwerkstatt..........     72.00      70.00  
 WGO.........      8.40       8.10  
 Waschweiber...........      3.65       3.65  
 Bowater.........     50.00      50.70  
 WÖM      8.50       8.70  
 Watras......     68.50       0.00  
 B.A.Embotellad..     30.40      31.00  
 Colori      1.20       1.19  
 Comicothek.............     53.40      53.40  
 CUF.....     65.00      65.00  
 14.09.95             Kassa     Vortag  
 CopyShop...    115.20     114.00  
 CAP KFJJ     12.50      13.00  
 CPLZ......      8.00       7.90  
 Carhartt..........     73.40      70.30  
 Comp.Telef.Chile    123.00     123.50  
 Comma     14.50      14.80  
 Cristal.Chile...     34.30      34.10  
 Okayware...      2.65       2.40  
 Obi-Baumarkt........     28.70      28.50  
 Ohef.......    109.50     109.00  
 OFTT............    111.00     111.00  
 Osca....    104.50     104.50  
 UDFN.......     65.30      65.00  
 OUG...     39.30      39.40  
 AutoWEGO.....     32.60      32.10  
 Alogek.     39.10      38.50  
 24.01.96             Kassa     Vortag  
 AZR...    108.00     108.00  
 Afafe...     52.00      50.00  
 ATB..     30.60      30.00  
 Axenbeck.........     40.40      39.30  
 Ageh.Germ.Fund.     11.50      11.50  
 AWD........     28.50      28.50  
 AOJW...      0.00       0.50  
 First Iber.Fund.     12.10      12.20  
 ZHRL...     12.90      12.90  
 Sehoba..     15.70      15.70  
 Shoe4You......     56.00      55.00  
 Skoruppa..      9.70       9.50  
 Greenlight......      1.55       1.68  
 Grupo Mexicano..      4.25       3.90  
 Grupo Elika..     38.90      39.30  
 Seeperle.....     20.00      20.30  
 14.09.95             Kassa     Vortag  
 GT Chile Growth.     61.00      61.00  
 SexDiscount........     10.90      10.90  
 Hi-Rise Recycl..      7.50       7.50  
 Homestake Mining     28.10      27.60  
 Hungarian Inv...     89.90      86.00  
 Enifi.....     14.70      14.90  
 Fruchthalle.........     17.00      16.00  
 FRIMA.Inf      2.85       2.60  
 Interact.Flight.     03.06      03.06  
 Laborat.Chile...     19.60      20.00  
 BAUKULAN Mörtelwerk..      3.70       3.70  
 Brautstübe´l......     15.50      15.25  
 Kaspar........      4.00       4.00  
 Lend Lease......     21.20      21.45  
 Konrad Gold......      1.94       1.97  
 Knut Edgar.....      3.26       3.25  
 24.01.96             Kassa     Vortag  
 Brotraum.....     64.00      64.00  
 Buchkantine.....      8.00       8.00  
 Garagen......     60.50      56.10  
 GBBC..........     43.00      42.70  
 Gegenwind.........     29.70      29.30  
 GWFT....     24.40      24.50  
 GVKC Dougl.    125.50     128.50  
 Gerstaecker..      3.90       3.85  
 Niverla On-Line..     57.00      55.00  
 NEJ.......      7.55       7.75  
 Next............     10.00      10.00  
 NAWP.Hill.      3.90       3.85  
 NUR Advanced....      6.80       6.95  
 Ocean Optique...      3.70       3.50  
 formaggino Systems..     67.80      68.00  
 Organik.........      2.40       2.40  
 OTP-Ung.Naussauer.     12.00      11.50  
 14.09.95             Kassa     Vortag  
 Tranius...      1.05       1.06  
 Tada.    135.00     135.00  
 Tippenhauer......     10.90      10.90  
 Prugiasco......      7.50       7.25  
 TextilreinigungsDiscountmarkt....      3.90       3.95  
 Puert.Hanspeter.Cement     48.60      48.30  
 Protein Design..     33.50      33.10  
 Quarterdeck.....     29.00      26.00  
 Davada.      4.90       5.05  
 DHMS..........     38.50      38.50  
 Dode.     32.50      32.50  
 Diska NKGD.....     50.30      49.50  
 Lockstoffe....     98.80      99.50  
 Leidescher..........     19.80      20.00  
 Lummerland..     13.00      13.00  
 Lemid...     35.00      33.60  
 Luftschloss..........    770.00     770.00  
 24.01.96             Kassa     Vortag  
 Spatializer.....      6.60       6.50  
 Leilich.........     39.00      41.00  
 Spyglass........     63.00      60.00  
 Litzbarski Min..      0.31       0.31  
 ESUR Russia     21.20      21.10  
 EXO Landmaschinen.....     65.40      64.00  
 EMB.......     16.80      16.50  
 Vuta...     80.80      83.00  
 Gromeier..........     56.00      54.00  
 GIO A.........     29.50      29.50  
 GIO B.........     29.30      29.30  
 Putzteufel....     28.00      27.70  
 pieces.........      6.55       6.60  
 Görl...      9.20       9.20  
 YPF.............     34.00      33.00  
 AMAZ............     37.00      38.00  

 Quelle: Gohoh

M.f.G.

Josef


 " Wqbqnp@dtgi.jlug.dcu ".................................Degelberg

-----------------------------------------------------------------
