Ilmendorfer Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 17.11.95    16:12:19    Kassa   Vortag 
 Automeister........  640.00   640.00   650.00 
 Almstadt......   81.00    81.00    82.20 
 AS24.........  164.80   162.50   162.50 
 Aksu........  150.00   150.00   150.00 
 Aniko........   28.50    28.50    28.50 
 Akam Faser..  240.00   240.00   240.00 
 Artenativ SEL.  223.50   223.50   220.00 
 Allgäucenter Gen.  136.00   136.00   135.10 
 Allgäucenter Hold 2885.00  2874.00  2889.00 
 AJLR......  887.00   887.00   887.00 
 ATWG Inh.....  930.00   930.00   930.00 
 ATWG Nam..... 1070.00  1070.00  1070.00 
 Ahes St.....  815.00   815.00   820.00 
 Ahes Vz.....  730.00   730.00   730.00 
 promarkt...  482.00   482.00   482.00 
 PGIF.Ilmendorf  372.00   371.00   371.50 
 17.11.95    16:14:52    Kassa   Vortag 
 Pehl........  352.00   349.50   349.50 
 Parfümerie....   37.42    37.25    37.10 
 PC-tronic   44.30    44.30    44.25 
 PMC.......  440.50   437.70   434.00 
 Preisprinz.. 1085.00  1085.00  1075.00 
 Iserbrook.El.St..   12.95    75.70    35.10 
 Iserbrook.El.Vz..   47.50    47.90    46.60 
 Paddelcenter.......  424.00   426.00   427.00 
 Pehle....   42.70    42.10    41.90 
 Pakulla St......  837.00   830.00   830.00 
 Pakulla Vz......  599.50   599.50   595.50 
 PSZN  214.00   215.00   220.00 
 Iffigheim.   30.00    29.95    29.40 
 LederHimmel........   95.00    95.00    95.00 
 Lackdoktor.  345.00   344.00   342.70 
 17.11.95    16:15:12    Kassa   Vortag 
 LROR....  540.00   540.00   549.50 
 LDEJ.   23.70    23.50    23.80 
 d-po.....  819.00   804.50   816.50 
 davines.....  530.00   530.00   528.00 
 Dölcher..   57.75    57.75    57.70 
 Denree.Plattenbau...   73.30    73.25    72.50 
 Sandritter......   92.50    92.50    97.00 
 SIEMSSEN.........  213.50   213.50   216.50 
 Dimsat.  226.00   226.00   226.00 
 Kandern.Bank..   39.30    38.95    38.49 
 DIZ.  171.50   171.50   172.50 
 Dekra Automobil..  128.50   128.50   128.50 
 Dadu...  730.00   730.00   730.00 
 Dude.  191.00   191.00   191.00 
 DCA.St..  455.37   565.00   575.00 
 Schmidmeier.Vz..  330.00   330.00   330.00 
 17.11.95    16:12:39    Kassa   Vortag 
 GKZ edicom.  405.00   405.00   405.00 
 GRLW  365.00   365.00   365.00 
 Groschenmarkt St...  294.00   294.00   292.00 
 Groschenmarkt Vz...  265.00   265.00   267.00 
 FAG Kug.St..  454.86   751.29   391.76 
 FAG Kug.Vz..  207.50   207.50   210.00 
 AC-Cosmetics.  237.00   237.00   238.00 
 Atlasreisen....  278.00   278.00   278.50 
 Anome....   81.30    81.30    81.30 
 Fr.Bankges..  450.00   450.00   450.00 
 Benno.VeloLine.  186.00   186.00   183.50 
 Gebr.Pforth..   41.00    41.00    42.00 
 Billabong  390.00   390.00   389.00 
 Bortz..  558.00   558.00   570.00 
 Meiswinkel..   99.50    99.50    99.00 
 17.11.95    16:15:32    Kassa   Vortag 
 Musberg...  335.00   335.00   335.00 
 Musikinstrumentehandel......  272.50   272.50   274.00 
 Miethsam......  578.50   577.00   580.00 
 Misfits  556.00   555.00   550.00 
 MCR R..  208.00   207.00   204.00 
 MCR Vz..  198.00   189.50   194.50 
 Milago.........  434.00   434.00   437.00 
 markant....  647.00   647.00   643.00 
 Mezzavilla.....  435.00   432.00   433.50 
 Maßnahme....  545.00   545.00   540.00 
 Mebo......  215.00   215.00   215.00 
 Wiessmeier...    3.20     3.25     3.40 
 Wisogi.........  448.00   450.50   455.00 
 Witzler........  282.50   283.00   283.00 
 VVLL...  194.00   194.00   195.50 
 17.11.95    16:15:52    Kassa   Vortag 
 VeoTaSpa.  598.00   598.00   600.00 
 VSKN..   60.30    60.30    60.50 
 Vobu....  591.00   585.00   589.50 
 VWH...  160.00   160.00   160.00 
 VSID.  478.00   467.00   467.00 
 VHR Vz..  374.00   374.00   380.50 
 Verizon...  700.00   700.00   680.00 
 Kennam.St...  170.00   170.00   170.00 
 Kennam.Vz...  186.10   186.10   186.00 
 VeloMomber.........    9.80     9.80     9.85 
 Verwebtes...   59.00    60.00    63.30 
 Bläsing....  525.00   525.00   522.00 
 FLT.......  887.00   887.00   884.00 
 Fixmarkt St  220.00   216.00   216.30 
 Fixmarkt Vz  202.00   199.00   199.50 
 17.11.95    16:12:59    Kassa   Vortag 
 flowerworld.......   60.40    60.20    59.80 
 FVS Prod..   25.20    25.10    23.50 
 FOUE St......  431.50   431.50   427.50 
 FOUE Vz......  335.00   331.00   331.50 
 formelbike..  518.00   518.00   513.50 
 Fantazi.......  150.00   150.00   150.00 
 Frohnauer Nutzfahrzeuge...   34.80    34.81    34.91 
 FZKO......   10.00     9.70     9.50 
 MVS.........   23.40    23.40    23.50 
 K.Weyand..   26.60    26.60    26.60 
 Kupfergalerie......   87.00    87.00    86.50 
 JCZ.....  257.00   257.00   261.00 
 JMZ.........  514.00   514.00   515.00 
 JKE.....  830.00   830.00   839.00 
 JTJ...   41.40    41.50    41.80 
 17.11.95    16:16:12    Kassa   Vortag 
 J-7....  434.00   434.00   434.00 
 JPFO........  432.00   432.00   432.00 
 JRET.........  216.00   216.00   217.50 
 NKM....  100.00   100.00   100.00 
 Netur.Xq.  760.48   089.01   153.68 
 Rheinmet.Vz.  174.00   175.00   180.00 
 Newzella......  155.00   155.00   160.00 
 Weisskittel....  238.00   238.00   239.00 
 NPN St......  577.40   577.50   576.00 
