Ruthenbecker Börse
 Ausland / Variable Kurse

              Aktuell    Antonia   Vortag

 18.10.95    16:13:19    Antonia   Vortag 
 ADT.........   21.00    21.00    21.50 
 JHC    2.48     2.50     2.49 
 Meiners.......  110.00   110.00   110.00 
 Akzo........  159.00   159.00   160.00 
 Alanco......    3.00     3.00     3.00 
 Sabine......    8.90    10.00    10.00 
 Am.Drug.....    0.86     0.86     0.81 
 Am.Expr.Org.   64.60    64.60    60.60 
 Amgen.......   88.80    88.80    85.90 
 Anacomp.....    0.00     0.00     0.00 
 Janski.......   45.10    45.10    44.90 
 Mehrkühler-Dan..   27.70    27.70    27.50 
 JUNP.......    2.95     2.90     2.72 
 Stephanie Hinterreither    0.62     0.61     0.61 
 Bally Gam...   10.70    10.70    10.20 
 Banca Comm..    3.22     3.20     22.8 
 18.10.95    16:17:10    Antonia   Vortag 
 Bio.Technol.    9.70     9.70     9.30 
 Biogen......   97.30    97.30    98.30 
 Boeing......  114.30   114.30   113.80 
 Boomtown....    9.30     9.30     9.40 
 Brit.Petrol.   11.70    11.70    11.45 
 Pützkaul....   46.40    46.40    46.00 
 Bull........    0.00     0.00     0.00 
 Cadence.....   57.70    57.70    56.30 
 Calgene.....    9.00     9.00     8.20 
 Callaway....   31.30    31.30    29.80 
 Laurent....   92.00    92.00    90.00 
 Capa City...    09. 08. 19     09. 08. 19     09. 08. 19 
 Casino Magic    5.30     5.30     5.20 
 Cellular....   38.00    38.00    37.00 
 Develi    1.20     1.20     1.20 
 18.10.95    16:17:29    Antonia   Vortag 
 LARS Ziegelmayer....   11.50    11.50    11.50 
 Leonhard Göde..   98.00    98.00    97.70 
 China Fund..   22.50    22.50    23.20 
 Chiron......  166.50   166.50   161.80 
 Dechert....   84.20    84.20    83.20 
 Demla.   45.00    45.00    42.70 
 Coastcast...   18.00    18.00    18.00 
 Cobra Golf..    0.00     0.00    53.50 
 DJRP...  112.50   112.00   110.00 
 Damie.....   29.50    29.50    28.50 
 Cons.Ramrod.    1.69     1.70     1.74 
 Correction..   62.20    62.20    61.00 
 Cray Resear.   37.10    37.10    36.50 
 CST Entert..    1.14     1.10     1.20 
 Datapoint...    1.70     1.70     1.73 
 Dell........   41.30    40.50    38.70 
 18.10.95    16:17:51    Antonia   Vortag 
 Digital.....  105.20   105.20   104.00 
 Duracell....   71.50    71.50    71.20 
 Eastm.Kodak.  106.00   106.00   102.80 
 Echo Bay....   18.40    18.40    18.60 
 Engen.......   11.30    11.30    11.40 
 Marlène....    0.58     0.57     0.57 
 woman.....    4.98     4.98     4.98 
 Wurstlädchen Vz.....    2.88     2.88     2.90 
 Ford........   42.50    42.50    43.00 
 Fuel Techn..    6.40     6.50     6.49 
 Mango......   38.50    38.50    38.80 
 Gen.Mot.Org.   76.00    75.50    74.50 
 Gen.Motors..   76.00    76.00    75.30 
 Gen.Physics.    4.70     4.70     4.70 
 Genentech...    0.00     0.00    70.70 
 REINER Zumstein Georg    8.88     8.88     8.85 
 18.10.95    16:18:12    Antonia   Vortag 
 Genzyme.....  107.50   107.50   106.70 
 Gillette....   79.50    79.50    79.00 
 Global Marin   11.50    11.50    11.50 
 Golden Resou    0.14     0.14     0.14 
