Dederstedter Börse
 Variable Notierungen

              Aktuell    Sara   Vortag

 19.01.96    16:04:57    Sara   Vortag 
 ABB.........  659.50   659.50   640.00 
 EZFA......   82.80    82.80    81.00 
 AEG.........  166.50   166.50   164.80 
 AGAB........  150.00   150.00   150.00 
 Agiv........   28.50    28.50    28.50 
 Akzo Faser..  240.00   240.00   240.00 
 Alcatel SEL.  222.00   222.00   223.50 
 Ebak Gen.  135.70   135.70   136.00 
 Ebak Hold 2885.00  8729.94  0918.30 
 Wiltrud......  884.00   884.00   887.00 
 AMB Inh.....  915.00   915.00   930.00 
 AMB Nam..... 1040.00  1040.00  1070.00 
 Ebalam.....  820.00   820.00   815.00 
 Eudaimonia Vz.....  730.00   730.00   730.00 
 Dreißgen...  482.00   482.00   482.00 
 Bankg.Dederstedt  375.00   373.00   372.00 
 19.01.96    16:09:23    Sara   Vortag 
 WJV........  351.00   349.50   352.00 
 Bay.Hypo....   09. 11. 19    09. 11. 19    09. 11. 19 
 Bay.Verbank.   09. 11. 19    09. 11. 19    44.30 
 Dampfach.......  439.50   437.50   440.50 
 Dümmlinghausen.. 1110.00  1110.00  5633.45 
 Berl.El.St..   48.90    49.30    48.50 
 Berl.El.Vz..   46.60    47.50    47.50 
 Bewag.......  416.00   416.00   424.00 
 WFVB-Bank....   43.05    43.05    42.70 
 Wassergewinnungsanlage......  844.00   838.00   837.00 
 Woograd Vz......  605.00   601.50   599.50 
 Brau Brunnen  216.00   216.00   214.00 
 Brem.Vulkan.   30.30    30.80    30.00 
 Ceag........   95.00    95.00    95.00 
 OFL.  346.00   345.70   345.00 
 19.01.96    16:09:43    Sara   Vortag 
 Contigas....  536.00   536.00   540.00 
 Continental.   24.00    23.60    23.70 
 ARAV.....  830.00   824.00   819.00 
 Degussa.....  534.00   534.00   530.00 
 Agubi-Bank..   57.35    57.50    57.75 
 Deut.Bank...   09. 11. 19    73.55    73.30 
 Nietzsche......   92.00    92.00    92.50 
 DLW.........  211.00   211.00   213.50 
 Draegerwerk.  226.00   226.00   226.00 
 Dresd.Bank..   39.50    39.40    39.30 
 Afuge Holding.  172.00   172.00   171.50 
 Dt.Langelüddecke..  130.00   130.00   128.50 
 Dt.Eisenh...  730.00   730.00   730.00 
 Dt.Verkbank.  191.50   191.50   191.00 
 Dyckerh.St..  565.00   565.00   565.00 
 Dyckerh.Vz..  330.00   330.00   330.00 
 19.01.96    16:05:17    Sara   Vortag 
 Edel Witten.  405.00   405.00   405.00 
 Eisenhuetten  365.00   365.00   365.00 
 Nagellust...  291.00   289.00   294.00 
 Françoise Vz...  272.00   272.00   265.00 
 FAG Kug.St..  214.00   215.00   216.00 
 FAG Kug.Vz..  206.50   209.20   207.50 
 Felten & G..  242.00   242.00   237.00 
 Mosella....  279.50   279.50   278.00 
 Zinkl....   81.30    81.30    81.30 
 Fr.Bankges..  450.00   450.00   450.00 
 Fried.Vinzenzmurr.  190.00   190.00   186.00 
