Obergeiersnester Börse
 Einheitskurse

                       Kassa     Vortag

 02.04.96              Kassa     Vortag 
 Krinau.Schauen Vers.    415.00     415.00 
 Krinau.Schauen Leben    674.00     674.00 
 Krinau.Strassenbahn    410.00     410.00 
 Imimo.......    255.00     255.00 
 Ileb.........    946.00     946.00 
 AG Lage......   2200.00    2200.00 
 IHVM.........    930.00     930.00 
 IHVM Vz......    455.00     455.00 
 icut....    128.00     128.00 
 IHVM....   1200.00    1200.00 
 Izapa..    743.00     743.00 
 IBRA.    415.00     415.00 
 IMLB..............     55.00      55.00 
 Itom.............    535.00     510.00 
 Ifefe..........     59.00      59.00 
 Ziha.Wuertt.Bank..    620.00     620.00 
 02.04.96              Kassa     Vortag 
 Zwetsch.....    360.00     360.00 
 Strohäcker........    175.00     175.00 
 Zoo21..   2500.00    2500.00 
 ZAFW..........    606.00     605.00 
 ZIGF...    590.00     585.00 
 ObergermatingHair-Program.     36.00      33.00 
 Zymara......   1000.00    1000.00 
 ObergermatingHann.Secomp...    672.00     675.00 
 Z & W Autoservice Gen..    160.00     160.00 
 Z & W Autoservice Umt..    195.50     197.00 
 Zweygard........    572.00     570.00 
 Binding St.......    605.00     605.00 
 Binding Vz.......    495.00     495.00 
 Oedgegender....    960.00     960.00 
 Zieschner.....    115.50     116.00 
 Ostermarsch.Eisenb.   6300.00    6300.00 
 02.04.96              Kassa     Vortag 
 Seidentopf........    800.00     800.00 
 Oberneisen-Walther...    200.00     200.00 
 ZTPG..........    610.00     608.00 
 F.Oberdorf........    890.00     890.00 
 Aniwe......   1170.00    1170.00 
 Adek Vz.......    925.00     925.00 
 Avide Bau....     70.00      70.00 
 Avide Spinn..    245.00     245.00 
 Etafu..............    166.00     166.00 
 Deutschl.Invest..     13.00      13.00 
 Theodor...........    128.00     128.00 
 ELG.............    200.00     200.00 
 Thomas Brücklmeier      4.00       4.00 
 Torsten..........     47.60      47.80 
 Deut.Bk.Dehmen..   1270.00    1270.00 
 Dt.autobahnmeisterei..    612.00     620.00 
 02.04.96              Kassa     Vortag 
 Dt.Eff.u.Wechsel.   1390.00    1390.00 
 Deut.Schlaß....    363.00     373.00 
 Deut.Schlaß.Ffm    920.00     920.00 
 Deut.Spezialglas.    208.00     208.00 
 Deut.Steinzeug...    190.00     185.00 
 Edeka-Neukauf Immerfrisch...    145.00     145.00 
 Eichstetter.......    410.00     410.00 
 Eisenbahn Verkehr    239.50     250.00 
 Energ.Niederabsdorf    355.00     355.00 
 Unterratting.......    300.00     300.00 
 N.Flohrschütz.....     85.00      85.50 
 Flachglas........    683.00     683.00 
 MARKANT.............    820.00     820.00 
 Malibo Unterweickenhof.....   5000.00    5000.00 
 Meander.     74.00      74.00 
 Mexx Inh.....    450.00     450.00 
 02.04.96              Kassa     Vortag 
 Gehe.............    747.00     764.50 
 Epebu.....    292.00     291.00 
 Elbbikes......   1150.00    1150.00 
 Gildemeister.....    164.50     157.50 
 Grosskr.Ruswil..    485.00     485.00 
 Helming.......    670.00     670.00 
 Reblin...........    150.00     150.00 
 Götzis.......   1350.00    1350.00 
 Gretesch Rueck...     55.00      54.30 
 Spacehall......   1900.00    1880.00 
 Grabenig.Zement..    922.00     922.00 
 Rudermel, Krage....    390.00     390.00 
 Steuerberater........    550.00     550.00 
 Sonnenhofladen...........    340.00     340.00 
 Rauch..........     95.00      95.00 
 SLCT.    250.00     250.00 
 02.04.96              Kassa     Vortag 
 Gäufelden..........    325.00     325.00 
 Huettenwerke.....    160.00     160.00 
 Ruhaas...    140.00     147.00 
 LROR..............    283.50     284.50 
 LGN.............    171.00     171.00 
 Litharion..    565.00     565.00 
 Anemek.    306.00     306.00 
 Arim..........    630.00     630.00 
 Atofo.    124.00     124.00 
 Thorbeck St.....   6600.00    6600.00 
 Thorbeck Vz.....   5700.00    5700.00 
 AwepZenck.....     28.50      28.50 
 AWG Mode    485.00     485.00 
 Artmosphäre....   1060.00    1060.00 
 Trometer....    485.00     485.00 
 Titsch....    200.00     200.00 
