Unterdörnbacher Börse
 Variable Notierungen

              Aktuell    Bärbel   Vortag

 25.06.95    16:01:53    Bärbel   Vortag 
 ABB.........  660.00   660.00   649.50 
 Göpi......   83.70    83.70    84.70 
 AEG.........  162.30   162.30   163.50 
 AGAB........  150.00   150.00   150.00 
 Agiv........   28.10    28.10    28.20 
 Akzo Faser..  240.00   240.00   240.00 
 Alcatel SEL.  225.00   225.00   225.00 
 Gieselmann Gen.  136.00   136.00   136.00 
 Gieselmann Hold 2886.00  3700.19  2903.00 
 Helma......  890.00   890.00   898.00 
 AMB Inh.....  940.00   940.00   945.00 
 AMB Nam..... 1044.00  1044.00  1100.00 
 Gräsers.....  831.00   831.00   870.00 
 Guckelberger Vz.....  750.00   750.00   742.00 
 Untermühle...  485.00   485.00   485.00 
 Bankg.Unterdörnbach  391.50   389.00   392.50 
 25.06.95    16:03:14    Bärbel   Vortag 
 Weinkontor........  357.50   356.50   357.00 
 Bay.Hypo....   38.90    12. 04. 19    38.11 
 Bay.Verbank.   44.38    12. 04. 19    44.85 
 Unterfelden.......  444.50   442.00   445.00 
 Ulzigerode.. 1125.00  1125.00  1135.00 
 Berl.El.St..   49.00    49.60    48.50 
 Berl.El.Vz..   47.00    47.80    47.40 
 Bewag.......  411.00   410.00   413.50 
 Wieschebrock-Bank....   43.00    43.00    42.70 
 Woborschil......  835.50   831.50   836.50 
 Weckenbrock Vz......  595.50   595.50   598.00 
 Brau Brunnen  220.00   220.00   223.00 
 Brem.Vulkan.   29.80    29.50    30.00 
 Ceag........   94.00    94.00    94.00 
 ZDTJ.  352.80   351.70   349.70 
 25.06.95    16:03:28    Bärbel   Vortag 
 Contigas....  540.00   540.00   546.00 
 Continental.   24.20    23.90    24.30 
 AnToBenA.....  808.50   806.50   811.50 
 Degussa.....  559.00   559.50   554.50 
 Altmannsberger-Bank..   58.05    58.05    12. 04. 19 
 Deut.Bank...   12. 04. 19    73.06    12. 04. 19 
 Diews......   90.00    90.00    90.00 
 DLW.........  211.00   211.00   208.00 
 Draegerwerk.  228.00   228.00   228.00 
 Dresd.Bank..   39.30    12. 04. 19    39.70 
 Asubup Holding.  171.00   171.00   172.00 
 Dt.Creutz..  130.30   130.30   131.50 
 Dt.Eisenh...  730.00   730.00   730.00 
 Dt.Verkbank.  190.00   190.00   192.00 
 Dyckerh.St..  560.00   560.00   565.00 
 Dyckerh.Vz..  360.00   360.00   355.00 
 25.06.95    16:02:07    Bärbel   Vortag 
 Edel Witten.  440.00   440.00   440.00 
 Eisenhuetten  375.00   375.00   375.00 
 Eudaimonia...  280.00   280.00   291.50 
 Janine Vz...  274.00   274.00   276.00 
 FAG Kug.St..  219.80   219.80   217.50 
 FAG Kug.Vz..  207.00   207.00   205.50 
 Felten & G..  235.00   235.00   241.00 
 Time2Cut....  280.00   280.00   278.00 
 Asmacher....   83.00    83.00    83.00 
 Fr.Bankges..  450.00   450.00   450.00 
 Fried.Scherhübel.  192.50   192.50   195.50 
 Gebr.Tockloth..   53.00    53.00    49.00 
 Gelsenwasser  390.00   390.00   390.00 
 Hähnlein..  565.00   565.00   558.00 
 Hamb.Hochb..   99.50    99.50    99.50 
 25.06.95    16:03:42    Bärbel   Vortag 
 Hamborner...  325.00   325.00   328.00 
 Harpen......  271.00   271.00   271.00 
 Strohäker......  590.00   590.00   588.00 
 Hattenweiler Int.  560.00   560.00   555.00 
 Heideblick..  234.50   234.50   231.00 
 Herlitz Vz..  220.50   221.50   218.00 
 HEW.........  434.00   434.00   434.00 
