Stammheimer Börse
 Ausland / Einheitskurse

                    Kassa     Vortag

 30.01.97             Kassa     Vortag  
 Acclaim.........     15.70      15.00  
 Adanced Mammogr.      3.02       2.70  
 DEL...........     51.20      51.15  
 Anglo.Engelbert.Corp.    112.00     112.00  
 Drumhairum...........    105.50     103.50  
 DBFA..     67.10      65.90  
 Domquelle.......     89.10      88.90  
 Disposition.........      4.10       4.15  
 DVD.    112.00     112.00  
 Diakoniezentrum..    102.60     103.50  
 Doda.........     14.00      13.40  
 Demharter.....     22.00      22.00  
 Aus.Nat.Indust..      1.10       1.10  
 DSO.........     98.00      98.50  
 Diegmüller............     11.50      11.40  
 B A T...........     12.80      12.80  
 30.01.97             Kassa     Vortag  
 Fa. Romacker...     42.50      43.00  
 Finkeldey.     36.00      36.00  
 Frohnatur...    102.10     102.50  
 Fockenberg......     63.70      63.70  
 Flechsenberger..........     80.00      77.00  
 Fechter.........     10.90      10.80  
 Findling...........      3.70       3.70  
 FLT.........     61.30      61.20  
 Frankhof      7.50       7.40  
 Fanwelt......     73.30       0.00  
 B.A.Embotellad..     32.10      32.30  
 foncia      1.25       1.35  
 Firlefanz.............     53.00      53.00  
 Fliesen-Profi.....     65.00      62.00  
 30.01.97             Kassa     Vortag  
 formelbike...    129.00     123.80  
 FG-Automobile DTJ     13.90      13.68  
 Code Ditch......      6.70       6.60  
 Furtmair..........     70.60      70.50  
 Comp.Telef.Chile    122.60     118.50  
 Feuser     16.60      16.20  
 Freibadkiosk.Chile...     33.00      32.20  
 Ticket-Direct...      2.95       2.80  
 Matthiae........     26.80      27.80  
 TUJ.......    104.50     101.60  
 TWPG............    115.00     114.00  
 Tierpräperator....    104.50     104.50  
 TQ-Systems.......     68.30      67.60  
 TopCars...     44.90      42.50  
 BGI.....     33.50      31.60  
 BUU.     35.10      35.60  
 31.55.96             Kassa     Vortag  
 BMSR...    111.00     110.00  
 Buhe...     74.00      68.00  
 BDW..     36.20      36.40  
 BULK.........     40.30      40.30  
 Bamof.Germ.Fund.     11.20      11.50  
 biomarkt........     29.50      29.50  
 BiB...      0.00       0.50  
 First Iber.Fund.     12.20      12.10  
 WVEH...     13.70      13.50  
 Erkins..     16.00      15.70  
 ENNERS......     88.50      88.90  
 Elese..     10.30       9.70  
 Greenlight......      1.45       1.45  
 Grupo Mexicano..      3.95       4.20  
 Grupo Morgenbrot..     41.70      41.40  
 Ecklädchen.....     20.90      20.90  
 30.01.97             Kassa     Vortag  
 GT Chile Growth.      0.00      60.30  
 Guinness........     10.30      10.70  
 Hi-Rise Recycl..      7.70       7.70  
 Homestake Mining     30.10      28.20  
 Hungarian Inv...    100.00      97.00  
 KDEP.....     14.70      15.50  
 Violka.........     20.10      20.50  
 I.I.S.Intell.Inf      2.65       2.70  
 Interact.Flight.     15.70      13.70  
 Laborat.Chile...     19.00      19.00  
 INEN..      3.80       3.75  
 Iger Ind.......     15.80      15.70  
 Siebelt........      4.55       4.35  
 Lend Lease......     22.40      22.40  
 Samu Gold......      2.20       1.97  
 Sergio Marcel.....      3.45       3.38  
 31.02.96             Kassa     Vortag  
 Ikel Ind......     64.00      64.00  
 ILV.....      0.00       7.70  
 Lachenmann......     57.00      59.70  
 LESART..........     39.60      39.60  
 Lyck.........     29.10      29.00  
 Leyens....     23.50      23.30  
 Loesdau Dougl.    133.50     132.40  
 Lusa..      4.15       4.00  
 Gipat On-Line..     42.00      46.00  
 Grashopper.......      7.80       7.80  
 Next............     10.50      10.30  
 Goldini Brok.Hill.      4.15       4.00  
 NUR Advanced....      7.00       6.80  
 Ocean Optique...      3.00       3.00  
 Rockship Systems..     70.80      70.30  
 Organik.........      1.90       2.10  
 OTP-Ung.Glup.     16.00      15.50  
 30.01.97             Kassa     Vortag  
 AmLimit...      1.10       0.95  
 AppelrathCüpper.    132.00     131.50  
 Adote......     12.00      12.30  
 Lugnorre......      8.80       8.20  
 Avrasya....      4.20       4.10  
 Tübbergen.Italo.Cement     48.40      48.30  
 Protein Design..     38.20      41.00  
 Quarterdeck.....     23.50      24.00  
 CSFH Electronic.      5.10       5.10  
 Cloeren..........     40.50      39.70  
 CHTU.     43.50      43.50  
 CHEZ Gize.....     49.60      49.20  
 Humana....    106.00     104.50  
 Härdtner..........     20.30      20.50  
 Highflyer..     13.50      13.50  
 Havenhostel...     36.70      37.00  
 HWI..........    770.00     770.00  
 31.01.96             Kassa     Vortag  
 Spatializer.....      6.60       6.70  
 HCMZ.........     32.50      34.00  
 Spyglass........     56.50      57.20  
 Hundshalde Min..      0.33       0.32  
 MarktKauf Russia     19.90      19.50  
 Mansureh.....     67.00      66.20  
 Turbochef.......     20.00      20.00  
 NRVU...     55.80      59.00  
 Strieberg..........     59.90      59.60  
 Schollenlädchen A.........     28.00      28.00  
 Schollenlädchen B.........     28.00      28.00  
 k....     30.50      30.20  
 Kräuterhütte.........      7.05       7.00  
 DialogDirekt...      9.60       9.80  
 YPF.............     33.10      33.10  
 Plönges............     37.00      37.50  

 Quelle: StilArt

M.f.G.

Ernest


 " Eybmlc@pxig.fmaa.xvl ".................................Ramelsbach

-----------------------------------------------------------------
