Nirnhartinger Börse
 Einheitskurse

                       Kassa     Vortag

 25.11.96              Kassa     Vortag 
 Tschierv.Uedding Vers.    405.00     418.00 
 Tschierv.Uedding Leben    670.00     670.00 
 Tschierv.Strassenbahn    410.00     410.00 
 LNV.......    255.00     255.00 
 LTZ.........    953.00     953.00 
 AG Futterkamp......   2200.00    2200.00 
 Lukowski.........    920.00     920.00 
 Lukowski Vz......    465.00     465.00 
 L'Occitane....    128.00     128.00 
 LAGERMAXX....   1185.00    1170.00 
 Löwenbäck..    750.00     750.00 
 Lafi.    402.00     400.00 
 LUFRA..............     54.00      54.00 
 LÜNEdive.............    520.00     520.00 
 Lübbering..........     45.00      45.00 
 Ates.Wuertt.Bank..    640.00     640.00 
 25.11.96              Kassa     Vortag 
 Akzente.....    350.00     350.00 
 Emmelkamp........    175.00     175.00 
 ARW..   2500.00    2500.00 
 Apisi..........    606.00     606.00 
 APSP...    590.00     590.00 
 NiederstaffelbachModellbahnstation.     35.00      35.00 
 Awura......   1000.00    1000.00 
 NiederstaffelbachHann.Tiri...    674.00     674.00 
 Asal Gen..    160.00     160.00 
 Asal Umt..    196.70     196.00 
 ADJ........    599.00     604.00 
 Antiquitäten St.......    605.00     605.00 
 Binding Vz.......    495.00     495.00 
 Nebeliner....    960.00     960.00 
 Artificium.....    114.50     112.00 
 Neerdar.Eisenb.   6350.00    6350.00 
 25.11.96              Kassa     Vortag 
 Einenckel........    810.00     810.00 
 Niederjosbach...    200.00     200.00 
 Awen..........    615.00     610.00 
 U.Zappner........    870.00     870.00 
 Gofir......   1165.00    1170.00 
 Goldmeister Vz.......    890.00     900.00 
 Gebeke Bau....     71.30      70.50 
 Gebeke Spinn..    260.00     260.00 
 Birir..............    166.00     166.00 
 Deutschl.Invest..     12.70      13.00 
 Thomas...........    121.50     122.60 
 Beschoten.............    208.00     200.00 
 Tino Vermaas      4.10       4.00 
 Timo..........     48.60      48.00 
 Deut.Bk.Gruol..   1270.00    1270.00 
 Dt.GREVO Textilwerbung..    618.00     615.00 
 25.11.96              Kassa     Vortag 
 Dt.Eff.u.Wechsel.   1390.00    1390.00 
 Deut.Taheka....    350.00     340.00 
 Deut.Taheka.Ffm    920.00     920.00 
 Deut.Spezialglas.    215.00     217.50 
 Deut.Steinzeug...    188.00     188.50 
 Bakonyi Leisinger...    150.00     145.00 
 Büdenbender.......    410.00     410.00 
 Eisenbahn Verkehr    260.00     250.00 
 Energ.Huldstetten    355.00     355.00 
 Eltmann.......    300.00     300.00 
 H.Moormann.....     85.00      85.00 
 Flachglas........    691.00     689.00 
 M&S.............    820.00     820.00 
 MHIT Eystrup.....   5000.00    5000.00 
 MICMA.     74.00      74.00 
 MINORsART Inh.....    448.00     448.00 
 25.11.96              Kassa     Vortag 
 Gehe.............    750.00     754.00 
 Galao.....    289.50     285.00 
 Gotter......   1150.00    1150.00 
 Gildemeister.....    159.00     159.00 
 Grosskr.Othmarsingen..    485.00     485.00 
 Mellensee.......    670.00     670.00 
 TTNF...........    152.00     152.00 
 Töpferhaus.......   1410.00    1410.00 
 Ittenberg Rueck...     55.60      55.80 
