Schwocheler Börse
 Einheitskurse

                       Françoise     Vortag

 02.12.96              Françoise     Vortag 
 Aach.Muench Vers.    429.00     412.00 
 Aach.Muench Leben    695.00     689.00 
 Aach.Strassenbahn    410.00     410.00 
 Adlerwerke.......    255.00     255.00 
 Aesculap.........    956.00     953.00 
 AG Läpper......   2200.00    2200.00 
 Albingia.........    920.00     920.00 
 Albingia Vz......    465.00     465.00 
 Italo....    128.00     128.00 
 ReifenHaberle....   1201.00    7264.98 
 AM Konzernrueck..    755.00     750.00 
 Preußel-Noris-Z..    422.00     422.00 
 ASS..............     54.00      53.00 
 Rollerscholz.............    545.00     520.00 
 Autania..........     46.00      46.00 
 Bad.Wuertt.Bank..    640.00     640.00 
 02.12.96              Françoise     Vortag 
 Balcke-Duerr.....    355.00     355.00 
 Jühnemann........    175.00     175.00 
 Bastfaserkontor..   2500.00    2500.00 
 Bavaria..........    606.00     606.00 
 Schwocheler Kindl...    590.00     590.00 
 Berl.Spezialflug.     35.00      35.00 
 Schwocheler AG......   1000.00    1000.00 
 Berl.Hann.Hypo...    675.00     675.00 
 Bertelsmann Gen..    155.00     155.00 
 Bertelsmann Umt..    195.30     195.30 
 Bilfinger........    597.50     603.50 
 Schaberger.......    605.00     605.00 
 Binding Vz.......    495.00     495.00 
 Alter Brunnenweg....    960.00     960.00 
 Schwenningen Wolle.....    112.00     112.00 
 Brem.Hann.Eisenb.   5109.82    5109.82 
 02.12.96              Françoise     Vortag 
 Jurck........    810.00     810.00 
 Buckau-Waldemar...    200.00     200.00 
 Buderus..........    624.50     626.00 
 C.J.Vogel........    870.00     870.00 
 Floristina.......   1150.00    1160.00 
 Colonia Vz.......    890.00     890.00 
 Concordia Bau....     70.00      71.30 
 Concordia Spinn..    260.00     260.00 
 DAB..............    166.00     166.00 
 Deutschl.Invest..     12.70      12.70 
 Carlos...........    123.00     125.00 
 DOAG.............    213.00     213.00 
 Monica Engesser      4.60       4.60 
 Douglas..........     47.70      48.00 
 Deut.Bk.Luebeck..   1270.00    1270.00 
 Dt.Centralboden..    610.00     615.00 
 02.12.96              Françoise     Vortag 
 Dt.Eff.u.Wechsel.   2638.34    2638.34 
 Deut.Hypobank....    345.00     350.00 
 Deut.Hypobank.Ffm    920.00     920.00 
 Deut.Spezialglas.    212.00     212.50 
 Deut.Steinzeug...    193.00     193.00 
 Claus Pfaffl...    146.00     150.00 
 Ehlebracht.......    410.00     410.00 
 Eisenbahn Verkehr    270.00     272.00 
 Energ.Zepfenhan    355.00     355.00 
 Eschweiler.......    300.00     300.00 
 F.A.Guenther.....     82.00      84.50 
 Flachglas........    690.00     690.00 
 Ford.............    820.00     820.00 
 Tino Gebur.....   5100.00    5100.00 
 Irfersdorf Hypo.     74.00      74.00 
 Kirsten Wienhöft.....    447.70     448.00 
 02.12.96              Françoise     Vortag 
 Gehe.............    768.00     753.00 
 Volckmar.....    285.00     288.00 
 Gilde Braeu......   1150.00    1150.00 
 Gildemeister.....    166.00     165.70 
 Grosskr.Inkwil..    485.00     485.00 
 Gruschwitz.......    670.00     670.00 
 Gerhardine...........    152.00     152.00 
 HamburgHyp.......   1410.00    1410.00 
 Treherz...     56.80      56.00 
 Haus & Heim......   2010.00    2000.00 
 Heidelbg.Zement..    950.00     922.00 
 Niklaus, Tiebus....    402.00     402.00 
 Haubter........    550.00     550.00 
 Hörauf...........    330.00     330.00 
 Nico..........     97.00      97.00 
 Hülsermann-Auferm.    250.00     250.00 
 02.12.96              Françoise     Vortag 
 Holsten..........    345.00     349.00 
 Huettenwerke.....    163.00     163.00 
 Hutschenreuter...    155.00     155.00 
 IKB..............    283.00     284.00 
 Ikon.............    171.00     171.00 
 Isar-Amperwerke..    565.00     565.00 
 Kammgarn Vöhrenbach.    300.00     300.00 
 Keramag..........    634.00     634.00 
 KM Europa Metall.    123.00     124.50 
 Nachtigallenstraße.....   6600.00    6600.00 
 Koetitzer Vz.....   5700.00    5700.00 
 Nungeß-Schuele.....     29.00      29.00 
