Veddeler Börse
 Einheitskurse

                       Kassa     Vortag

 31.12.95              Kassa     Vortag 
 Acquarossa.Schwarzach Vers.    304.12     304.12 
 Acquarossa.Schwarzach Leben    680.00     670.00 
 Acquarossa.Strassenbahn    410.00     410.00 
 WWS.......    260.00     258.00 
 Wehulu.........    935.00     935.00 
 AG Prechters......   2200.00    2200.00 
 WWK.........    930.00     965.00 
 WWK Vz......    460.00     480.00 
 Wohnorama....    128.00     128.00 
 Werrepark....   1190.00    1200.00 
 WMOB Konzernrueck..    745.00     745.00 
 Weilepp.    402.00     402.00 
 Westcenter..............     57.00      57.00 
 WFMG.............    495.00     495.00 
 WSI..........     59.00      59.00 
 Arapu.Wuertt.Bank..    620.00     620.00 
 31.12.95              Kassa     Vortag 
 Adeki.....    353.50     352.00 
 Isenheim........    175.00     175.00 
 Allgäuland..   2500.00    2500.00 
 Adevim..........    615.00     615.00 
 Asiastube...    585.00     585.00 
 VelenDiakonie-Lädle.     40.00      40.00 
 Alheit......   1000.00    1000.00 
 VelenHann.UNKS...    674.00     674.50 
 Anding Gen..    165.00     165.00 
 Anding Umt..    194.50     194.70 
 Andette........    567.00     575.00 
 Binding St.......    605.00     610.00 
 Binding Vz.......    495.00     495.00 
 Völkershausener....    960.00     960.00 
 Anziehungspunkt.....    119.00     118.00 
 Voggenberg.Eisenb.   6300.00    6300.00 
 31.12.95              Kassa     Vortag 
 Ingenfeld........    800.00     800.00 
 Vierhausendorf-Walther...    200.00     200.00 
 AGV..........    608.00     603.00 
 D.Vohwinkel........    890.00     890.00 
 Enoza......   1180.00    1180.00 
 Emad Vz.......    930.00     930.00 
 Eharim Bau....     73.00      73.00 
 Eharim Spinn..    265.00     270.00 
 Kreiller..............    167.00     167.00 
 Deutschl.Invest..     12.50      12.50 
 Fabio...........    129.50     129.00 
 Kürvers.............    228.00     230.00 
 Fred Zschach      5.25       5.50 
 Fridolin..........     46.50      46.50 
 Deut.Bk.Oegenbostel..   1255.00    1255.00 
 Dt.Eniri..    625.00     625.00 
 31.12.95              Kassa     Vortag 
 Dt.Eff.u.Wechsel.   1390.00    1390.00 
 Deut.UKHM....    370.00     370.00 
 Deut.UKHM.Ffm    930.00     930.00 
 Deut.Spezialglas.    205.00     205.50 
 Deut.Steinzeug...    200.00     205.00 
 Kerres Wohini...    145.00     145.00 
 Niederste-Berg.......    405.00     405.00 
 Eisenbahn Verkehr    255.00     261.00 
 Energ.Niederaltheim    355.00     355.00 
 Dhünn.......    300.00     300.00 
 K.Pottbecker.....     92.00      90.00 
 Flachglas........    682.50     680.00 
 Outline.............    835.00     835.00 
 Olipark Dunzenhausen.....   5000.00    5000.00 
 OAR.     74.00      74.00 
 OGVI Inh.....    441.00     439.00 
 31.12.95              Kassa     Vortag 
 Gehe.............    722.00     720.00 
 EZW.....    282.00     275.00 
 Erodu......   1051.10    1010.00 
 Gildemeister.....    151.00     145.00 
 Grosskr.Wenslingen..    485.00     485.00 
 Fahra.......    675.00     675.00 
 Hübert...........    150.00     150.00 
 Büden.......   1123.00    1070.00 
 Brachthausen Rueck...     55.00      55.00 
 Uhup......   1875.00    1875.00 
 Biebelnheim.Zement..    922.00     930.00 
 Horstbrink, Magerl....    390.00     390.00 
 Ulap........    560.00     560.00 
 UPJ...........    330.00     330.00 
 Hirschbühl..........     95.50      95.50 
 Uwet.    250.00     250.00 
 31.12.95              Kassa     Vortag 
 Hoecker..........    318.00     325.00 
 Huettenwerke.....    170.00     170.00 
 Hoeppner...    152.00     162.00 
 Natoshop..............    280.50     279.50 
 NIBL.............    175.00     175.00 
 NPN..    565.00     565.00 
 Ratzefummel.    306.00     306.00 
 Renova..........    615.00     600.00 
 raumfahrtagentur.    125.00     125.00 
 Rena St.....   6600.00    6600.00 
 Loechel Vz.....   5700.00    5700.00 
 RavensburgerJarosz.....     36.00      36.00 
 RUBF    500.00     500.00 
 Rühmann....   1060.00    1050.00 
 Lindlohr....    485.00     485.00 
 Leenen....    200.00     200.00 
 31.12.95              Kassa     Vortag 
 Rauschnetz....    630.00     630.00 
 Langbein.........    255.00     255.00 
 VEIW............    109.00     105.50 
 Markt-RWG    245.00     240.00 
 Gottemeier...    195.00     195.00 
 Gletscheralpe.........   4200.00    4200.00 
 GenußCompagnie..    353.00     340.00 
 GZD..   2700.00    2700.00 
 Kälble......    350.00     350.00 
