Jabeler Börse
 Ausland / Einheitskurse

                    Kassa     Vortag

 17.10.96             Kassa     Vortag  
 Acclaim.........     17.30      15.90  
 Adanced Mammogr.      2.90       2.95  
 ZOGL...........     56.90      53.00  
 Anglo.Lutz.Corp.    105.00      98.00  
 Zugvogel...........    102.60     102.60  
 ZRK..     53.50      54.70  
 zimmerei,Treppenbau.......     85.00      88.10  
 Zizzi.........      4.10       4.10  
 Zuckerbeck.    105.00      98.00  
 Zormeier..    103.60     103.30  
 Zwischenzeit.........     12.70      11.70  
 Zuhov.....     22.00      22.00  
 Aus.Nat.Indust..      1.10       1.10  
 ZVOS.........     97.20      98.80  
 AVIA............     12.00      12.00  
 B A T...........     12.20      12.20  
 17.10.96             Kassa     Vortag  
 ULVJ...     40.30      39.00  
 Ugan.     36.80      36.40  
 ULGZ...    102.90     102.50  
 UTUW......     63.50      63.80  
 UMGF..........     69.00      70.00  
 Unkown.........      8.40       8.50  
 Ufape...........      3.65       3.60  
 Bowater.........     50.30      51.20  
 UULT      8.80       8.50  
 UML......     69.20       0.00  
 B.A.Embotellad..     31.50      30.20  
 Odetig      1.15       1.10  
 OAG.............     53.40      53.00  
 optom.....     65.00      63.90  
 17.10.96             Kassa     Vortag  
 Osani...    112.00     105.00  
 Okeb Zube     12.65      12.70  
 Code Zasif......      8.40       8.20  
 o2-Shop..........     68.50      66.20  
 Comp.Telef.Chile    123.00     122.70  
 Obstkorb     14.50      14.00  
 Otove.Chile...     34.00      34.20  
 Fliesenzentrum...      2.40       2.50  
 Oesingmann........     29.20      24.50  
 Florapark.......    106.50     103.00  
 Fantazi............    112.00     114.00  
 Fäsl....    104.50     104.50  
 Kirschblüte.......     63.80      60.40  
 Ferring...     38.20      35.50  
 Kuchinke.....     33.10      33.00  
 Kitus.     39.20      38.00  
 22.01.96             Kassa     Vortag  
 KSVA...    108.00     108.00  
 Ketzer...     50.50      50.00  
 Kulmen's..     29.80      29.80  
 KUZ.........     40.60      41.20  
 Kernbeisser.Germ.Fund.     11.50      11.30  
 Klingentorpassage........     29.00      28.00  
 km-elektronik...      0.00       0.50  
 NitaheFund.     12.20      12.00  
 Nopotel...     13.00      12.90  
 Pappschachtel..     15.70      15.70  
 PLFC......     59.00      55.00  
 PGLC..      9.60       9.10  
 Greenlight......      1.68       1.70  
 Grupo Mexicano..      3.60       3.45  
 Grupo DCVS..     38.60      37.50  
 PEROBYTE.....     20.30      20.30  
 16.01.96             Kassa     Vortag  
 GT Chile Growth.     61.00      61.00  
 Piccos........     10.90      10.50  
 Hi-Rise Recycl..      7.60       7.40  
 Homestake Mining     26.80      26.00  
 Hungarian Inv...     90.00      89.50  
 Mevad.....     15.80      16.00  
 westermo.........     16.00      16.00  
 Wasserwirtschaftsverband.Inf      2.45       2.40  
 Interact.Flight.     09.07      09.07  
 Laborat.Chile...     20.00      20.50  
 Ahez..      3.70       3.70  
 Amore......     15.20      15.20  
 Gérald........      4.10       4.10  
 Lend Lease......     21.70      21.70  
 Gabriel Gold......      1.95       1.90  
 Gerard Torsten.....      3.30       3.30  
 22.01.96             Kassa     Vortag  
 Autolackiererei.....     64.00      64.00  
 Agravis.....      7.70       7.70  
 Hamu......     53.60      53.80  
 Hückelheim..........     43.30      43.90  
 HUK.........     30.60      31.10  
 Hexenbäck....     25.50      25.00  
 HTOE Dougl.    130.30     130.30  
 Hoenen..      3.90       3.80  
 Landwehrmeier On-Line..     48.00      45.50  
 Lokschuppen.......      7.90       7.80  
 Next............     10.00       9.70  
 Loupas.Hill.      3.90       3.80  
 NUR Advanced....      6.90       6.90  
 Ocean Optique...      3.50       4.00  
 IVOW Systems..     66.90      65.60  
 Organik.........      2.40       2.40  
 OTP-Ung.Lingenberg.     11.50      11.50  
 Egafew...      1.06       1.05  
 Edah.    136.00     132.00  
 Ezem......     10.90      10.90  
 Peist......      7.40       7.25  
 Einkaufsmarkt....      3.78       3.75  
 Puert.Michael.Cement     48.70      48.30  
 Protein Design..     33.00      34.00  
 Quarterdeck.....     23.50      24.00  
 CMCL Electronic.      5.10       5.10  
 CLWT..........     39.20      38.00  
 convertini.     32.20      32.50  
 cinemania Landgraff.....     49.60      49.20  
 Videotaxi....    100.00     100.00  
 Vafo..........     20.00      20.20  
 Vihiku..     13.00      13.00  
 VELOTOM...     29.50      27.10  
 VHIR..........    770.00     770.00  
 22.01.96             Kassa     Vortag  
 Spatializer.....      6.50       6.50  
 VPA.........     42.00      42.00  
 Spyglass........     53.00      45.80  
 VPRE Min..      0.31       0.30  
 Demm Russia     21.85      22.10  
 DKMM.....     63.00      62.20  
 Turbochef.......     16.00      15.60  
 Radgeber...     72.30      66.00  
 trinkgut Dogan..........     56.10      54.60  
 Tase A.........     29.50      29.50  
 Tase B.........     29.30      29.30  
 Boetius....     27.00      27.50  
 Blütenduft.........      6.60       6.55  
 Organix-Biomarkt...      9.30       9.50  
 YPF.............     32.30      31.20  
 Michaelpark............     38.50      38.50  

 Quelle: Tulipan

M.f.G.

Luc


 " Ccdzke@zibm.ncve.moh ".................................Lohrheim

-----------------------------------------------------------------
