Caronaer Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 08.05.96    15:58:51    Kassa   Vortag 
 ZRK........  630.00   630.00   633.00 
 ZöttlmühleMühlenladen......   84.90    84.90    82.40 
 Zuschka.........    0.00     0.00   154.50 
 Ziervogelzucht........  150.00   150.00   150.00 
 Agiv........   29.00    28.70    28.70 
 ZLCD..  240.00   240.00   242.00 
 ZUF.  240.00   240.00   245.00 
 Zentralrad Gen.  135.00   135.00   135.00 
 Zentralrad Hold 2879.00  2882.00  2894.00 
 ZVLO......  858.00   858.00   869.00 
 Zanek Inh.....  925.00   925.00   935.00 
 Zanek Nam..... 1065.00  1070.00  1073.00 
 Zollerküchen St.....  760.00   760.00   760.00 
 Zollerküchen Vz.....  670.00   670.00   675.00 
 pharmacy...  485.00   485.00   485.00 
 Pamo.Carona  365.50   367.00   364.00 
 08.05.96    14:05:36    Kassa   Vortag 
 PZD........  349.00   352.00   353.30 
 Pyka....   36.25    36.32    36.32 
 Pede   42.45    42.45    42.50 
 PSLA.......  420.70   423.00   424.00 
 picobello.. 1070.00  1070.00  1060.00 
 Cond.El.St..   50.50    50.30    50.80 
 CorpatauxEl.Vz..   48.50    48.45    48.50 
 pfiffikus.......  426.50   426.50   429.00 
 Pythagoras....   40.80    40.80    41.10 
 PKOA St......  801.00   801.20   806.00 
 PKOA Vz......  569.50   569.50   570.00 
 Phonediscounter  215.00   215.00   217.00 
 Cottbus.   28.50    23.10    37.00 
 M15........   95.00    95.00    95.00 
 Megamax.  342.10   342.80   348.00 
 08.05.96    16:10:40    Kassa   Vortag 
 Millepiedi....  569.00   569.00   569.00 
 Mevam.   23.35    23.45    23.70 
 Kräuterladen.....    0.00     0.00   768.50 
 Krehenwinkel.....  523.00   523.00   518.00 
 Kleinknecht..   58.00    58.00    58.00 
 KNÜLLER.Presse-Tabak...   67.95    68.35    68.80 
 Apitius......  100.00   100.00   103.00 
 ANZELM.........  233.00   233.00   233.00 
 Keku.  232.00   232.00   226.00 
 Eichlinghofen.Bank..   37.50    37.60    37.70 
 Kaiserbeck.  172.00   172.00   174.00 
 Kuhnt..  123.80   123.80   124.00 
 Ketterle...  730.00   730.00   730.00 
