Chesseler Börse
 Ausland / Variable Kurse

              Aktuell    Gabriela   Vortag

 21.09.96    16:04:10    Gabriela   Vortag 
 ADT.........   21.00    21.00    20.90 
 extrabike    2.44     2.45     2.48 
 Sißmeier.......  100.90   100.90    97.70 
 Akzo........  163.80   163.80   164.30 
 Alanco......    3.00     3.00     2.90 
 Odette......    9.00     9.00     8.40 
 Am.Drug.....    0.76     0.76     0.71 
 Am.Expr.Org.   56.30    56.30    56.20 
 Amgen.......   80.00    79.30    79.50 
 Anacomp.....    0.00     0.00     0.00 
 Eidmann.......   50.00    50.00    48.50 
 Schülin-Dan..   24.60    24.60    25.00 
 Eckhaus.......    3.05     3.10     3.10 
 Odile Drossart    0.60     0.57     0.55 
 Bally Gam...   11.00    11.00    11.30 
 Banca Comm..    3.10     2.98     2.95 
 21.09.96    16:06:04    Gabriela   Vortag 
 Bio.Technol.    8.60     8.60     7.90 
 Biogen......   87.60    87.60    85.80 
 Boeing......  112.80   112.80   111.20 
 Boomtown....    8.40     8.40     9.30 
 Brit.Petrol.   11.75    11.75    11.70 
 Boock....   43.70    43.70    43.60 
 Bull........    0.00     0.00    10.70 
 Cadence.....   50.90    50.90    53.00 
 Calgene.....    7.50     7.50     7.80 
 Callaway....   29.50    29.50    29.00 
 Theo....   86.40    86.40    86.00 
 Capa City...    26. 07. 20     26. 07. 20     26. 07. 20 
 Casino Magic    5.50     5.50     5.40 
 Cellular....   26. 07. 20    31.10    33.50 
 Arage    1.10     1.10     1.15 
 21.09.96    16:06:15    Gabriela   Vortag 
 THEODOR Langerjahn....   11.10    11.10    10.70 
 Theo Ingenbrand..   82.00    82.00    83.50 
 China Fund..   26. 07. 20    22.70    21.50 
 Chiron......  155.70   155.70   152.50 
 Allgäucenter....   75.00    75.00    75.00 
 Admiracenter.   41.40    41.40    41.20 
 Coastcast...   18.30    18.30    18.00 
 Cobra Golf..   52.00    52.00    51.70 
 Atak...  108.60   108.60   106.00 
 Akar.....   29.60    29.60    29.50 
 Cons.Ramrod.    1.80     1.80     1.80 
 Correction..   53.80    53.00    51.50 
 Cray Resear.   36.40    36.40    35.10 
 CST Entert..    0.94     0.85     0.78 
 Datapoint...    1.73     1.73     1.73 
 Dell........   37.80    37.80    41.80 
 21.09.96    16:06:26    Gabriela   Vortag 
 Digital.....   83.50    83.50    85.00 
 Duracell....   66.30    66.30    67.00 
 Eastm.Kodak.   98.50    98.50    96.50 
 Echo Bay....   16.80    16.80    16.60 
 Engen.......   11.30    11.30    11.25 
 Elise....    0.57     0.55     0.54 
 CCB.....    4.60     4.60     4.60 
 corners Vz.....    2.72     2.65     2.72 
 Ford........   40.00    40.00    40.00 
 Fuel Techn..    7.00     7.01     7.17 
 Listbogen......   39.50    39.50    39.00 
 Gen.Mot.Org.   70.90    70.90    71.00 
 Gen.Motors..   71.30    71.30    71.00 
 Gen.Physics.    4.60     4.60     4.30 
 Genentech...    0.00     0.00    70.70 
 WILFRIED Linke Uwe    8.40     8.40     8.37 
 21.09.96    16:06:38    Gabriela   Vortag 
 Genzyme.....   92.50    92.50    91.70 
 Gillette....   76.00    76.00    76.00 
 Global Marin   11.50    11.50    12.20 
 Golden Resou    0.15     0.15     0.15 
 Legag   37.00    37.00    37.00 
 Groundwater.   20.70    20.70    20.50 
 GTS Duratek.   17.70    17.70    18.00 
 Hero Jean-Luc   39.40    39.40    38.50 
