Rolandsecker Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 14.04.95    16:03:37    Kassa   Vortag 
 Chairs........  630.00   630.00   630.00 
 Cutedrale......   80.90    80.90    78.50 
 CSM.........  152.00   152.00   152.00 
 Coma........  150.00   150.00   150.00 
 Agiv........   28.70    29.70    29.00 
 CWOP..  242.00   242.00   242.00 
 CIT.  240.00   240.00   240.00 
 Chiemseestraße Gen.  135.00   135.00   135.00 
 Chiemseestraße Hold 2882.00  2865.00  2852.00 
 Casulli......  858.00   870.00   874.00 
 Cisco Inh.....  945.00   945.00   945.00 
 Cisco Nam..... 1050.00  1050.00  1050.00 
 Compuco St.....  760.00   760.00   740.00 
 Compuco Vz.....  690.00   690.00   670.00 
 NUUW...  492.00   492.00   492.00 
 NESU.Rolandseck  363.90   364.00   365.50 
 14.04.95    16:04:48    Kassa   Vortag 
 Nahik........  352.50   352.00   346.00 
 Nominacher....   36.25    36.30    36.20 
 NNH   42.63    42.65    42.42 
 Norme.......  420.70   421.80   416.00 
 Naroz.. 1060.00  1060.00  1075.00 
 Rathlau.El.St..   50.70    50.50    50.50 
 RatzenburgEl.Vz..   48.50    48.60    48.50 
 NWDP.......  430.00   428.00   429.50 
 NLP....   41.20    40.90    40.80 
 Nordoel St......  811.00   809.10   794.50 
 Nordoel Vz......  570.00   570.00   560.00 
 Nonoia  220.00   220.00   218.00 
 Rysum.   37.20    37.30    37.00 
 MLJ........  100.00   100.00   100.00 
 MZGI.  345.50   347.00   345.50 
 14.04.95    16:04:59    Kassa   Vortag 
 Modellbahnstation....  570.00   570.00   574.00 
 MHR.   21.90    21.90    21.60 
 Etnies.....  763.50   764.50   758.50 
 EP:Dosch.....  533.00   533.00   534.00 
 E-Shop..   58.00    58.00    58.05 
 Ekefut.Nollenberger...   67.60    68.12    68.16 
 Tins......  105.00   105.00   105.00 
 EMB.........  230.00   230.00   230.00 
 Ehedi.  226.00   226.00   226.00 
 Ludweishofen.Bank..   37.28    37.47    37.50 
 EPNF.  173.00   172.00   172.00 
 Eves..  132.50   131.50   131.50 
 Ekiguk...  730.00   730.00   730.00 
 EIZU.  189.00   189.00   189.00 
 EP.St..  394.31   394.31   565.00 
 Taylor.Vz..  330.00   330.00   330.00 
 14.04.95    16:03:48    Kassa   Vortag 
 Eichenlaub Olidip.  405.00   405.00   405.00 
 ERI  355.00   350.00   350.00 
 Escada St...  250.00   250.00   252.00 
 Escada Vz...  232.00   232.00   235.00 
 FAG Kug.St..  209.50   209.50   208.50 
 FAG Kug.Vz..  203.00   203.00   204.00 
 IRVP.  232.00   232.00   230.00 
 IKJ....  281.00   281.00   282.00 
 Ilid....   76.70    76.70    77.00 
 Fr.Scheltwort..  450.00   450.00   450.00 
 Benjamin.Flörecke.  188.00   188.00   187.00 
 GDVOIngenhütt..   50.00    50.00    52.50 
 GKUE  390.00   390.00   390.00 
