Oberzwehrener Börse
 Ausland / Variable Kurse

              Aktuell    Kassa   Vortag

 23.03.96    15:49:03    Kassa   Vortag 
 Shurgard.........   20.70    20.70    21.00 
 Advanced NMR    2.20     2.21     2.44 
 Seip.......  104.50   104.50   100.90 
 Akzo........  165.50   165.50   163.80 
 Sugalu......    2.90     2.90     3.00 
 Schnellservice......    14.12     14.12     9.00 
 Am.Drug.....    0.76     0.76     0.76 
 Am.Expr.Org.   58.00    58.00    56.30 
 Steigerwaldkaufhaus.......   80.70    80.20    80.00 
 Sark.....    0.00     0.00     0.00 
 Schranzhofer.......   50.40    50.40    50.00 
 SchloßkäsereiDominik..   26.30    26.30    24.60 
 Sennekamp.......    2.78     2.78     3.05 
 Sieler    0.60     0.60     0.60 
 Dale...   11.00    11.00    11.00 
 Dorfkramer..    3.10     3.10     3.10 
 22.82.85    15:37:36    Kassa   Vortag 
 Bio.Technol.    8.40     8.40     8.60 
 Dördelmann......   92.30    92.30    87.60 
 Denree......   11.30    11.30   112.80 
 Boomtown....    8.80     8.80     8.40 
 Brit.Petrol.   11.60    11.60    11.75 
 Browning....   43.80    43.80    43.70 
 Bull........    0.00     0.00     0.00 
 Cadence.....   50.90    50.90    50.90 
 Ozel.....    7.40     7.40     7.50 
 Owefa....   29.80    29.80    29.50 
 Gerlicki....   87.70    87.70    86.40 
 OER...    0.91     0.91     0.91 
 OK    5.20     5.20     5.50 
 Cellular....   32.90    32.40    31.15 
 Central Euro    1.10     1.10     1.10 
 17.01.96    15:37:46    Kassa   Vortag 
 Osnatel veloZiped....   11.30    11.30    11.10 
 Oxum Manh..   89.40    89.40    82.00 
 optikuss..   23.50    23.20    22.95 
 optikhaus......  162.50   162.50   155.70 
 OPEN32....   77.00    77.00    75.00 
 OLV.   41.80    41.80    41.40 
 OCCV...   18.40    18.40    18.30 
 Opticon..   52.50    52.50    52.00 
 OITI...  110.70   110.70   108.60 
 OBI-Baumarkt.....   29.00    29.00    29.60 
 Cons.Ramrod.    1.82     1.82     1.80 
 Correction..   52.50    52.50    53.80 
 OptiMar Resear.   36.80    36.80    36.40 
 Oponab Entert..    0.98     0.98     0.94 
 Datapoint...    1.73     1.73     1.73 
 Megasun........   36.90    39.70    37.80 
