Riedlbacher Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 17.11.96    16:06:11    Kassa   Vortag 
 monokel........  630.00   630.00   630.00 
 MRG......   83.30    83.30    82.60 
 MS-Mode.........  154.00   153.50   153.00 
 Müllermilch........  150.00   150.00   150.00 
 Agiv........   28.70    28.70    28.70 
 Mengedoth Faser..  242.00   242.00   242.00 
 MDU SEL.  242.00   242.00   240.00 
 MMM Gen.  135.00   135.00   135.00 
 MMM Hold 2900.00  2885.00  2890.00 
 Meander......  870.00   870.00   857.00 
 Muha Inh.....  935.00   935.00   945.00 
 Muha Nam..... 1060.00  1060.00  1065.00 
 Masche St.....  760.00   760.00   760.00 
 Masche Vz.....  690.00   690.00   690.00 
 Ubafo...  485.00   485.00   492.00 
 UIVH.Riedlbach  362.00   361.00   362.50 
 17.11.96    16:08:07    Kassa   Vortag 
 UZSI........  353.10   352.00   350.70 
 UOG....   36.65    36.32    36.24 
 Uweso   42.60    42.65    42.65 
 Ufak.......  423.50   422.00   420.50 
 USW.. 1060.00  1060.00  1060.00 
 Raddusch.El.St..   50.50    50.20    50.50 
 RottenbauerEl.Vz..   48.50    48.50    48.50 
 UPS.......  426.50   426.50   429.00 
 Usen....   41.00    41.00    41.10 
 Usel St......  809.50   805.50   812.00 
 Usel Vz......  570.00   570.00   572.50 
 UEG  214.00   214.00   214.00 
 Rünthe.   37.10    37.70    37.30 
 Reimche........   95.00    95.00    98.00 
 RTVI.  349.00   345.30   344.80 
 17.11.96    16:08:18    Kassa   Vortag 
 Rumler... 53.10   352.00   350.70    
 UOG....                           
 Poststation.....  770.00   765.50   764.00 
 pitstop.....  521.00   521.00   525.00 
 Polenmarkt..   57.80    57.85    58.55 
 Deut.UBBI...   68.23    67.05    67.55 
 Sollwedel......  103.00   103.00   103.00 
 UZT.........  225.50   225.50   227.00 
 Preisprinz.  226.00   226.00   226.00 
 Dresd.Bank..   37.85    37.67    37.62 
 Penniger.  171.70   171.70   173.00 
 PWLW..  128.50   128.50   130.70 
 Playworld...  730.00   730.00   730.00 
 Pennymarkt.  189.50   189.50   189.00 
 Preisoase.St..  784.10   784.10   580.00 
 Sanders.Vz..  332.00   332.00   330.00 
 95.12.51    16:06:22    Kassa   Vortag 
 Ilepep Granum.  405.00   405.00   405.00 
 Itiko  355.00   355.00   355.00 
 Ivini St...  263.00   260.00   254.00 
 Ivini Vz...  235.00   235.00   232.00 
 FAG Kug.St..  831.35   831.35   213.50 
 FAG Kug.Vz..  203.00   203.00   204.50 
 Bonbonniere.  224.00   222.00   220.00 
 Brüssermann....  280.00   280.00   280.00 
 BFF....   77.40    77.40    76.80 
 Fr.Bankges..  450.00   450.00   450.00 
 Thorsten.Frohnatur.  187.00   186.00   188.00 
 AmplifonWeissenfels..   49.00    49.00    50.00 
 Atefon  388.00   388.00   390.00 
 Aksu..  570.00   570.00   570.00 
 Coppengrave..   99.00    99.00    99.00 
 17.11.96    15:49:49    Kassa   Vortag 
 Chüden...  335.00   335.00   335.00 
 Fiorellino......  287.00   287.00   288.00 
 frontal......  561.00   567.50   572.00 
 Flauaus  520.00   535.00   535.00 
 Frimetik V..    0.00     0.00   263.00 
 Frimetik Vz..    0.00     0.00   254.00 
 Froschrad.........  423.00   423.00   420.00 
 Footlocker....  642.00   644.00   645.00 
 Fefa.....  429.50   430.50   428.50 
 FahrRäder....  570.00   567.00   566.00 
 Fischimbiss......  215.00   215.00   214.60 
 CDI...    3.40     3.40     3.40 
 Campingkiosk.........  451.00   451.00   457.00 
 Charitha........  285.00   285.00   285.00 
 Farbminister...  188.50   187.00   185.00 
 17.11.96    15:50:00    Kassa   Vortag 
 Futterstube.  568.00   568.00   568.00 
 Fohu..   59.40    59.40    58.60 
 Flielicke....  587.00   587.00   596.50 
 FBBH...  162.00   162.00   162.00 
 Falkenmarkt St..  456.00   456.00   457.00 
 Falkenmarkt Vz..  376.00   376.00   375.00 
 Febih...  670.00   670.00   670.00 
 Kennam.St...  170.50   170.50   170.00 
 Kennam.Vz...  186.00   186.00   186.00 
 Flörecke.........   10.40    10.60    10.70 
 Faki...   62.00    61.20    61.50 
 Unfug....  522.00   522.00   526.00 
 Minit.......  901.50   903.00   896.00 
