Passberger Börse
 Einheitskurse

                       Kassa     Vortag

 02.03.96              Kassa     Vortag 
 Torgon.Albaching Vers.    422.00     425.00 
 Torgon.Albaching Leben    670.00     670.00 
 Torgon.Strassenbahn    410.00     410.00 
 Fryling.......    258.00     258.00 
 Fußpflege.........    935.00     935.00 
 AG RCG......   2200.00    2200.00 
 FNPV.........    965.00     965.00 
 FNPV Vz......    480.00     480.00 
 FDMG....    128.00     128.00 
 Fahlenbock....   1220.00    1220.00 
 Francoise..    740.00     740.00 
 Fischhalle.    402.00     402.00 
 Friedauer..............     58.00      58.00 
 FKCO.............    490.00     490.00 
 Fruchtparadies..........     60.00      60.00 
 NGAT.Wuertt.Bank..    620.00     620.00 
 02.03.96              Kassa     Vortag 
 Nudelshop.....    356.00     353.00 
 Eckertz........    175.00     175.00 
 Nehberg..   2500.00    2500.00 
 Nanut..........    615.00     610.00 
 Netto-Markendiscount...    585.00     585.00 
 PrimisweilerIII.     40.00      40.00 
 Necotek......   1000.00    1000.00 
 PrimisweilerHann.ZFE...    675.00     670.00 
 Nkd Gen..    165.00     165.00 
 Nkd Umt..    195.00     195.00 
 Nordmeile........    581.50     580.00 
 Binding St.......    615.00     615.00 
 Binding Vz.......    495.00     495.00 
 Pöttelsdorfer....    960.00     960.00 
 Naturkosmetik.....    115.00     115.00 
 Penesdorf.Eisenb.   6300.00    6300.00 
 02.03.96              Kassa     Vortag 
 Ertl........    800.00     800.00 
 Pflugdorf-Walther...    200.00     200.00 
 Nachtexpress..........    588.00     597.00 
 A.Imgraben........    890.00     890.00 
 Hellkötter U.......   1150.00    1150.00 
 Hellkötter Vz.......    925.00     925.00 
 Hackradt Bau....     73.00      73.00 
 Hackradt Spinn..    270.00     275.00 
 Virmani..............    167.00     167.00 
 Deutschl.Invest..     12.50      12.50 
 Dieter...........    127.00     126.00 
 Valko.............    234.00     236.00 
 Denis Landrock      5.50       5.50 
 Darius..........     47.40      48.30 
 Deut.Bk.Degernau..   1255.00    1255.00 
 Dt.HNRS..    623.00     620.00 
 02.03.96              Kassa     Vortag 
 Dt.Eff.u.Wechsel.   1390.00    1390.00 
 Deut.Zweierlei....    371.00     371.00 
 Deut.Zweierlei.Ffm    930.00     929.00 
 Deut.Spezialglas.    210.00     212.00 
 Deut.Steinzeug...    210.00     210.00 
