Middeser Börse
 Ausland / Einheitskurse

                    Kassa     Vortag

 19.12.96             Kassa     Vortag  
 Acclaim.........     17.50      16.60  
 Adanced Mammogr.      2.70       2.57  
 JMDS...........     60.50      59.00  
 Anglo.François.Corp.     98.00      98.00  
 JLC...........    102.50     102.00  
 JRJ..     53.60      51.60  
 Jump-in.......     82.00      81.10  
 JAD.........      4.10       4.10  
 JDKJ.     98.00      98.00  
 JNN..     97.00      95.00  
 JAIR.........     11.80      11.80  
 JRGD.....     22.00      22.00  
 Aus.Nat.Indust..      1.15       1.14  
 Jetzlsberger.........     95.10      93.90  
 AVIA............     12.40      12.40  
 B A T...........     12.20      12.20  
 19.12.96             Kassa     Vortag  
 ZMH...     38.50      37.50  
 ZOKK.     34.50      34.10  
 ZKEO...     99.20      99.10  
 Zentis......     60.90      60.60  
 ZZVW..........     68.00      68.00  
 Zauberwäldchen.........      8.40       8.50  
 Zeitungen_Paketshop...........      3.65       3.65  
 Bowater.........     48.50      49.00  
 Ziba      9.60       9.00  
 ZGK......     78.60       0.00  
 B.A.Embotellad..     32.40      32.20  
 Canadian Pioneer      0.00       0.00  
 Kleimeier      1.15       1.10  
 kodi.............     54.50      55.40  
 Kräuterhaus.....     65.00      64.50  
 19.12.96             Kassa     Vortag  
 Kunsthandwerkerhof...    102.70     101.50  
 Kapezo JGH     12.25      12.50  
 Käsestübchen......      8.45       8.40  
 Krach..........     66.50      67.60  
 Comp.Telef.Chile    120.00     119.00  
 Karadag     12.90      13.70  
 Cristal.Chile...     33.50      32.30  
 Ufeber...      2.40       2.40  
 Ulup........     26.40      29.00  
 ULGZ.......    102.00     101.00  
 Upeba............    111.00     110.00  
 Urif....    104.50     104.50  
 moja.......     59.50      61.80  
 UBC...     40.50      42.50  
 Nasa.....     29.60      30.40  
 Nadu.     35.50      35.20  
 15.01.96             Kassa     Vortag  
 Nudelshop...    108.00     108.00  
 NeuDeli...     50.00      50.00  
 NZR..     30.00      29.00  
 NRH.........     41.20      40.80  
 Nordwaldmarkt.Germ.Fund.     10.70      10.50  
 NLWO........     28.50      28.50  
 NNO...      0.50       0.50  
 First Iber.Fund.     11.85      11.65  
 Tutof...     13.25      13.00  
 sconto..     16.00      16.00  
 Schwieren......     57.70      57.00  
 Schellewald..      7.50       7.50  
 Greenlight......      1.69       1.65  
 Grupo Mexicano..      3.42       3.42  
 Grupo DNE..     35.70      37.00  
 Saarpfalzpark.....     20.00      19.80  
 15.01.96             Kassa     Vortag  
 GT Chile Growth.     60.00      59.50  
 Sternpark........     11.30      11.20  
 Hi-Rise Recycl..     11.00      11.10  
 Homestake Mining     24.80      26.20  
 Hungarian Inv...     86.00      86.00  
 Rusa.....     14.20      14.40  
 Echnaton.........     15.60      15.30  
 I.I.S.Intell.Inf      2.50       2.70  
 Interact.Flight.     13.00      13.00  
 Laborat.Chile...     20.00      19.70  
 Pattevugel..      3.30       3.30  
 Pflanzenfachgeschäft Ind.......     14.20      13.80  
 Volkert........      4.15       4.00  
 Lend Lease......     21.20      21.20  
 Viktor Gold......      1.80       1.79  
 Volkert Luciano.....      3.45       3.30  
 15.01.96             Kassa     Vortag  
 Primaflora.....     64.00      64.00  
 PIZE.....      7.30       7.00  
 A-Z Fahrzeugtechnik......     57.00      51.00  
 AGUZ..........     42.00      41.60  
 Affentheater.........     29.40      28.50  
 Amap....     22.50      23.50  
 ADF Dougl.    133.50     136.00  
 Aquanautic..      3.85       3.90  
 BZW On-Line..     50.50      50.30  
 BOZ.......      7.80       7.80  
 Next............      9.60       9.60  
 Bergladen.Hill.      3.85       3.90  
 NUR Advanced....      5.95       5.80  
 Ocean Optique...      3.30       3.10  
 Iram Systems..     62.00      61.00  
 Organik.........      2.40       2.40  
 OTP-Ung.BVUA.     11.90      12.30  
 19.12.96             Kassa     Vortag  
 work@bike...      1.07       0.80  
 WanderEck.    132.00     122.00  
 WAN......     10.60      10.60  
 Hochwald......      7.20       7.00  
 Weinrefugium....      3.65       3.68  
 Puert.Hugo.Cement     47.30      47.40  
 Protein Design..     33.00      32.10  
 Quarterdeck.....     30.00      31.20  
 FNKD Electronic.      5.15       4.95  
 frontal..........     37.50      38.30  
 FIRAT.     32.00      32.00  
 Fairrädle Bove.....     47.30      45.70  
 Violka....     96.00      96.50  
 VZN..........     20.10      20.00  
 Vatterott..     12.00      12.00  
 Vuta...     33.80      32.50  
 Volg..........    770.00     770.00  
 15.01.96             Kassa     Vortag  
 Spatializer.....      6.80       7.00  
 Vinothek.........     38.00      37.50  
 Spyglass........     64.00      60.20  
 Velopoint Min..      0.27       0.26  
 Dierse Russia     20.15      20.10  
 DGS.....     63.00      63.00  
 DNZP.......     19.00      40.00  
 Arcor...     68.50      71.70  
 Computerinsel..........     56.60      57.90  
 CDT A.........     29.50      29.50  
 CDT B.........     29.30      29.30  
 gartenfrische....     25.70      25.70  
 Gründal.........      6.35       6.30  
 DLM...     10.00       9.70  
 YPF.............     31.60      30.30  
 Osege............     39.00      39.00  

 Quelle: CSFH

M.f.G.

Franz


 " Vepnkg@qxkm.jyfh.evm ".................................Ofenerfeld

-----------------------------------------------------------------
