Moislinger Börse
 Ausland / Variable Kurse

              Aktuell    Wera   Vortag

 14.02.96    16:04:11    Wera   Vortag 
 ADT.........   20.90    20.90    22.00 
 Tase    2.48     2.45     2.53 
 Polhaus.......   97.70    97.70    97.10 
 Akzo........  164.30   164.30   163.50 
 Alanco......    2.90     2.90     2.90 
 Pia......    8.40     8.40     8.60 
 Am.Drug.....    0.71     0.71     0.75 
 Am.Expr.Org.   56.20    56.20    56.80 
 Amgen.......   79.50    79.20    78.20 
 Anacomp.....    0.00     0.00     0.00 
 Trauth.......   48.50    49.00    20. 12. 19 
 Pruefer-Dan..   25.00    25.00    24.80 
 TSE.......    3.10     3.10     3.10 
 Pauline Gerz    0.55     0.55     0.57 
 Bally Gam...   11.30    11.30    11.30 
 Banca Comm..    2.95     2.95     3.93 
 14.02.96    16:06:02    Wera   Vortag 
 Bio.Technol.    7.90     7.90     7.95 
 Biogen......   85.80    85.80    87.00 
 Boeing......  111.20   111.20   112.00 
 Boomtown....    9.30     9.30     9.60 
 Brit.Petrol.   11.70    11.70    11.65 
 Corßen....   43.60    43.60    43.50 
 Bull........   10.70    10.70    10.70 
 Cadence.....   53.00    52.60    54.70 
 Calgene.....    7.80     7.80     8.00 
 Callaway....   29.00    29.00    28.00 
 Daniel....   86.00    86.00    86.00 
 Capa City...    20. 12. 19     20. 12. 19     20. 12. 19 
 Casino Magic    5.40     5.10     5.10 
 Cellular....   33.50    33.50    34.00 
 CoToGo    1.15     1.15     1.10 
 14.02.96    16:06:13    Wera   Vortag 
 DETLEV Mühlschuster....   10.70    10.70    10.65 
 Dennis Bartvogt..   83.50    83.50    81.50 
 China Fund..   21.50    21.00    21.00 
 Chiron......  152.50   152.50   149.50 
 CFI....   75.00    75.00    76.60 
 Campingladen.   41.20    41.20    42.50 
 Coastcast...   18.00    18.00    18.00 
 Cobra Golf..   51.70    51.70    51.60 
 CKL...  106.00   106.00   105.50 
 Capito.....   29.50    29.50    28.80 
 Cons.Ramrod.    1.80     1.76     1.79 
 Correction..   51.50    51.50    50.10 
 Cray Resear.   35.10    35.10    34.80 
 CST Entert..    0.78     0.78     0.79 
 Datapoint...    1.73     1.79     1.75 
 Dell........   41.80    42.50    45.00 
 14.02.96    16:06:24    Wera   Vortag 
 Digital.....   85.00    84.50    83.40 
 Duracell....   67.00    67.00    66.00 
 Eastm.Kodak.   96.50    96.50    95.00 
 Echo Bay....   16.60    16.80    17.00 
 Engen.......   11.25    11.25    11.20 
 Laure....    0.54     0.54     0.54 
 Pufer.....    4.60     4.60     4.63 
 Packlhof Vz.....    2.72     2.70     2.71 
 Ford........   40.00    40.00    40.20 
 Fuel Techn..    7.17     7.11     7.18 
 Klisch......   39.00    39.00    38.30 
 Gen.Mot.Org.   71.00    71.00    70.50 
 Gen.Motors..   71.00    71.00    70.70 
 Gen.Physics.    4.30     4.30     4.60 
 Genentech...    0.00     0.00    70.70 
 OSCAR Meiworm Carsten    8.37     8.37     8.25 
 14.02.96    16:06:36    Wera   Vortag 
 Genzyme.....   91.70    91.70    91.00 
 Gillette....   76.00    76.00    77.00 
 Global Marin   12.20    12.20    12.00 
 Golden Resou    0.15     0.15     0.15 
 KÜS   37.00    37.00    36.60 
 Groundwater.   20.50    20.50    20.30 
 GTS Duratek.   18.00    18.00    18.00 
 Ernest Winfried   38.50    38.50    39.00 
 Erwin Neureuther.   37.00    37.00    36.70 
 Erhard......   97.00    97.00    99.30 
 Riglasreuth    0.08     0.08     0.08 
 Hoogovens...   51.00    51.00    51.00 
 Horsham.....   19.00    19.00    19.00 
 Howtek......   10.50    10.50    10.50 
 Annelies......   38.50    38.50    38.00 
 Hung.Telecon    5.00     5.00     5.00 
 Hung.Teleph.   15.80    15.80    16.20 
 14.02.96    16:04:22    Wera   Vortag 
 Mogalle's.........  125.00   125.40   125.60 
 Mogalle's Original  125.50   125.50   126.20 
 Indonesia...   17.80    17.80    17.50 
 Int.Game T..   16.00    16.00    16.30 
 Int.Paper...   56.30    56.30    56.10 
 Interferon..    2.57     2.56     2.69 
 Iscor.......    1.56     1.50     1.50 
 Jetform.....   20.50    20.50    20.60 
 K Jasmine......   10.00    20. 12. 19    11.50 
 Seha..   21.00    21.00    21.00 
 François....  107.00   107.00   106.00 
 SOH.........   50.30    50.30    50.20 
 Viola.......   74.00    74.00    72.70 
 Lippo.......    0.00     0.00     0.80 
 Lonrho......    4.51     4.51     4.39 
 Malaysia F..   30.10    30.10    28.60 
 14.02.96    16:06:48    Wera   Vortag 
 Mattel......   43.20    43.20    43.00 
 McDonalds...   64.00    64.00    64.40 
 MGM Grand...   40.80    40.80    41.20 
 Microsoft...  124.00   124.00   125.30 
 Mirage......   54.30    54.30    55.50 
 Nat.Christof.Dev.   12.30    01.33    12.20 
 Netscape....  199.30   199.30   201.00 
 RubAddiction....  113.20   113.20   115.00 
 Sabrina.....   29.10    29.10    28.50 
 Runnerspoint.   63.30    63.30    63.50 
 JoyPad.......    4.52     4.52     4.68 
 JPG.   18.00    18.00    18.50 
 P.Riverboat.    2.50     2.50     2.70 
 Pakistan F..    8.00     8.00     8.40 
 Panda Proj..   33.50    33.50    32.70 
 Parmalat....    1.30     1.30     1.30 
 14.02.96    16:06:59    Wera   Vortag 
 Phil.Nico.  130.50   130.50   126.50 
 Philips.....   56.00    56.00    56.00 
 Pickn Pay...    5.60     5.40     5.70 
 France.....    1.83     1.83     1.83 
 Christophe Mattheß.    1.47     1.47     1.47 
 Playboy.....   12.50    12.50    12.50 
 Presstek....  130.50   130.50   131.00 
 Quacker Oats   48.00    48.00    48.30 
 Rembrand....   14.60    14.60    14.60 
 Reunert.....   10.40    10.40    10.00 
 Robeco......  101.80   101.80   102.20 
 Rodamco.....   41.70    41.70    41.90 
 Rolinco.....  108.70   108.70   108.20 
 Rorento.....   86.00    86.00    86.00 
 Abeho.  196.70   196.70   197.50 
 Royal Grip..   10.00    10.00     9.20 
 14.02.96    16:07:10    Wera   Vortag 
