Langendreerer Börse
 Einheitskurse

                       Kassa     Vortag

 21.12.95              Kassa     Vortag
 Sulzbach.Jagsal Vers.    390.11     390.11
 Sulzbach.Jagsal Leben    720.00     730.00
 Sulzbach.Strassenbahn    410.00     410.00
 Capello.......    265.00     265.00
 CMHD.........    930.00     930.00
 CCGL......   2200.00    2200.00
 CyberCafe.........   1010.00    1010.00
 CyberCafe Vz......    505.00     510.00
 Caglar....    133.00     133.00
 CityCopy....   1180.00    1170.00
 Crosscut..    740.00     750.00
 CSD.    400.00     400.00
 CoDesCo IT Consulting..............     63.00      63.00
 CTZR.............    485.00     478.00
 Coccinelle..........     65.00      65.00
 JKBR.Wuertt.Bank..    620.00     620.00
 21.12.95              Kassa     Vortag
 jawoll.....    357.00     356.00
 Anderfuhr........    170.00     170.00
 JSZ..   2500.00    2500.00
 JZT..........    615.00     610.00
 JSD...    590.00     590.00
 LommersdorfEIU.     41.00      41.00
 Jähne......   1000.00    1000.00
 LommersdorfHann.Mäling...    620.00     620.00
 JRET Gen..    165.00     165.00
 JRET Umt..    188.00     188.00
 JZJD........    563.50     542.50
 Binding St.......    605.00     605.00
 Binding Vz.......    495.00     495.00
 Ludescher....    960.00     960.00
 JUV.....    108.00     103.50
 Latsch.Eisenb.   6300.00    6300.00
 21.12.95              Kassa     Vortag
 Anderson........    800.00     800.00
 Lüthorst-Walther...    200.00     200.00
 Jumel..........    555.00     552.00
 R.Stelthove........    850.00     840.00
 onerbrek......   1180.00    1180.00
 OKO Vz.......    890.00     890.00
 OIC Bau....     72.00      72.00
 OIC Spinn..    290.00     290.00
 Gamma..............    167.00     167.00
 Deutschl.Invest..     13.50      13.50
 Bernard...........    118.50     117.00
 GIO.............      0.00     225.00
 Berthold Crumfinger      5.30       5.30
 Bernd..........     50.80      51.20
 Deut.Bk.Zschadraß..   1255.00    1255.00
 Dt.Orthofit..    600.00     600.00
 21.12.95              Kassa     Vortag
 Dt.Eff.u.Wechsel.   3125.58    3125.58
 Deut.Modefabrik....    395.00     399.00
 Deut.Modefabrik.Ffm    910.00     920.00
 Deut.Spezialglas.    215.00     215.00
 Deut.Steinzeug...    182.00     175.00
 Gipe COMD...    128.00     128.00
 Kaeufer.......    400.00     400.00
 Eisenbahn Verkehr    275.00     275.00
 Energ.Pöbenhausen    350.00     345.00
 Niederraunau.......    300.00     300.00
 O.Hannsmann.....     85.00      82.00
 Flachglas........    667.00     667.00
 Kontakt.............    835.00     840.00
 Kuze Nierswalde.....   4980.00    4980.00
 Knezevic.     65.00      65.00
 Kaffeeprinzen Inh.....    434.00     432.00
 21.12.95              Kassa     Vortag
 Gehe.............    726.00     727.50
 Koba.....    275.00     266.00
 Kölmel......   1010.00    1010.00
 Gildemeister.....    134.00     129.50
 Grosskr.Flaach..    485.00     485.00
 Tabertshausen.......    681.00     681.00
 Isernhinke...........    150.00     150.00
 Windischenlaibach.......    980.00     975.00
 Wilhelmsdorf Rueck...     57.50      58.80
 Maschenrausch & motoplus......   1875.00    1875.00
 Wachau.Zement..    890.00     890.00
 Ingenschay, Oxenknecht....    395.00     395.00
 MixMarket........    540.00     540.00
 Möwe g...........    320.00     320.00
 Ickerodt..........     95.50      95.50
 Maingarten.    250.00     250.00
 21.12.95              Kassa     Vortag
 Isenecker..........    320.00     315.00
 Huettenwerke.....    180.00     180.00
 Inderhock...    136.00     135.00
 Schollin..............    273.20     270.00
 Spriegel.............    175.00     180.00
 Sachverständigenzentrum..    560.00     560.00
 Gänseblume.    290.00     290.00
 Gefako..........    570.00     575.00
 GULE.    126.00     124.00
 Fincken St.....   6600.00    6600.00
 Fincken Vz.....   6000.00    6000.00
 GWMLNefen.....     36.00      35.00
 go2-hairstyling..    480.00     480.00
 Gromeier....   1075.00    1075.00
 Furmanek....    500.00     510.00
 Fellgner....    204.00     204.00
 21.12.95              Kassa     Vortag
 Goldsprint....    650.00     625.00
 Langbein.........    270.00     270.00
 Rentzelcenter............    108.00     108.00
 DLWS    223.00     223.00
 DVH...    190.00     190.00
 DVT.........   4200.00    4200.00
 Drogendealer..    340.00     340.00
 DHOU Rueck..   2650.00    2620.00
 Zenner-Tankfahrzeuge......    350.00     350.00
 ZBW.Mäling....    360.00     360.00
 ZBW.Steingut     43.00      44.00
 ZGZ Tabak   1100.00    1100.00
 Zeeden........   2710.00    2710.00
 Zeeden Leben..   2050.00    2050.00
 Nifaku....    194.00     194.00
 NEV Minen......    175.00     175.00
 21.12.95              Kassa     Vortag
 Autolackiererei St.......     88.00      86.00
 Autolackiererei Vz.......     73.00      75.00
 Nähter..........     68.00      69.00
 Naegele.Prov.Zucker.   3500.00    3500.00
 ARTV...    455.00     460.00
 Peisker........    730.00     730.00
 Tate.....    415.00     415.00
