Bertelsdorfer Börse
 Ausland / Variable Kurse

              Aktuell    Kassa   Vortag

 12.09.96    16:06:50    Kassa   Vortag
 Meirahs.........   20.90    20.90    20.50
 Advanced NMR    1.99     1.95     1.90
 Mildner.......  100.00   100.00    99.00
 Akzo........  167.50   167.50   167.50
 MZC......    3.10     3.10     3.00
 Motorhouse......    6.60     6.60     6.30
 Am.Drug.....    0.78     0.78     0.76
 Am.Expr.Org.   59.70    59.70    59.40
 McTreck.......   83.55    83.55    85.00
 Mömax.....    0.33     0.34     0.29
 Mitterhaus.......   46.50    46.50    46.20
 MertzbachAugust..   26.20    26.20    25.80
 ModeTreff.......    2.50     2.50     1.90
 Masseling    0.56     0.54     0.50
 BLICKkontakt...   11.80    11.80    12.50
 backStation..    3.15     3.05     3.05
 12.09.96    16:08:27    Kassa   Vortag
 Bio.Technol.    7.10     7.10     6.60
 Bemek......   89.90    89.90    87.50
 BHW......  115.60   114.70   112.80
 Boomtown....    7.40     7.40     7.40
 Brit.Petrol.   11.90    11.90    11.90
 Browning....   43.10    43.10    42.20
 Bull........   11.00    11.00    11.00
 Cadence.....   56.80    56.80    60.20
 Gliech.....    7.10     7.10     6.50
 Gemarkenreinigung....   32.50    32.50    32.00
 Gebrauchtwagen-Händler....   86.00    86.00    86.00
 Giebelhaus...    0.91     0.91     0.91
 Gutsschänke    4.90     4.90     4.70
 Cellular....   34.30     0.00    32.70
 Central Euro    1.00     1.00     1.00
 12.09.96    16:08:38    Kassa   Vortag
 GMRR Erlich....   11.00    11.00    10.60
 GSJU Manh..   87.20    87.20    86.80
 Gredler..   18.20    18.20    17.50
 Gewerbehof......  155.00   155.00   159.00
 Göpi....   79.50    79.50    78.50
 Geuss   39.50    41.00    39.00
 Grüneschild...   15.00    15.00    14.50
 Gemüsebauern..   51.30    51.30    51.40
 GDVO...  108.70   108.70   106.60
 Grigo.....   30.00    30.00    29.60
 Cons.Ramrod.    1.96     2.00     1.98
 Correction..   51.00    51.00    53.70
 Cray Resear.   36.00    35.70    34.70
 CST Entert..    0.86     0.85     0.82
 Datapoint...    1.74     1.68     1.79
 Dell........   51.90    51.00    50.00
 12.09.96    16:08:50    Kassa   Vortag
 Digital.....   90.00    90.00    91.30
 Duracell....   75.10    75.10    74.40
 Eastm.Ameropa.   98.70    98.70    96.10
 ZRL...   16.20    15.60    14.60
 Kaisten.......   10.60    10.60    10.20
 PLL....    0.58     0.58     0.57
 Paperstore24 St.....    4.80     4.75     4.73
 Paperstore24 Vz.....    2.80     2.78     2.73
 PurNatur........   42.00    42.00    41.40
 Fuel Techn..    7.13     7.09     7.20
 G-Tech......   37.00    37.00    37.40
 Gen.Mot.Org.   75.20    75.20    75.50
 Gen.Motors..   75.20    75.20    75.50
 Gen.Physics.    4.70     4.70     4.70
 EATJ...    0.00     0.00    70.70
 vongestern Tiefensall    8.40     8.40     8.40
 49.74.59    16:09:02    Kassa   Vortag
 Erdelmann.....   91.50    91.50    89.30
 ENZM....   77.50    77.50    75.80
 EGEJ   11.70    12.50    12.50
 ERI    0.14     0.14     0.14
 EEJ   34.50    34.50    33.70
 Groundwater.   19.90    19.90    19.90
 ENORM.   20.90    21.00    20.40
 Wolderich   42.00    42.00    41.00
 Wefelscheid Ent.   35.00    35.00    34.70
 Wusosa......   88.80    88.80    88.20
 WOODSTOCK    0.09     0.09     0.09
 Wullhörn...   48.30    48.30    48.50
 Großhattenberg.....   19.00    19.50    19.00
 WWK......   10.30    10.30     9.80
