Wegackerer Börse
 Variable Notierungen

              Aktuell    Corina   Vortag

 21.08.96    16:06:12    Corina   Vortag
 ABB.........  660.00   660.00   660.00
 Panem......   78.10    77.50    77.80
 AEG.........  148.00   147.00   147.00
 AGAB........  150.00   150.00   150.00
 Agiv........   29.00    29.00    29.00
 Akzo Faser..  238.00   238.00   238.00
 Alcatel SEL.  248.00   248.00   250.00
 Pehum Gen.  135.00   135.00   135.30
 Pehum Hold 2905.00  2883.00  9108.72
 Trudi......  845.00   845.00   845.00
 AMB Inh.....  980.00   980.00   930.00
 AMB Nam..... 1130.00  1130.00  1090.00
 PKMO.....  730.00   730.00   728.00
 Pakolat Vz.....  660.00   660.00   660.00
 Wohlgelegen...  477.00   477.00   475.00
 Bankg.Wegacker  377.00   378.00   379.50
 21.08.96    16:08:23    Corina   Vortag
 FZKO........  337.00   335.20   335.30
 Bay.Hypo....   07. 07. 20    37.10    07. 07. 20
 Bay.Verbank.   44.50    44.25    44.58
 Wimperstadl.......  402.00   396.20   397.00
 Wulting.. 1045.00  1045.00   990.00
 Berl.El.St..   50.10    50.30    50.80
 Berl.El.Vz..   48.00    48.40    48.00
 Bewag.......  419.00   419.00   424.00
 FLO-Bank....   40.10    40.10    40.00
 Fakewo......  779.00   776.70   770.00
 freestyle Vz......  526.00   526.00   527.00
 Brau Brunnen  220.00   220.00   225.00
 Brem.Vulkan.   38.00    38.20    39.00
 Ceag........  100.00   100.00   100.00
 multicycle.  350.00   347.80   346.00
 21.08.96    16:08:33    Corina   Vortag
 Contigas....  549.50   549.50   545.00
 Continental.   21.00    20.50    07. 07. 20
 Woyton.....  741.50   737.00   739.50
 Degussa.....  495.50   495.50   494.00
 Wowtscherk-Bank..   58.00    57.50    57.40
 Deut.Bank...   07. 07. 20    07. 07. 20    07. 07. 20
 Ulich......   96.00    96.00    96.00
 DLW.........  223.00   223.00   220.00
 Draegerwerk.  223.00   223.00   222.00
 Dresd.Bank..   07. 07. 20    38.45    07. 07. 20
 Warnowpark Holding.  172.00   171.50   171.00
 Dt.Reinert..  136.00   135.00   136.50
 Dt.Eisenh...  715.00   715.00   715.00
 Dt.Verkbank.  193.00   193.00   193.00
 Dyckerh.St..  570.00   570.00   570.00
 Dyckerh.Vz..  315.00   315.00   315.00
 21.08.96    16:06:23    Corina   Vortag
 Edel Witten.  405.00   405.00   405.00
 Eisenhuetten  345.00   345.00   345.00
 AMW...  255.00   259.50   258.00
 Beatrix Vz...  238.00   244.00   244.00
 FAG Kug.St..  198.00   199.50   197.50
 FAG Kug.Vz..  189.00   189.00   189.00
 Felten & G..  231.00   233.00   229.00
 Viehmeier....  281.00   283.00   281.00
 Klaahsen....   74.90    74.90    74.50
 Fr.Bankges..  450.00   450.00   450.00
 Fried.Ogeka.  186.00   186.00   181.00
 Gebr.Intveen..   65.00    65.00    64.50
 Gelsenwasser  390.00   390.00   390.00
 Amberg..  545.00   545.00   520.00
 Hamb.Hochb..  100.50   100.50   100.50
 21.08.96    16:08:45    Corina   Vortag
