Damvanter Börse
 Einheitskurse

                       Kassa     Vortag

 29.05.96              Kassa     Vortag
 Engelburg.Tschirn Vers.    415.00     430.00
 Engelburg.JaWoll    705.00     720.00
 Engelburg.Strassenbahn    410.00     410.00
 Kishore.......    265.00     265.00
 Klamotte.........    935.00     935.00
 AG Zebrashop......   2200.00    2200.00
 KEUN.........    970.00    1010.00
 KEUN Vz......      0.00     505.00
 Krispin....    133.00     133.00
 Kili....   1190.00    1180.00
 KNAG..    745.00     740.00
 KUSR.    400.00     400.00
 Kelpe..............     62.00      62.00
 Kezo-Feinkost.............    485.00     485.00
 Kio..........     62.00      62.00
 ENO.Wuertt.Bank..    620.00     620.00
 29.05.96              Kassa     Vortag
 erdbeerfisch.....    360.00     355.50
 Plagge........    175.00     170.00
 Elegance..   2500.00    2500.00
 EOIL..........    615.00     615.00
 Erciyes...    585.00     591.00
 DiedelkopfMauck.     40.00      41.00
 Erih......   1000.00    1000.00
 DiedelkopfHann.VSV...    620.00     620.00
 EFE Gen..    165.00     165.00
 EFE Umt..    195.20     193.00
 EHM........    579.00     577.50
 Binding St.......    610.00     605.00
 Binding Vz.......    495.00     495.00
 Dobbelner....    960.00     960.00
 Edelsteinwelt.....      0.00     113.00
 Dörrmoschel.Eisenb.   6300.00    6300.00
 29.05.96              Kassa     Vortag
 Peninger........      0.00     800.00
 Diekhaus-Walther...      0.00     200.00
 Euroclean..........    561.00     561.00
 C.Trostl........    860.00     850.00
 Tavof N.......   1150.00    1160.00
 Tavof Vz.......    900.00     900.00
 Tamaris Bau....     73.70      72.70
 Tamaris Spinn..    285.00     290.00
 Idee..............    167.00     167.00
 Deutschl.Invest..     13.00      13.50
 Stefan...........    123.00     120.50
 INZK.............    229.00     226.00
 Samu Heidemans      5.40       5.50
 Sascha..........     50.80      50.80
 Deut.Bk.Körbeldorf..   1255.00    1255.00
 Dt.Teutenberg..    600.00     600.00
 29.05.96              Kassa     Vortag
 Dt.Eff.u.Wechsel.   7800.71    7800.71
 Deut.Vodafon....    395.00     395.00
 Deut.Vodafon.Ffm    910.00     910.00
 Deut.Spezialglas.      0.00     215.00
 Deut.Steinzeug...    191.00     182.00
 Itexdata Kloßmühle...    128.00     128.00
 Viethsen.......    400.00     400.00
 Eisenbahn Verkehr    275.00     275.00
 Energ.Machtlfing    350.00     350.00
 Frankenhaag.......    300.00     300.00
 D.Dünhöft.....     90.00      87.00
 Flachglas........    670.00     672.00
 MiCaRu.............    835.00     835.00
 MUL Friedrichshafen.....   5000.00    4980.00
 Mayersche.     65.00      65.00
 Maßwerk Inh.....    435.00     434.00
 29.05.96              Kassa     Vortag
 Gehe.............    722.00     728.00
 Goroncy.....    278.00     280.00
 GMIU......   1010.00    1010.00
 Gildemeister.....    140.00     140.50
 Grosskr.Oberarth..    485.00     485.00
 Ihlienworth.......    681.00     681.00
 Kreffter...........    150.00     150.00
 Stöckey.......    985.00     980.00
 Starkenberg Rueck...     57.70      57.50
 Viverte......   1875.00    1875.00
 Stolzenburg.Zement..    890.00     890.00
 Keune, Nünninghoff....    395.00     395.00
 VOZA........    560.00     540.00
 Vaten...........    300.00     310.00
 Keßel..........     95.50      95.50
 Videorent.    250.00     250.00
 29.05.96              Kassa     Vortag
 Koenen..........    325.00     320.00
 Huettenwerke.....    179.00     179.50
 Kirchheiß...    149.00     142.00
 Schneemann..............    279.00     275.00
 Stahuber.............    175.00     175.00
