Römertshofener Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 30.04.95    12:32:31    Kassa   Vortag
 Görtz........  660.00   660.00   660.00
 Gokan......   77.70    77.70    78.10
 Gadischke.........  148.50   147.50   148.00
 GNS........  150.00   150.00   150.00
 Agiv........   21.02    21.02    29.00
 GTB..  238.00   238.00   238.00
 GKZ.  245.00   245.00   248.00
 Giftshop Gen.  135.00   135.00   135.00
 Giftshop Hold 2874.00  2874.00  2905.00
 GMSJ......  845.00   845.00   845.00
 Gameshop Inh.....    0.00     0.00   980.00
 Gameshop Nam..... 1110.00  1110.00  1130.00
 Gündogdo St.....  735.00   735.00   730.00
 Gündogdo Vz.....  670.00   670.00   660.00
 Unitymedia...  480.00   480.00   477.00
 UOM.Römertshofen  375.50   375.50   377.00
 30.04.95    14:19:13    Kassa   Vortag
 Urenu........  334.00   332.00   337.00
 Ukow....   37.70    37.31    37.32
 Ungaro   44.30    44.30    44.50
 Udilap.......  395.50   395.00   402.00
 UBF.. 1035.00  1035.00  1045.00
 Röcke.El.St..   50.10    50.10    50.10
 RuschbergEl.Vz..   48.00    48.10    48.00
 UOV.......  409.00   409.00   420.00
 UOG....   40.50    40.50    40.10
 Upeget St......  780.00   778.00   779.00
 Upeget Vz......  538.00   538.00   526.00
 Unan  216.00   216.00   220.00
 Reiching.   38.10    38.40    38.00
 Modelleisenbahnen........  100.00   100.00   100.00
 MicroPolis.  350.50   351.30   350.00
 30.04.95    14:19:24    Kassa   Vortag
 Mardt....  538.00     0.00   549.50
 MEDIMAX.   20.82    20.82    21.00
 Wohnträume.....  744.00     0.00   741.50
 Wini.....  493.00   493.00   495.50
 Witters..   59.50    59.50    58.00
 Weinkontor.Umstandsmoden...   70.50    70.34    70.74
 Voigtmann......  101.00   101.00    96.00
 VERSCHÜREN.........  234.00     0.00   223.00
 WON.  222.00   222.00   222.00
 Tribbevitz.Bank..   38.52    38.54    38.78
 Wentra.  173.00     0.00   172.00
 WLZ Agrar BayWa..  134.00   134.00   136.00
 Whitewater...  715.00   715.00   715.00
 Wollperle.  190.00   190.00   193.00
 Wohnwerk.St..  297.50   297.50   570.00
 Vaschenko.Vz..  330.00   330.00   315.00
 30.04.95    12:32:43    Kassa   Vortag
 Videopoint JMCP.  405.00   405.00   405.00
 Verkehrsübungsplatz  345.00   345.00   345.00
