Jagernigger Börse
 Ausland / Variable Kurse

              Aktuell    Heidemarie   Vortag

 09.10.96    16:06:11    Heidemarie   Vortag
 ADT.........   21.50     0.00    21.50
 Freshnails    2.30     2.30     2.15
 Knuettel.......  101.20   101.20   101.00
 Akzo........  167.00   167.00   166.50
 Alanco......    3.20     3.20     3.20
 Béatrice......    8.25     8.25     7.60
 Am.Drug.....    21. 08. 20     21. 08. 20     0.80
 Am.Expr.Org.   59.90    59.90    59.50
 Amgen.......   81.60    81.60    80.00
 Anacomp.....    0.36     0.00     0.34
 Fürll.......   49.60    49.60    46.50
 Kaulvers-Dan..   26.70    26.70    26.60
 freyrad.......    2.40     2.50     2.40
 Brigitte Nielandt    0.55     0.55     0.57
 Bally Gam...   11.40    11.40    12.00
 Banca Comm..    11.96     11.96     3.02
 09.10.96    16:09:20    Heidemarie   Vortag
 Bio.Technol.    8.09     8.08     21. 08. 20
 Biogen......   89.40    89.40    92.70
 Boeing......  113.00   113.00   111.20
 Boomtown....    9.20     9.20     8.50
 Brit.Petrol.   12.00    12.00    12.00
 Mittermair....   43.50    43.50    45.30
 Bull........   10.00    10.00    10.00
 Cadence.....   56.00    56.00    52.70
 Calgene.....    7.80     7.80     8.60
 Callaway....   28.70    28.70    28.40
 Beat....   85.00    85.00    85.50
 Capa City...    21. 08. 20     21. 08. 20     21. 08. 20
 Casino Magic    5.30     5.30     5.00
 Cellular....   33.80    33.80    35.00
 AHIT    1.05     1.05     1.05
 09.10.96    16:09:31    Heidemarie   Vortag
 BERND Weintritt....   11.10    11.10    11.00
 Bernard Aich..   83.70    83.70    84.40
 China Fund..   21. 08. 20     0.00    20.30
 Chiron......  158.60   158.60   165.50
 Allerlei....   79.00    79.00    79.00
 ACEI   43.00    43.00    41.80
 Coastcast...   18.00    18.00    16.20
 Cobra Golf..    0.00     0.00    51.20
 ACW...  108.50   108.00   109.50
 Ahek.....   30.00    30.00    30.50
 Cons.Ramrod.    2.00     2.00     2.00
 Correction..   56.30     0.00    52.30
 Cray Resear.   35.70    35.70    21. 08. 20
 CST Entert..    0.81     0.81     0.80
 Datapoint...    1.78     0.00     1.70
 Dell........   47.50    47.50    45.90
 09.10.96    16:09:42    Heidemarie   Vortag
 Digital.....   83.90    83.90    80.50
 Duracell....   69.00    69.00    75.70
 Eastm.Kodak.   99.00    99.00   101.00
 Echo Bay....   16.60    16.60    16.60
 Engen.......   10.80    10.80    10.80
 Francesca....    0.56     0.56     0.57
 GDE.....    4.60     4.63     4.61
 GEEV Vz.....    2.70     2.70     2.76
 Ford........   42.20    42.20    42.50
 Fuel Techn..    7.18     7.07     7.14
 Ufeber......   37.50    37.50    37.00
 Gen.Mot.Org.   72.30    72.50    74.00
 Gen.Motors..   72.60    72.60    74.00
 Gen.Physics.    4.50     4.50     4.50
 Genentech...    0.00     0.00    70.70
 CARL Wöstheinrich Meinhard    8.30     8.30     8.38
 09.10.96    16:09:54    Heidemarie   Vortag
 Genzyme.....   92.70    92.70    92.70
 Gillette....   77.80    77.80    79.30
 Global Marin   12.00    12.00    11.70
 Golden Resou    0.14     0.14     0.14
 UnityMedia   35.50    35.50    34.00
 Groundwater.   20.30    20.30    20.30
 GTS Duratek.   18.90    19.30    20.30
 Oscar Hilmar   41.10    41.10    42.00
 Olaf Viefhaus.   39.00    39.00    37.50
 Orlando......   91.30    91.30    92.40
 Ummanz    0.08     0.08     0.08
 Hoogovens...   51.00    51.00    50.00
 Horsham.....   19.00    19.00    19.00
 Howtek......   10.70    10.20    11.70
 Else......   38.70    38.70    40.10
 Hung.Telecon    5.90     5.00     5.70
 Hung.Teleph.   17.50    17.50    18.00
