Imbsener Börse
 Ausland / Einheitskurse

                    Kassa     Vortag

 17.07.95             Kassa     Vortag
 Acclaim.........     18.50      18.00
 Adanced Mammogr.      2.84       2.84
 Awen...........     89.00      92.00
 Anglo.Konrad.Corp.     88.60      88.60
 Afedo...........    103.00     102.00
 Arin..     52.20      54.00
 Atagold.......     84.50      83.70
 Ameropa.........      4.30       4.90
 Ateb.     88.60      88.60
 Awaw..     95.60      95.00
 Aracruz.........     11.40      11.40
 Arste.....     19.90      19.90
 Aus.Nat.Indust..      1.08       1.08
 Azegeh.........     93.00      92.60
 AVIA............     12.70      12.70
 B A T...........     12.70      12.70
 29.12.95             Kassa     Vortag
 Alfers...     38.00      37.00
 Akeso.     31.50      30.70
 Alimes...     96.20      96.00
 Admiracenter......     62.50      62.40
 Amud..........     68.00      70.00
 AGUZ.........      9.60       9.50
 Asora...........      0.00       3.45
 Bowater.........     50.80      51.00
 Atok      5.00       5.00
 Amur......     85.50       0.00
 B.A.Embotellad..     29.90      29.50
 Canadian Pioneer      0.00       0.00
 Upud      1.00       0.95
 Umedog.............     52.60      52.50
 Ubenu.....     56.00      56.00
 29.12.95             Kassa     Vortag
 UOV...    109.00     111.30
 Utegos Awaruf      0.00      11.30
 Code Afubu......      9.10       9.30
 UVEC..........     67.50      69.70
 Comp.Telef.Chile    119.00     117.70
 ULUP     10.20       9.90
 Cristal.Chile...     31.00      30.70
 debatex...      2.20       2.20
 Dami........     29.00      28.50
 Dobosch.......    103.70     104.00
 Dickenherr............    105.00     105.00
 DMGK....     99.40      99.40
 VPA.......     62.60      62.20
 Daus...     53.80      53.20
 Feti.....     32.30      31.80
 floristik'99.     36.00      35.80
 29.12.95             Kassa     Vortag
 Ferrocontrol Steuerungssysteme...     99.40      99.40
 Feda...     50.00      50.00
 Fowe..     32.50      30.20
 frimod.........     40.60      39.90
 FVU.Germ.Fund.     10.30      10.20
 Faruv........     29.00      29.00
 Fazo...      0.17       0.16
 First Iber.Fund.     10.75      10.80
 Kingsgard...     13.80      13.80
 IWI..     14.00      14.00
 IRN......     53.00      51.50
 INEM..      8.50       9.00
 Greenlight......      1.60       1.60
 Grupo Mexicano..      3.00       3.00
 icut..     32.50      33.20
 IAWK.....     21.00      20.70
 29.12.95             Kassa     Vortag
 GT Chile Growth.     58.50      57.00
 Intel........     10.80      10.30
 Hi-Rise Recycl..     12.80      13.50
 Homestake Mining     22.30      22.20
 Hungarian Inv...     80.00      79.00
 KRSC.....     13.00      12.70
 Wieshoff.........     15.50      16.00
 WaschniewskiI.ZubeIntell.Inf      2.80       2.95
 Interact.Flight.     13.00      13.00
 Laborat.Chile...     17.70      17.70
 Mobilcom..      3.30       3.30
 Mylys Ind.......     15.70      15.45
 Ihno........      3.60       3.52
 Lend Lease......     20.40      20.30
 Italo Gold......      1.58       1.58
 Igor Tobias.....      3.25       3.25
 29.12.95             Kassa     Vortag
 multicycle Ind......      0.00       0.00
 Melkhus.....      7.50      19.50
 Gimple......     71.80      71.00
 Gadas..........     37.40      36.80
 Goldschmiede.........     27.30      27.20
 Gebo....     20.00      20.00
 greenAUTOGAS Dougl.    130.00     128.30
 GVSE..      3.87       3.85
 Textilpavillon On-Line..     55.50      60.00
 Tiptoe-shoes.......      7.80       7.80
 Next............     10.10      10.10
 taschenstore.Hill.      3.87       3.85
 NUR Advanced....      5.30       5.50
 Ocean Optique...      3.30       3.00
 Fohi Systems..      0.00      63.50
 Organik.........      2.50       2.50
 OTP-Ung.TOJA.      8.90       8.90
 29.12.95             Kassa     Vortag
 Cacoon...      0.65       0.65
 c•neeon.    123.00     123.00
 CoDesCo IT Consulting......     10.55      10.50
 Termen......      7.20       7.00
 CDB....      3.57       3.55
 Puert.Manfred.Cement     47.60      48.00
 Protein Design..     33.50      32.80
 Quarterdeck.....     41.00      41.50
 RADA Electronic.      5.30       5.20
 MPOM..........     40.90      40.00
 MJC.     27.00      27.00
 MarktKauf TÜV.....     43.70      43.00
 ZDTJ....    100.80      99.00
 ZPO..........     20.25      19.70
 ZMH..     12.30      12.30
 ZZU...     40.00      41.90
 Zasif..........    730.00     730.00
 29.12.95             Kassa     Vortag
 Spatializer.....      5.60       5.70
 ZweiRadCenter.........     40.00      41.00
 Spyglass........     80.60      81.00
 Zentralrad Min..      0.24       0.23
 Lato Russia     19.65      19.60
 Leichenbestatter.....     66.20      65.50
 Turbochef.......     39.00      39.00
 Hörakustik...     89.20      88.70
 Rumtreiber..........      0.00      66.50
 RTVI A.........     30.00      30.00
 RTVI B.........     30.00      30.00
 VIF....     23.40      23.50
 VSE.........      6.25       6.20
 Änderungsscheinderei...      8.10       8.10
 YPF.............     30.50      30.00
 Oled............     38.00      38.00

 Quelle: Raacke

   M.f.G.

   Karsten Heijdeman
   ---------------------------------------------------------------

   Eecsjv@tsmy.cysl.eli
   47902 Eichenried
