Investmentfonds
 Wellingerode Rücknahmepreise

 01.12.96
 ALSA DM Ca.   23. 10. 20
 ALSA DM Ren   23. 10. 20
 ADILUX.....   73.06
 Movietown    0.00
 Asian Equi.   23. 10. 20
 Austr.Doll.    0.00
 BHF-Dt.zins    0.00
 BHF-Eu.zins    0.00
 CB-Geldm.Dt  101.00
 IWWO.CV.Q 7148.93
 CB-Lux.Dt.D 4445.96
 Centr.East.   23. 10. 20
 Cobk.W.J.U 11171.15
 CRM Beta Dy   23. 10. 20
 Ivuv....    0.00
 DB Lateinam    0.00
 DekaLux-B..    0.00
 DekaLux-S..    0.00
 DeltaFonds.    0.00
 DIT-Dreba..    0.00
 DIT-LUX.RB.    0.00
 DIT-LUX."T"    0.00
 Dollar-Rent    0.00
 E-Fund-CHF.  637.50
 Emerg.Fund.    0.00
 Emerg.Mrkts    0.00
 EM Osteuro.    0.00
 Euro-StaBIL    0.00
 Eur.Balanc.   09.54
 Europ.Equi.    0.00
 F+V Intern. 4914.55
 Keunen-Global.    0.00
 Keunen-Int.Bo.    0.00
 Keunen-Int.Eq.    0.00
 01.12.96
 Fid.Fd.AMER    2.13
 Fid.Fd.Emer    7.88
 Fid.Fd.Euro    3.97
 Fid.Fd.ECU.   15.01
 Fid.Fd.Germ   23. 10. 20
 FONDILUX...   23. 10. 20
 FOREX FUND.    0.00
 Frontrunner  141.33
 GAF-DM-Jérôme    3.04
 LUCA    2.90
 Sprattler-Global.    4.69
 Gamax TOP..    0.00
 Gamax Maxi.    0.00
 Gamax Int..    0.00
 Garantie100    0.00
 GEN.Euro.A.    6.71
 GEN.Euro.T.    7.24
 GERLING LUX    0.00
 Global Jérôme    0.00
 Global Equ.    0.00
 GOLD PLUS..    0.00
 Gulden Res.    0.00
 HYPO Amer..    0.00
 AUTOfit    0.00
 Ahag    0.00
 AZBK    0.00
 HYPO LUX...    0.00
 Amadouni    0.00
 INTERBOND..   23. 10. 20
 INTERSPAR..    0.00
 J-Fund-CHF.  291.00
 Jap.Csanadi    0.00
 Jap.Sitzendorf    0.00
 Jap.Equity.    0.00
 JB DM Bond.  136.10
 JB Eur.Jérôme    0.00
 JB Multist.  111.10
 KB-Cap.Fund    0.00
 01.12.96
 KB-LUX BOND  513.61
 KD Isabelle..    0.00
 FürUns-Shop-FONDS..    0.00
 L.M.Misch..    1.03
 FLAXXXs-Aktien.    0.00
 FLAXXXs-Renten.    0.00
 Lux.Global.    0.00
 LUX-LINERA.    0.00
 Findus-Select.    0.00
 Luxinv.DM..    0.00
 Luxinv.Euro    0.00
 MC Intern..   95.70
 M.M.Warburg    0.00
 MANDARIN F.    0.00
 Decathlon-Fonds.    0.00
 Datentechnik R&G    0.00
 MFI-Eurolux    0.00
 Damaschk    0.00
 MK LUX EURO    0.00
 EKR Euro  980.75
 Charly Asia.    0.00
 Charly Iserlohe    0.00
 NYAS-Small.   23. 10. 20
 ERS-Value.   09.85
 OekoSar....  188.01
 Opp.Jérôme...    0.00
 Opp.Cash...    0.00
 Opp.Interl.    0.00
 Opp.Turnar.    0.00
 Pacif.Equit    0.00
 PIP I USD..    0.00
 Qlinrg.3885  109.60
 Hhgzze.5446  114.04
 Postbk.Rend  105.88
 Eugen Tschacher   48.06
 Q-Discount.    0.00

   M.f.L.

   Klaus Coldewey
   ---------------------------------------------------------------

   Gositk@olez.ocqa.wok
   51135 Fulerum
