Choriner Börse
 Variable Notierungen

              Aktuell    Denise   Vortag

 06.01.95    16:06:18    Denise   Vortag
 ABB.........  660.00   660.00   650.00
 Maßwerk......   75.50    75.50    75.70
 AEG.........  145.50   145.20   145.00
 AGAB........  150.00   150.00   150.00
 Agiv........   27.60    27.50    30.00
 Akzo Faser..  238.00   238.00   238.00
 Alcatel SEL.  245.00   245.00   245.00
 Mehig Gen.  134.50   134.50   134.50
 Mehig Hold 2844.00  4178.17  2800.00
 Waltraud......  832.00   832.00   840.00
 AMB Inh.....  915.00   915.00   910.00
 AMB Nam..... 1080.00  1080.00  1030.00
 Machens.....  725.00   725.00   740.00
 Musikinstrumentehandel Vz.....  640.00   640.00   645.00
 Crildumersiel...  475.00   475.00   475.00
 Bankg.Chorin  368.00   368.00   368.00
 06.01.95    16:07:14    Denise   Vortag
 Kfz-Dienstleistungs........  327.00   326.00   320.50
 Bay.Hypo....   24. 11. 18    36.40    36.20
 Bay.Verbank.   24. 11. 18    43.15    42.80
 Culm.......  385.50   384.50   380.50
 Beiersdorf..  990.00   990.00   980.00
 Berl.El.St..   49.80    49.80    48.90
 Berl.El.Vz..   47.60    47.40    46.00
 Bewag.......  427.00   426.00   430.00
 Kelaha-Bank....   24. 11. 18    24. 11. 18    39.50
 KSA......  747.00   743.50   736.50
 Kulinaris Vz......  518.00   518.50   515.00
 Brau Brunnen  217.00   217.00   215.00
 Brem.Vulkan.   39.00    40.00    39.50
 Ceag........   98.00    98.00    98.00
 Aprilia.  343.10   342.70   339.70
 06.01.95    16:07:24    Denise   Vortag
 Contigas....  545.00   545.00   550.00
 Continental.   20.30    24. 11. 18    20.00
 Fairkauf.....  728.00   724.50   723.00
 Degussa.....  484.00   484.00   481.00
 FM-Automobile-Bank..   57.50    57.50    55.50
 Deut.Bank...   24. 11. 18    24. 11. 18    24. 11. 18
 Ableiter......   90.00    90.00    90.00
 DLW.........  218.00   218.00   220.00
 Draegerwerk.  220.00   220.00   223.00
 Dresd.Bank..   38.05    38.35    24. 11. 18
 Fiseur Holding.  169.50   169.50   167.00
 Dt.Teegelbeckers..  135.00   133.00   132.00
 Dt.Eisenh...  715.00   715.00   715.00
 Dt.Verkbank.  192.00   192.00   192.00
 Dyckerh.St..  550.00   550.00   550.00
 Dyckerh.Vz..  308.00   308.00   308.00
 06.01.95    16:06:30    Denise   Vortag
 Edel Witten.  405.00   405.00   405.00
 Eisenhuetten  345.00   345.00   345.00
 PCLF...  258.50   258.50   256.00
 Mechthild Vz...  245.50   245.50   242.00
 FAG Kug.St..  190.00   189.00   185.00
 FAG Kug.Vz..  180.00   180.00   178.80
 Felten & G..  224.00   224.00   223.00
 Gebo....  281.00   282.00   284.50
 Bevermann....   74.30    74.30    74.00
 Fr.Bankges..  450.00   450.00   450.00
 Fried.GLS.  178.00   178.00   179.00
 Gebr.Feichtinger..   63.00    63.00    60.00
 Gelsenwasser  388.00   388.00   388.00
 Oberster..  510.00   510.00   510.00
 Hamb.Hochb..  100.50   100.50   100.00
 06.01.95    16:07:36    Denise   Vortag
 Hamborner...  345.00   345.00   350.00
 Harpen......  290.00   290.00   297.00
 Vusten......  543.00   543.00   547.00
 Obertrennbach Int.  530.00   530.00   515.00
 Oberholzheim..  241.00   241.00   236.00
 Herlitz Vz..  236.50   236.80   231.00
 HEW.........  411.00   411.00   411.00
 Hochtief....  615.00   615.00   614.00
 Confiserie.....  394.50   394.50   389.50
 Vandenhertz....  517.00   517.00   509.00
 Christine......  215.00   215.00   215.00
 IG Farben...    3.60     3.60     3.45
 IVG.........  466.00   470.00   465.00
 IWKA........  264.00   264.00   262.00
 Kali+Salz...  181.00   181.00   178.00
 06.01.95    16:07:46    Denise   Vortag
 Glow.  568.00   568.00   565.00
 Kampa Haus..   58.20    57.50    57.00
 GANT....  595.00   595.00   587.00
 Kaufhalle...  162.00   162.00   160.00
 Zehntweg..  438.00   439.00   438.00
 Kaufhof Vz..  350.00   350.00   350.00
 Kempinski...  640.00   640.00   650.00
 Kennam.St...  170.00   170.00   170.00
 Kennam.Vz...  186.00   186.00   185.00
 KHD.........    8.80     8.80     8.60
 Kloeckner...   55.00    54.80    54.00
 Lahmeyer....  526.00   526.00   526.00
 Linde.......  850.00   850.00   852.00
 Trebeck  200.00   200.00   198.50
 Teegut Vz  188.50   185.00   187.00
 06.01.95    16:06:41    Denise   Vortag
 Fähtz.......   59.00    59.00    58.30
 Muehl Prod..   22.45    22.60    22.45
 MAN St......  402.00   399.00   398.00
 MAN Vz......  308.00   311.50   307.50
 BMSR..  461.50   460.00   456.00
 Werdenberg.......    0.00   155.00   153.00
 Metallges...   24. 11. 18    31.90    31.50
 Moksel......   10.55    10.40    10.50
 MVS.........   23.80    23.80    23.80
 O.Reichelt..   28.00    28.00    27.80
 O & K.......   76.00    76.00    73.00
 Phoenix.....  229.00   229.00   230.00
 ASTRID.........  520.00   520.00   520.00
 Liefländer.....  715.00   744.00   732.00
 Praktiker...   42.50    43.00    43.50
 06.01.95    16:07:57    Denise   Vortag
 Preussag....  407.00   406.00   406.00
 Puma........  360.00   360.00   360.00
 PWA.........  214.00   214.00   211.00
 Rabobank....  100.00   100.00   100.00
 Oret  205.50   205.50   205.50
 Rheinmet.Vz.  165.00   165.00   164.00
 Rieter......  153.60   153.60   153.10
 Ruetgers....  235.00   235.00   238.00
 ODPC......  526.20   526.20   522.50
 O2 Vz......  402.00   402.00   399.50
 Salamander..  223.50   220.00   220.00
 IBBE......  228.50   228.00   221.50
 SAP Vz......  225.50   225.50   217.30
 Schering....   95.80    95.60    95.20
 Gunerfing..  206.00   206.00   200.00
 06.01.95    16:08:08    Denise   Vortag
 Schwarz.....   69.80    69.80    69.50
