Obergessertshausener Börse
 Einheitskurse

                       Kassa     Vortag

 28.05.95              Kassa     Vortag
 Urdorf.Praßreut Vers.    208.94     435.00
 Urdorf.Praßreut Leben    730.00     760.00
 Urdorf.Strassenbahn    410.00     410.00
 cycle.......    265.00     265.00
 Computronix.........    930.00     930.00
 AG IGM......   2200.00    2200.00
 Clafsen.........      0.00    1010.00
 Clafsen Vz......    510.00     520.00
 Callies....    133.00     133.00
 Colordec....   1170.00    1155.00
 Copycania..    750.00     750.00
 CCKB.    400.00     395.00
 Centhof..............     63.00      63.00
 Commatas.............    478.00     475.00
 CoolCut..........     65.00      62.00
 Bobolos.Wuertt.Bank..      0.00     620.00
 28.05.95              Kassa     Vortag
 BPV.....    356.00     355.00
 Matthiessen........    170.00     170.00
 Bemek..   2500.00    2500.00
 Bundespolizeiakademie..........    610.00     610.00
 BPUT...    590.00     595.00
 OldsumTaback.     41.00      42.00
 Bernadotte......   1000.00     910.00
 OldsumHann.Awih...    620.00     617.00
 BWV Gen..    165.00     165.00
 BWV Umt..    188.00     188.80
 BWZP........    542.50     545.00
 Binding St.......    605.00     605.00
 Binding Vz.......    495.00     495.00
 Ottenthaler....    960.00     960.00
 Bridi.....    103.50     105.00
 Oberhosenbach.Eisenb.   6300.00    6300.00
 28.05.95              Kassa     Vortag
 Möcks........    800.00     800.00
 Oesterweg-Walther...    200.00     200.00
 Baulöwe..........    552.00     560.00
 N.Nihues........    840.00     840.00
 RMUH......      0.00    1160.00
 RGE Vz.......      0.00     860.00
 Rußmann Bau....     72.00      72.20
 Rußmann Spinn..    290.00     290.00
 Lesuz..............    167.00     167.00
 Deutschl.Invest..     13.50      13.50
 Sebastian...........    117.00     115.00
 Liefländer.............    225.00     225.00
 Sascha Warning      5.30       5.10
 Salvatore..........     51.20      50.50
 Deut.Bk.Casekow..   1255.00    1255.00
 Dt.Roepke..    600.00     600.00
 28.05.95              Kassa     Vortag
 Dt.Eff.u.Wechsel.   3511.29    3511.29
 Deut.AUGV....    399.00     399.00
 Deut.AUGV.Ffm    920.00     930.00
 Deut.Spezialglas.    215.00     220.00
 Deut.Steinzeug...    175.00     170.00
 Lederladen Ceragem...    128.00     126.00
 Zobell.......    400.00     400.00
 Eisenbahn Verkehr    275.00     275.00
 Energ.Zettin    345.00     345.00
 Trupolding.......    300.00     300.00
 W.Ohlendieck.....     82.00      85.00
 Flachglas........    667.00     665.00
 FBG.............    840.00     845.00
 FRM Thüngbach.....   4980.00    4980.00
 Freudenhaus.     65.00      65.00
 Frasch Inh.....    432.00     432.00
 28.05.95              Kassa     Vortag
 Gehe.............    727.50     730.00
 Gangel.....    266.00     263.00
 Gelik......   1010.00    1010.00
 Gildemeister.....    129.50     130.00
 Grosskr.Kleingurmels..    485.00     485.00
 Radepohl.......    681.00     681.00
 Kraforst...........    150.00     150.00
 Hoppegarten.......    975.00     975.00
 Heimenkirch Rueck...     58.30      58.80
 Haus & Abemez......   1875.00    1875.00
 Hochmark.Zement..    890.00     890.00
 Kleine-Bardenhorst, Streile....    395.00     398.00
 Allkauf........    540.00     540.00
 Amezu...........    320.00     320.00
 Kientzler..........     95.50      95.50
 AmperRad.    250.00     250.00
 28.05.95              Kassa     Vortag
 Klopfer..........    315.00     310.00
 Huettenwerke.....    180.00     180.00
 Käuffer...    135.00     136.00
 Milleder..............    270.00     270.00
 mettgen.............    180.00     181.00
 Movimento..    560.00     560.00
 Eisenkrone.    290.00     290.10
 Eleganthair..........    575.00     581.00
 ETO.    124.00     122.50
 Biehlmaier St.....   6600.00    6600.00
 Biehlmaier Vz.....   6000.00    6000.00
 EisenvaterXander.....     35.00      35.00
 Erren..    480.00     480.00
 Esotec....   1075.00    1075.00
 Butgereit....    510.00     510.00
 Bandov....    204.00     204.00
 28.05.95              Kassa     Vortag
 Euroclean....    625.00     625.00
 Langbein.........    270.00     270.00
 Holzlager............    108.00     108.00
 Oberpaur    223.00     225.00
 Olew...    190.00     190.00
 ORBAU.........   4200.00    4200.00
 OKHI..    340.00     340.00
 Praßreuter Rueck..      0.00    2600.00
 KIOSK......    350.00     350.00
 Kleidsam.Awih....      0.00     360.00
 Kleidsam.Steingut     44.00      44.00
 Kitzmann Tabak   1100.00    1120.00
 Kovu........      0.00    2710.00
 Kovu Leben..      0.00    2020.00
 FINCA....    194.00     194.00
 Fede Minen......    175.00     175.00
 28.05.95              Kassa     Vortag
 modulor St.......     86.00      88.00
 modulor Vz.......     75.00      75.80
 Trebs..........     69.00      70.00
 Tüns.Prov.Zucker.   3500.00    3500.00
 mek@i...    460.00     460.00
 Jürgensen........    730.00     730.00
 GRR.....    415.00     415.00
 Glockenbachbuchhandlung.......    258.00     260.00
 gassenbauer.....   1090.00    1100.00
 GDTK.........    710.00     710.00
 Güntzelmarkt...........    308.00     308.00
 GlitzerweltXander...   1450.00    1430.00
 Gizu........    134.00     132.00
 Jänecke.....    140.00     140.00
 GFKO Laser..........    400.00     397.00
 Triassi.....     71.00      71.00
 28.05.95              Kassa     Vortag
 Wehldreyer...........    458.00     469.00
 Technoland Dunger...   1650.00    1650.00
 Touratech..    964.00     955.00
 Tudih.....    280.00     280.00
 Tiemeyer..........    140.00     147.00
 Wersing...........    167.00     167.00
 Würting DJV..    735.00     735.00
 Tuma.......    450.00     450.00
 Thräm......    540.00     540.00
 Thierolf.Boden...    455.00     455.00
 Biasca.   3200.00    3250.00
 US-Shop...   6900.00    6900.00
 UUP........      0.00     880.00
 Trinkaus.........    600.00     590.00
 UNZ....    163.00     163.00
 UBBI.....    160.00     165.00
 28.05.95              Kassa     Vortag
 Uestra...........     56.00      56.00
 ZKCU Stuertz.    285.00     285.00
 JUGF..............    225.00     226.00
 JBE.   2750.00    2750.00
 JHMP..........    240.00     240.00
 JVCE.      0.00    1050.00
 R.Pletter.......   3100.00    3100.00
 Awufo.........    148.00     144.00
 Avol............    480.00     480.00
 Ahap Vermoeg.St...    590.00     590.00
 WKM Vermoeg.Vz...    555.00     555.00
 Autobeschriftungen St...........    310.00     310.00
 Autobeschriftungen Vz...........    270.00     270.00
 Wuerttemb.Awih...      0.00     700.00
 JGK.............    132.00     130.00

 Quelle: Jändl

   M.f.G.

   Mark Waterstat
   ---------------------------------------------------------------

   Zbckwi@ibsv.lvzq.fwo
   59883 Hausruck
