Röglitzer Börse
 Einheitskurse

                       Kassa     Vortag

 10.07.95              Kassa     Vortag
 Savognin.Luc Vers.    448.00     438.00
 Savognin.Luc Leben    752.00     740.00
 Savognin.Strassenbahn    410.00     410.00
 MegaBack.......    265.00     265.00
 Mankopf.........    915.00     915.00
 AG Nordstemmen......   2500.00    2500.00
 majaco.........    845.00     845.00
 majaco Vz......    515.00     515.00
 Mengin....    133.00     133.00
 Mesaw....   1230.00    1255.00
 Matador Konzernrueck..    754.00     754.50
 Meyborg.    395.00     395.00
 MMCG..............      0.00      65.00
 Missionsbuchhandlung.............    467.00     470.00
 McPfennig..........     57.00      57.00
 PCSZ.Wuertt.Bank..    620.00     620.00
 10.07.95              Kassa     Vortag
 Pihe.....    352.00     356.00
 Trinkert........    180.00     180.00
 Phonediscounter..      0.00    2500.00
 Polytech..........      0.00     610.00
 Pappas...    590.00     590.00
 ReitGipat.      0.00      43.00
 Plötner......    900.00     900.00
 ReitHann.Lorberg...    618.00     615.00
 Perlich Gen..      0.00     155.00
 Perlich Umt..    188.50     188.50
 Pantherreisen........    530.50     533.00
 Binding St.......    605.00     605.00
 Binding Vz.......    495.00     495.00
 Rötlener....    960.00     960.00
 PTL.....    110.00     110.00
 Rougemont.Eisenb.   6300.00    6300.00
 10.07.95              Kassa     Vortag
 Thalmayer........    930.00     930.00
 Rutesheim...      0.00     200.00
 Perlenmarkt..........    544.50     540.00
 B.Osterloh........    865.00     865.00
 ARLT......   1100.00    1125.00
 AALU.......    855.00     870.00
 AMZC Bau....     77.00      77.00
 A-Z..    300.00     300.00
 ZTGW..............    167.00     167.00
 Deutschl.Invest..     13.50      13.50
 Angelo...........    115.30     115.50
 ZLGG.............    230.50     228.50
 Angelo Caspers      0.00       5.20
 Adam..........      0.00      49.90
 Deut.Bk.Insheim..   1260.00    1260.00
 Dt.Alibaba..    600.00     600.00
 10.07.95              Kassa     Vortag
 Dt.Eff.u.Wechsel.   1400.00    1400.00
 Deut.lombagine....    380.00     380.00
 Deut.lombagine.Ffm    900.00     900.00
 Deut.Spezialglas.    209.00     209.00
 Deut.Steinzeug...    179.00     180.50
 Zabaione MKLP...    143.00     142.00
 Enderlin.......    400.00     400.00
 Eisenbahn Verkehr    270.00     270.00
 Energ.Dargelin    345.00     345.00
 Fühlingen.......    300.00     300.00
 O.Imbusch.....     80.00      90.00
 Flachglas........    661.00     661.00
 jawoll.............    840.00     840.00
 Jllig Fussingen.....   5200.00    5200.00
 Jaskula.     65.00      65.00
 Jeschkenblick Inh.....    428.00     424.00
 10.07.95              Kassa     Vortag
 Gehe.............    693.00     693.00
 Windsurfing.....    260.00     261.50
 Wollperle......   1000.00    1000.00
 Gildemeister.....    136.50     138.30
 Grosskr.Untervaz..    485.00     485.00
 Pizy.......    680.00     680.00
 Laakmann...........    148.00     148.00
 Lamice.......    900.00     890.00
 Zartwitz Rueck...     58.50      58.50
 Lefap & LRB......   1875.00    1875.00
 Züsch.Zement..    880.00     880.00
 Fetgenheuer, Kurz....    400.00     400.00
 Leichtl........    540.00     540.00
