Töginger Börse
 Einheitskurse

                       Odile     Vortag

 07.05.95              Odile     Vortag
 Aach.Muench Vers.      0.00     448.00
 Aach.Muench Leben      0.00     752.00
 Aach.Strassenbahn      0.00     410.00
 Adlerwerke.......      0.00     265.00
 Aesculap.........      0.00     915.00
 AG Greben......      0.00    2500.00
 Albingia.........      0.00     845.00
 Albingia Vz......      0.00     515.00
 Frank....      0.00     133.00
 HTT....      0.00    1230.00
 AM Konzernrueck..      0.00     754.00
 Unvericht-Noris-Z..      0.00     395.00
 ASS..............      0.00      65.00
 HPUD.............      0.00     467.00
 Autania..........      0.00      57.00
 Bad.Wuertt.Bank..      0.00     620.00
 07.05.95              Odile     Vortag
 Balcke-Duerr.....      0 00     352.00
 Indlekofer........      0.00     180.00
 Bastfaserkontor..      0.00    2500.00
 Bavaria..........      0.00     610.00
 Töginger Kindl ..      0.00     590.00
 Berl.Spezialflug.      0.00      43.00
 Töginger AG......      0.00     900.00
 Berl.Hann.Hypo...      0.00     618.00
 Bertelsmann Gen..      0.00     152.00
 B rtelsmann Umt..      0.00     188.50
 Bilfinger........      0.00     5 0.50
 LMJ.......      0.00     605.00
 Binding Vz.......      0.00     495.00
 Bruckstraße....      0.00     1 3.62
 Truilz Wolle.....      0.00     110.00
 Brem.Hann.Eisenb.      0.00    6300.00
 07.05.95              Odile     Vortag
 Illgut........      0.00     930.00
 Buckau-Dario...      0.00     200.00
 Buderus..........      0.00     544.50
 C.J.Vogel........      0.00     865.00
 MRU.......      0.00    1100.00
 Colonia Vz.......      0.00     855.00
 Concordia B u....      0.00      77.00
 Concordia Spinn..      0.00     300.00
 DAB..............      0.00     167.00
 Deutschl.Invest..      0.00      13.50
 René...........      0.00     115.30
 DOAG.............      0.00     230.50
 Beate Hausener      0.00       5.00
 Douglas..........      0.00      49.00
 Deut.Bk.Luebeck..      0.00    1260.00
 Dt.Centralboden..      0.00     600.00
 07.05.95              Odile     Vortag
 Dt.Eff.u.Wechsel.      0.00    1400.00
 Deut.Hypobank....      0.00     380.00
 Deut.Hypobank.Ffm      0. 0     900.00
 Deut.Spezialglas.      0.00      09.00
 Deut.Wera zeug...      0.00     179.00
 Raphaël Unterdörfer...      0.00     143.00
 Ehlebracht.......      0.00     400.00
 Eisenbahn Verkehr      0.00     270.00
 Energ.O erfranken      0.00     345.00
 Eschweiler.... ..      0.00     300.00
 F.A.Guenther.....      0.00      80.00
 Flachglas........      0.00     661.00
 Ford.............      0 00      40.00
 Ignaz Wallis.....      0.00    5200.00
 Piding Hypo.      0.00      65.00
 Ingmar  Inh.....      0.00     428.00
 07.05.95              Odile     Vortag
 Gehe.............      0.00     693.00
 Thieltges.....      0.00     260.00
 Gilde Braeu.. ...      0.00    1000.00
 Gildemeister.....      0.00     136.50
 Grosskr.Ingo n..      0.00     485.00
 Gruschwitz.......      0.00     680.00
 Chantal...........      0.00     148.00
 HamburgHyp.......      0.00     900.00
 Hubertshofen...      0.00      58.50
 Haus & Heim......      0.00    2639.29
 Heidelbg.Zement..      0.00     880.00
 Gerald, Margreiter....      0.00     400.00
 Frien........      0.00     540.00
 Fruwert...........      0.00     330.00
 Gabriel..........      0.00      93.00
 Fiegenbaum-Auferm.      0.00     275.00
 07.05.95              Odile     Vortag
 Holsten..........      0.00     308.00
 Huettenwerke.....      0.00     183.00
 Hutschenreuter...      0.00     140.00
 IKB..............      0.00     268.00
 Ikon.............      0.00     181.00
 Isar-Amperwerke..      0.00     560.00
 Kammgarn Laibstadt.      0.00     300.00
 Keramag..........      0.00     575.00
 KM Europa Metall.      0.00     122.50
 Rungiusstraße.....      0.00    6800.00
 Koetitzer Vz.....      0.00    6280.00
 Ohlenbostel-Schuele.....      0.00      36.00
 Kraft Rheinfeld..      0.00     470.00
 Oewerdieck-Ma fei....      0.00    3435.15
 Kromschroeder....      0.00     500.00
 Kueppersbusch....      0.00     208.00
 07.05.95              Odile     Vortag
 KWS Saatzucht....      0.00     613.00
 Langbein.........      0.00     270.00
 Lichtental............      0.00     108.00
 Markt-Kuehlhallen      0.00     222.00
