Kühwegbodener Börse
 Ausland / Variable Kurse

              Aktuell    Kassa   Vortag

 03.03.96    15:07:35    Kassa   Vortag
 Kenvelo.........    9.00     0.00    18.90
 Advanced NMR    1.80     0.00     1.88
 KNF.......  100.20   100.2    101.00
 Akzo........  161.00   161.0    158.00
 KEM......    2.80     2.80     2.75
 Kierzek......    6.40     6.40     6.00
 Am.Drug.....    0.71     0.73     0.78
 Am.Expr.Org.   60.50    60.50    58.60
 Amgen.......   73.50    73.50    71.30
 A acomp.....    0.28     0.28     0.27
 Käsestübchen.......   48.50    48. 0    47.50
 KBON..   25.00    25.00    24.60
 Klapperstorch.......    2.10     2.10     2.00
 Kifah    0.61     0.61     0.61
 GRDG...   13.30    13.30    13.30
 Gisi..    2.98     2.98     2.98
 03.03.96    14:54:24    Kassa   Vortag
 Bio.Technol.    5.69     5.69     5.00
 Goertz......   81.60    81.60    77.00
 Grünhoff......  109.00   109.00   103.20
 Boomtown....    8.00     0.00     8.70
 Brit.Petrol.   11.50    11.50    11.50
 Browning....   41.20    4 .20    41.40
 Bull........    0.00     0.00     0.00
 Cadence.....   53.50    53. 0    51.20
 LKJB.....    7.40     7.40     7.40
 Litera....   29.80    29.80    27.40
 LFG....   87.00    87.00    86.40
 Ledrella...    0.92     0.92     0.92
 Lackfuchs    4.75     4.60     4.60
 Cellular....   29.00    29.00    28.90
 Central Euro    0.95     0.95     0.95
 20.12.95    14:54:34    Kassa   Vortag
 Landfester Aget....    9.90     0.00     9.90
 Litor Manh..   86.00    86.00    84.20
 LEPE Fund..   17.00    17.00    17.00
 Luchcenter......  143.10   143.10   138.70
 Landmaxx BHG....   76.70     6.70    76.00
 Laufstall   37.60    37.60    37.00
 Laschke...   14.50     0.00    14.20
 LE CROB..   50.70    50.70    50.70
 LGMD...  112.50   112.50   111.50
 LottoTotto.....   29.30    29.30    29.00
 Cons.Ramrod.    1.50     1.50     1.5
 Corre tion..   46.60    46.60    46.30
 LDEJ Resear.   33.70    33.70    32.7
 CST En ert..    0.97     0.00     0.96
 Datapoint...    1.70     1.70     1.75
 FPU........   52.10    52.10    42.00
 03.03.96    14:54:46    Kassa   Vortag
 Digital.....   89.00    89.00    82.00
 Duracell....   72.60    72.60    70.00
 ZPF.copyshop.   96.30    96.30    95.40
 Z2...   15.10    15.10    15.30
 Gordevio.......    9.80     0.00     9.80
 Wasserwelten....    0.58     0.58     0.58
 WMI St.....    4.60     4.60     4.65
 WMI Vz.....    2.72     2.72     2.68
 Wez........    0.00     0.00    40.50
 Fuel Techn..    7.16     7.16     7.18
