Eurishofener Börse
 Ausland / Einheitskurse

                    Kassa     Vortag

 16.10.96             Kassa     Vortag
 Acclaim.........     18.40      16.30
 Adanced Mammogr.      2.90       3.00
 HNR...........     92.50      93.00
 Anglo.Harm.Corp.     88.60      88.60
 HPWO...........    101.50     101.60
 America Online..     52.15      52.90
 HBS.......     84.50      85.10
 Hismet.........      0.00       4.90
 Heads.     88.60      88.60
 Haushaltswahren..     93.60      95.50
 Hoppla.........     11.50      11.20
 Hackradt.....     19.90      19.90
 Aus.Nat.Indust..      1.17       1.18
 Hoti.........     94.50      94.70
 AVIA............     12.90      12.90
 B A T...........     12.50      12.50
 15.12.95             Kassa     Vortag
 Mispagel...     38.80      36.40
 Markgrafen.     29.50      29.40
 MLK...     97.00      98.20
 mainclean......     61.00      62.50
 Millahn..........     64.00      64.00
 MEN.........     10.00       9.40
 Mewan...........      3.45       3.48
 Bowater.........      0.00      49.30
 MAYWAY      0.00       5.00
 Motormänner......     77.80       0.00
 B.A.Embotellad..     35.00      34.40
 Canadian Pioneer      0.33       0.33
 Kinderkamers      0.00       0.95
 Kerz.............     53.10      52.50
 Kinderschuhe.....      0.00      56.00
 15.12.95             Kassa     Vortag
 Kohlrusch...    107.50     114.90
 Kram HBW     11.50      11.30
 Code hairfree......      9.70       9.90
 Käsestübchen..........     68.50      70.30
 Comp.Telef.Chile    116.00     115.00
 Kroiss      8.50       8.90
 Cristal.Chile...     31.50      31.70
 Räderei...      2.20       2.20
 Rone........     26.30      23.70
 RPR-Autozentrum.......    111.00     108.50
 ReckenEcke............    105.00     105.00
 Raumausstatter....     99.40      99.40
 ZTGW.......     59.80      61.00
 Radhaa...     48.10      48.00
 METRO.....     33.50      33.40
 MTPC.     35.50      34.10
 21.12.95             Kassa     Vortag
 Monscheuer...    104.50     104.50
 Mannamia...     50.00      50.00
 MSRR..     29.00      29.00
 Mi-porti.........     41.20      41.30
 MFWS.Germ.Fund.     10.00      10.20
 Malibo........     26.80      26.80
 Momtech...      0.16       0.16
 First Iber.Fund.     10.80      10.90
 Germanflex...     13.80      14.10
 JVTG..     14.00      14.00
 JAW......      0.00      43.00
 JVW..      0.00       8.70
 Greenlight......      1.60       1.70
 Grupo Mexicano..      3.15       3.10
 Grupo ZWIW..     32.80      33.40
 JVL.....     20.50      20.90
 21.12.95             Kassa     Vortag
 GT Chile Growth.     56.80      56.50
 Juewelier........      0.00      10.50
 Hi-Rise Recycl..     13.50      13.50
 Homestake Mining     22.80      22.80
 Hungarian Inv...     75.00      75.50
 Siebelhoff.....     14.80      14.70
 UOG.........     16.40      15.50
 I.I.S.Intell.Inf      2.99       3.00
 Interact.Flight.     13.00      13.70
 Laborat.Chile...     17.70      17.20
 Nöcker..      0.00       3.50
 NBC......     13.10      13.00
 Christian........      3.60       3.55
 Lend Lease......     20.20      20.00
 Cornelius Gold......      1.62       1.62
 Carlos Werner.....      3.20       3.20
 21.12.95             Kassa     Vortag
 NONI.....      0.00       0.00
 Neussel.....      0.00      20.00
 Eddeka......     64.00      64.50
 Ezod..........     36.20      35.50
 EDEKA-Neukauf.........     27.00      27.20
 Elscheidt....     19.50      19.50
 ECN Dougl.    127.80     128.00
 EAZ..      3.85       3.80
 Ohse On-Line..     61.50      66.50
 OWK.......      7.80       7.80
 Next............      0.00      10.00
 Oberreicher.Hill.      3.85       3.80
 NUR Advanced....      5.10       5.00
 Ocean Optique...      3.50       3.30
 Autovario Systems..     61.40      64.50
 Organik.........      2.40       2.50
 OTP-Ung.ORSAY.      8.90       8.90
 21.12.95             Kassa     Vortag
 ATP...      0.62       0.59
 AIS.    129.00     129.00
 ASB......      0.00      10.40
 Uttigen......      7.50       7.20
 ATA....      3.51       3.50
 Puert.Kaspar.Cement     48.10      48.10
 Protein Design..     26.00      25.40
 Quarterdeck.....     40.50      42.00
 Compi Electronic.      4.80       5.10
 CWG..........     39.00      37.50
 CFT.     24.00      24.00
 CWP ORP.....     44.00      44.10
 WLR....    100.50      98.50
 WFBE..........     20.40      20.30
 webtravel..      0.00      13.00
 WDVB...     39.20      38.60
 WNA..........    730.00     730.00
 21.12.95             Kassa     Vortag
 Spatializer.....      5.70       5.80
 Weinspiegel.........     40.00      40.50
 Spyglass........     70.00     136.00
 WLMA Min..      0.22       0.23
 Zefaka Russia     19.30      19.20
 Zezap.....     67.10      65.30
 Turbochef.......     41.40      41.00
 DCDE...     78.00      82.00
 FNI..........     63.70      65.30
 FirstStop A.........     30.00      30.00
 FirstStop B.........     30.00      30.00
 Kultstore....     23.00      23.50
 KBM Motorfahrzeuge.........      0.00       5.90
 Atefuv...      8.10       8.10
 YPF.............     29.20      28.80
 Taschenladen............     38.00      38.00

 Quelle: Fayon

   M.f.G.

   Hugo Ungelenk
   ---------------------------------------------------------------

   Snudtw@ukuj.nbnz.gyz
   89330 Reichshof
