Inneringer Börse
 Ausland / Variable Kurse

              Aktuell    Kassa   Vortag

 13.07.95    16:11:20    Kassa   Vortag
 IOT.........   19.30    19.30    19.20
 Advanced NMR    2.07     2.11     2.15
 It´s.......  103.50   103.50   103.40
 Akzo........  165.00   165.00   164.00
 ikarus......    2.69     2.69     2.64
 Ihaz......    6.50     6.50     6.60
 Am.Drug.....    0.78     0.78     0.76
 Am.Expr.Org.   62.20    62.20    63.50
 IGTS.......   74.00    74.60    74.90
 Ihat.....    0.68     0.52     0.59
 Intershop.......   56.50    56.50    56.00
 Isuk..   25.00    25.00    24.80
 InaB.......    2.10     2.10     2.25
 Ikona    0.71     0.70     0.71
 Overdrive...   13.60    13.60    13.60
 Opticum..    2.90     2.90     2.87
 12.12.95    16:11:20    Kassa   Vortag
 IOT.........   19.30    19.30    19.20
 Advanced NMR    2.07     2.11     2.15
 It´s.......  103.50   103.50   103.40
 Akzo........  165.00   165.00   164.00
 ikarus......    2.69     2.69     2.64
 Ihaz......    6.50     6.50     6.60
 Am.Drug.....    0.78     0.78     0.76
 Am.Expr.Org.   62.20    62.20    63.50
 IGTS.......   74.00    74.60    74.90
 Ihat.....    0.68     0.52     0.59
 Intershop.......   56.50    56.50    56.00
 Isuk..   25.00    25.00    24.80
 InaB.......    2.10     2.10     2.25
 Ikona    0.71     0.70     0.71
 Overdrive...   13.60    13.60    13.60
 Opticum..    2.90     2.90     2.87
 12.12.95    16:14:08    Kassa   Vortag
 FürUns-Shop....   10.40    10.40    10.45
 FFDD..   88.50     0.00    90.00
 Fahrwerk..   17.50    17.50    17.55
 Festmoden-Hochzeitshaus......  149.10   149.10   152.70
 fahrradkoppel....   77.20    77.20    75.50
 fettebeute   39.50    39.50    40.00
 Florales...   15.00     0.00    15.00
 FlorAlpha..   39.40     0.00    41.00
 FESTO...  115.00   115.00   114.50
 Frölichlädle.....   30.00    30.00    30.00
 Cons.Ramrod.    1.59     1.59     1.59
 Correction..   48.70    48.70    48.80
 Flohmatz Resear.   33.80    33.80    33.50
 Flotzinger Augenoptik Entert..    1.04     1.00     1.05
 Datapoint...    1.79     1.75     1.75
 LMRL........   54.90    54.30    56.50
 13.07.95    16:14:20    Kassa   Vortag
 Digital.....   92.00    92.00    91.00
 Duracell....   77.80     0.00    77.50
 Eastm.Rumtreiber.   99.80    99.80    99.30
 novatec...   15.85    15.10    15.50
 Fenin.......    9.45     9.45     9.15
 Vanity....    0.65     0.65     0.68
 VPA St.....    4.57     4.55     4.55
 VPA Vz.....    2.69     2.69     2.65
 VJUP........   41.30    41.30    41.30
 Fuel Techn..    7.22     7.15     7.23
 G-Tech......   37.80    37.80    38.40
 Gen.Mot.Org.   71.60    72.10    71.00
 Gen.Motors..   72.00    72.00    70.80
 Gen.Physics.    4.84     4.84     4.80
 Genentech...    0.00     0.00    70.70
 Zerle Ecknach    7.85     7.85     7.92
 12.12.95    16:14:31    Kassa   Vortag
 Egeter.....   84.50    84.50    89.70
 EAGB....   78.20    78.20    77.70
 Ehag   11.20    11.20    11.20
 Esim    0.14     0.14     0.14
 EEHZ   56.00    56.00    56.60
 Groundwater.   22.00    22.00    22.00
 Egud.   20.65    20.50    20.20
 WAVW   38.00    38.00    39.00
 Wäschelädchen Ent.   36.50    36.50    35.70
 Wandtasie......   93.00    93.00    93.00
 Werkmarkt    0.09     0.09     0.09
 Wandinger...   46.00    46.00    47.50
 Thernberg.....   19.00    19.00    19.00
 Wollkörbchen......   11.30    11.30    11.50
 Wodew......   38.30    38.30    38.50
 Hung.Telecon    5.20     5.20     5.20
 Hung.Teleph.   15.10    15.10    16.00
 12.12.95    16:11:31    Kassa   Vortag
 Zaubernuss.........  138.50   138.50   140.20
 Zaubernuss Original  138.80   138.80   139.40
 Indonesia...   15.50    15.50    15.60
 Int.Game T..   16.80    16.80    17.30
 Int.Paper...   53.30    53.30    53.30
 Interferon..    2.79     2.79     2.77
 ZZVW.......    1.22     1.22     1.22
 Jetform.....   25.20    25.20    25.40
 K Mart......   11.50    11.50    11.60
 Rosner..   24.00    24.00    22.00
 Rosengalerie....  112.40   112.40   114.00
 Reifendienst.........   50.00    50.00    50.00
 Sara.......  145.70   145.70   146.50
 Avilu.......    0.78     0.78     0.78
 Akoka......    3.70     3.70     3.80
 Malaysia F..   25.50    25.50    25.20
 12.12.95    16:11:31    Kassa   Vortag
 Zaubernuss.........  138.50   138.50   140.20
 Zaubernuss Original  138.80   138.80   139.40
 Indonesia...   15.50    15.50    15.60
 Int.Game T..   16.80    16.80    17.30
 Int.Paper...   53.30    53.30    53.30
 Interferon..    2.79     2.79     2.77
 ZZVW.......    1.22     1.22     1.22
 Jetform.....   25.20    25.20    25.40
 K Mart......   11.50    11.50    11.60
 Rosner..   24.00    24.00    22.00
 Kelloggs....  112.40   112.40   114.00
 Reifendienst.........   50.00    50.00    50.00
 Sara.......  145.70   145.70   146.50
 Avilu.......    0.78     0.78     0.78
 Akoka......    3.70     3.70     3.80
 Malaysia F..   25.50    25.50    25.20
 12.12.95    16:14:54    Kassa   Vortag
 Maurice.Ganseforth.  129.20   129.20   128.80
 Buaumschule.....   54.40    54.40    55.50
 Pickn Pay...    5.30     5.30     5.25
 Basis.....    1.81     1.81     1.77
 Basis Spa.    1.33     1.33     1.32
 Belushi's.....   12.70    12.70    12.80
 Busunternehmen....  122.00   121.50   118.00
 Quacker Oats   52.30    52.30    51.20
 UZK....   14.20    14.20    14.10
 Uzal.....    9.10     9.10     9.30
 Unirad......  101.50   101.50   101.50
 Ugep.....   39.00    39.00    39.00
 Uben.....  108.00   108.00   108.00
 Ubolo.....   83.50    83.50    84.00
 Udaw.  193.50     0.00   190.00
 Ukeha..    6.20     6.20     5.80
 12.12.95    16:15:05    Kassa   Vortag
 Safeway.....   69.80    69.80    69.00
 Geschenkehaus.....   78.70    78.70    77.00
 Gemüsehandel........   80.20    80.20    78.70
 Gukaf.......   18.00    18.00    17.80
 Showboat....   41.50    41.50    41.50
 Gillmeister.....   52.40    52.40    53.00
 Duggendorf F.   20.20    20.20    20.20
 Stet Sparakt    2.70     2.70     2.70
 Stone Elect.    0.12     0.12     0.13
 Styland.....    0.05     0.05     0.05
 Girnuwelt..   71.00     0.00   148.00
 T-Cell......    4.42     4.15     4.20
 Tandem......   17.20    17.20    17.20
 Telecom Ital    1.93     1.93     1.94
 Telef.Espana   19.80    19.80    19.90
 Templ.China.   15.00    15.00    15.00
 12.12.95    16:15:17    Kassa   Vortag
 AJHI   27.60    27.60    26.80
