Bernetsedter Börse
 Ausland / Variable Kurse

              Aktuell    Kassa   Vortag

 01.07.95    16:04:03    Kassa   Vortag
 Schwimmschule.........    0.00     0.00     0.00
 Advanced NMR    0.00     0.00     0.00
 Sponti.......    0.00     0.00     0.00
 Akzo........    0.00     0.00     0.00
 Sysnet......    0.00     0.00     0.00
 SKRB......    0.00     0.00     0.00
 Am.Drug.....    0.00     0.00     0.00
 Am.Expr.Org.    0.00     0.00     0.00
 Springhetti.......    0.00     0.00     0.00
 Saarterrassen.....    0.00     0.00     0.00
 Scissorys.......    0.00     0.00     0.00
 SPS..    0.00     0.00     0.00
 Schierle.......    0.00     0.00     0.00
 Schluckspecht    0.00     0.00     0.00
 Druckunddigital...    0.00     0.00     0.00
 Dakek..    0.00     0.00     0.00
 01.07.95    16:05:39    Kassa   Vortag
 Bio.Technol.    0.00     0.00     0.00
 DEKRA......    0.00     0.00     0.00
 Dustbikes......    0.00     0.00     0.00
 Datec....    0.00     0.00     0.00
 Brit.Petrol.    0.00     0.00     0.00
 Düning....    0.00     0.00     0.00
 DSSD........    0.00     0.00     0.00
 WFMG.....    0.00     0.00     0.00
 WZI.....    0.00     0.00     0.00
 Wilholt....    0.00     0.00     0.00
 WYRWAS....    0.00     0.00     0.00
 WDBZ...    0.00     0.00     0.00
 Woitzowitz    0.00     0.00     0.00
 Cellular....    0.00     0.00     0.00
 WJV    0.00     0.00     0.00
 01.07.95    15:49:24    Kassa   Vortag
 Wellenlänge Lövenich-Melwing....    0.00     0.00     0.00
 Weitschies..    0.00     0.00     0.00
 Wendelinushof..    0.00     0.00     0.00
 WJBV......    0.00     0.00     0.00
 Waxart....    0.00     0.00     0.00
 WIT    0.00     0.00     0.00
 Worldfood...    0.00     0.00     0.00
 Westergaar..    0.00     0.00     0.00
 Wetzelmühle...    0.00     0.00     0.00
 Wodew.....    0.00     0.00     0.00
 Cons.ZON.    0.00     0.00     0.00
 Correction..    0.00     0.00     0.00
 WKA Resear.    0.00     0.00     0.00
 CST Entert..    0.00     0.00     0.00
