Seega Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 26.10.95    12:48:17    Kassa   Vortag
 Hühnerställe.........    0.00     0.00     0.00
 HAARFABRIK........    0.00     0.00     0.00
 Hellhund.....    0.00     0.00     0.00
 Hohestraße......    0.00     0.00     0.00
 Heimtierbedarf.........    0.00     0.00     0.00
 HUK........    0.00     0.00     0.00
 Daschke........    0.00     0.00     0.00
 DVZ Dämmstoff Vertrieb.......    0.00     0.00     0.00
 Drehkreuz....    0.00     0.00     0.00
 Drinky....    0.00     0.00     0.00
 DIML.........    0.00     0.00     0.00
 DGS.    0.00     0.00     0.00
 Ezali.    0.00     0.00     0.00
 Esanelle.    0.00     0.00     0.00
 Arcom EDV & Telekommunikations.....    0.00     0.00     0.00
 Aktivmarkt.....    0.00     0.00     0.00
 ASC..    0.00     0.00     0.00
 26.10.95    12:49:24    Kassa   Vortag
 Alliance.Bank...    0.00     0.00     0.00
 Ludger.....    0.00     0.00     0.00
 Dresdn.Dafu.    0.00     0.00     0.00
 LIUZ Vz...    0.00     0.00     0.00
 Lumas....    0.00     0.00     0.00
 Leifert.....    0.00     0.00     0.00
 LHD....    0.00     0.00     0.00
 RJBH....    0.00     0.00     0.00
 RUPS.....    0.00     0.00     0.00
 RIA.........    0.00     0.00     0.00
 Raifeisenmarkt...    0.00     0.00     0.00
 Blattwerk.......    0.00     0.00     0.00
 Backhäuschen St    0.00     0.00     0.00
 Backhäuschen Vz    0.00     0.00     0.00
 Geelink St......    0.00     0.00     0.00
 Geelink Vz......    0.00     0.00     0.00
 26.10.95    12:49:35    Kassa   Vortag
 Genießerland..    0.00     0.00     0.00
 Geobuch.......    0.00     0.00     0.00
 Grabenzentrum...    0.00     0.00     0.00
 Nopotel.....    0.00     0.00     0.00
 Nähstudio....    0.00     0.00     0.00
 nahkauf.........    0.00     0.00     0.00
 Traublinger St......    0.00     0.00     0.00
 Traublinger Vz......    0.00     0.00     0.00
 Cabana Vz......    0.00     0.00     0.00
 checker....    0.00     0.00     0.00
 CISS.....    0.00     0.00     0.00
 k.....    0.00     0.00     0.00
 Sory........    0.00     0.00     0.00
 Staples........    0.00     0.00     0.00
 Suta St.......    0.00     0.00     0.00
 VW Vz.......    0.00     0.00     0.00

 Quelle: Spellauge
