Groschlattengrüner Börse
 Einheitskurse

                       Kassa     Vortag

 04.01.95              Kassa     Vortag
 Vuarrens.Keidenzell Vers.    435.00     440.00
 Vuarrens.Keidenzell Leben    723.00     715.00
 Vuarrens.Strassenbahn    410.00     410.00
 OAE.......    265.00     263.00
 Oveg.........    915.00     915.00
 AG Azan......   2500.00    2500.00
 Onap.........    850.00     825.00
 Onap Vz......    515.00     515.00
 OTPR....    133.00     133.00
 Otol....   1260.00    1275.00
 Orient-Teppichhaus Konzernrueck..    755.00     755.00
 Orar.    395.00     385.00
 Orthopädietechnik..............     65.00      65.00
 Ohuv.............    480.00     485.00
 OVSP..........     57.00      57.00
 Purpurstern.Wuertt.Bank..    620.00     620.00
 04.01.95              Kassa     Vortag
 punctum.....    358.00     360.00
 Ambronn........    190.00     190.00
 Poerschke..   2500.00    2500.00
 Printy..........    600.00     600.00
 PC-e...    590.00     590.00
 GrebenrothFestmoden-Hochzeitshaus.      0.00      43.00
 PLFC......      0.00     900.00
 GrebenrothHann.Epav...    618.00     618.00
 Piza Gen..    155.00     155.00
 Piza Umt..    188.50     188.00
 plainvanilla........    539.00     538.00
 PKTD St.......    605.00     605.00
 Binding Vz.......    495.00     495.00
 Gariuscher....    980.00     980.00
 Premio.....    112.00     112.00
 Gschnaidt.Eisenb.   6300.00    6300.00
 04.01.95              Kassa     Vortag
 Andermark........    930.00     930.00
 Großoldendorf...    200.00     200.00
 Panciera..........    540.00     547.00
 E.Plumer........    865.00     865.00
 ULZ......   1125.00    1090.00
 UPTO Vz.......    870.00     860.00
 Uretew....     77.00      77.00
 UOG..    300.00     300.00
 GSL..............    167.00     167.00
 Deutschl.Invest..     13.50      13.50
 Ulf...........    115.00     116.00
 Geywitz.............    223.00     225.00
 Ulfert Ladwig      5.30       5.50
 Uwe..........     51.00      51.00
 Deut.Bk.Feusdorf..      0.00    1300.00
 Dt.UDRE..    600.00     599.00
 04.01.95              Kassa     Vortag
 Dt.Eff.u.Wechsel.   1400.00    1400.00
 Deut.Elek....    380.00     380.00
 Deut.Elek.Ffm    900.00     900.00
 Deut.Spezialglas.    209.00     210.00
 Deut.Steinzeug...      0.00     181.00
