Jedendorfer Börse
 Ausland / Einheitskurse

                    Kassa     Vortag

 17.07.95             Kassa     Vortag
 Acclaim.........     17.00      18.40
 Adanced Mammogr.      3.20       3.10
 ZMUN...........     90.50      94.80
 Anglo.Jörn.Corp.      0.00      88.00
 Zietz...........      0.00     102.00
 Zaneta..     55.00      55.10
 ZDD.......     84.30      84.30
 Ziervogelzucht.........      0.00       4.90
 ZAMN.      0.00      88.00
 Zeitung..     96.50      96.30
 Zeitungen.........     11.80      11.30
 Zimo-Kopie.....      0.00      22.00
 Aus.Nat.Indust..      1.22       1.23
 Zucki.........     98.00      95.60
 AVIA............     12.90      12.80
 B A T...........      0.00      12.50
 18.12.95             Kassa     Vortag
 Eisenwaren...     34.60      34.40
 Empl.     29.80      29.00
 Epib...     99.20      96.30
 Efene......      0.00      61.10
 Enzan..........     64.00      64.00
 Eral.........     10.40      10.40
 Ewag...........      3.45       3.40
 Bowater.........     48.30      47.50
 Eventsoft      5.10       5.10
 EZFS......     80.70       0.00
 B.A.Embotellad..     34.60      35.20
 Canadian Pioneer      0.00       0.33
 Oseke      0.90       0.90
 Okas.............     53.00      52.00
 Ohmerhof.....     56.00      55.00
 18.12.95             Kassa     Vortag
 Ottilinger...    106.80     106.00
 Oxfam Zeitinger     11.60      11.60
 Code ZUOS......      9.80       9.90
 Onap..........     64.60      65.50
 Comp.Telef.Chile    115.00     112.80
 Okanom      8.70       8.70
 Cristal.Chile...     32.20      31.90
 BioTop...      0.00       2.10
 Schwämmlein........      0.00      25.80
 Bibe.......    108.70     109.20
 B7 Automobile............    105.00     105.00
 Backstage....      0.00      99.40
 Vielerlei.......     54.30      55.60
 blume2000...     46.70      49.60
 Poka.....     34.00      33.90
 Penniger.      0.00      38.10
 18.12.95             Kassa     Vortag
 Pascha...      0.00     105.60
 Plattenrille...     50.00      50.00
 PZBV..      0.00      29.60
 PTL.........     41.80      41.00
 PMC.Germ.Fund.     10.30      10.30
 Piontek........      0.00      32.30
 PUVD...      0.16       0.16
 FVGJFund.     10.70      10.70
 Frizz...     14.10      13.80
 Langenfurth..      0.00      14.10
 Loma......     43.50      44.30
 LSZA..      9.50       9.70
 Greenlight......      1.58       1.50
 Grupo Mexicano..      3.10       3.15
 Grupo Kornkreis..     32.10      30.80
 Lotus.....     20.90      20.90
 18.12.95             Kassa     Vortag
 GT Chile Growth.     56.00      55.00
 LE CROB........     10.30      10.30
 Hi-Rise Recycl..     13.50      13.50
 Homestake Mining      0.00      23.00
 Hungarian Inv...     75.00      75.00
 Wileno.....     13.90      12.90
 A-shop.........     16.00      16.00
 Ahner.Inf      3.13       3.15
 Interact.Flight.      0.00      14.50
 Laborat.Chile...     17.50      17.30
 GTEG..      3.50       3.50
 GutKauf......     13.40      14.00
 Focko........      3.55       3.50
 Lend Lease......     19.90      20.10
 Lihir Gold......      1.63       1.65
 Focko Maurice.....      3.22       3.15
 18.12.95             Kassa     Vortag
 Gihika.....      0.00       0.00
 Gumo.....     20.00      19.40
 Decius......     71.20      76.20
 DME..........     35.70      35.50
 DJT.........     27.40      26.10
 Diepenbrock....     19.50      19.50
 DJHU.    130.00     129.80
 Datufe..      3.75       3.75
 Iseriz On-Line..     75.00      79.50
 Ibeget.......      7.90       7.95
 Next............     10.00      10.00
 IOR.Hill.      3.75       3.75
 NUR Advanced....      5.50       5.45
 Ocean Optique...      3.30       3.30
 ELG Systems..     63.00      61.50
 Organik.........      2.60       2.50
 OTP-Ung.Immerfrisch.      8.90       9.00
 18.12.95             Kassa     Vortag
 FLNM...      0.59       0.63
 Fruchtgummi.      0.00     125.00
 FBG......     10.40      10.40
 Heimenschwand......      7.60       7.80
 Ferenz....      3.50       3.50
 Utermoehle.Valerio.Cement     46.50      46.10
 Protein Design..     25.90      25.70
 Quarterdeck.....      0.00      47.30
 RADA Electronic.      5.50       5.50
 Mesaw..........     37.90      38.00
 MARKTKAUF.     24.00      24.00
 MMA idee!.....     46.00      46.00
 UOL....      0.00      98.70
 UWZO..........     20.00      20.10
 Unas..     13.00      13.00
 UOTB...      0.00      41.70
 Uhrenladen..........      0.00     730.00
 18.12.95             Kassa     Vortag
 Spatializer.....      6.00       5.60
 UPE.........     40.50      40.50
 Spyglass........    133.70     140.50
 Utol Min..      0.00       0.24
 Kornblümchen Russia     19.80      20.00
 KSB.....     64.00      64.00
 KPVO.......     42.00      42.00
 Rumbaum...     85.80      88.50
 markant..........     65.70      66.10
 mientus A.........      0.00      30.00
 mientus B.........      0.00      30.00
 Tratex....     23.00      22.20
 Travelcamp.........      5.90       5.89
 winat...      0.00       8.10
 YPF.............     28.50      28.50
 Spielkiste............     38.00      37.50

 Quelle: mannamia

   M.f.G.

   Josef Tahlmann
   ---------------------------------------------------------------

   Rhqyts@uewv.dvwb.zgp
   85416 Tiefenstein
