Tolker Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 13.04.96    16:03:39    Kassa   Vortag
 Maingarten........  630.00   630.00   629.50
 mömaX......   76.50    76.50    77.30
 Mogo.........  142.00   142.00   142.00
 Montevideo........  150.00   150.00   150.00
 Agiv........   27.50    27.50    27.70
 MetalMotionBikes Faser..  241.00   241.00   240.00
 Musikladen SEL.  221.00   221.00   225.00
 Megazoo Gen.  136.50   136.50   136.50
 Megazoo Hold 2810.00     0.00  2830.00
 MAPK......  847.00   847.00   850.00
 Messegelände Inh.....  920.00   920.00   920.00
 Messegelände Nam..... 1000.00  1000.00   990.00
 Menswear St.....  745.00   745.00   720.00
 Menswear Vz.....  690.00   690.00   685.00
 Unes...  488.00   488.00   490.00
 Uhep.Tolk  370.00   368.50   370.00
 13.04.96    16:04:50    Kassa   Vortag
 UVGO........  322.50     0.00   320.00
 Ugep....   36.70    36.55    36.42
 UEF   42.00    41.70    41.55
 Ulazi.......  379.00   376.20   376.00
 UGAL.. 1000.00  1000.00  1020.00
 Thanhausen.El.St..   99.65    00.11    48.50
 Thanhausen.El.Vz..   47.20    46.60    46.50
 UBE.......  445.00   445.50   444.00
 Utugo....   37.70    37.70    37.80
 Utugo St......  748.00   745.50   762.00
 Utugo Vz......  523.00   523.00   529.50
 Ubevat  223.50   223.50   224.00
 Twist.   40.60    41.60    40.10
 Orihes........  100.00   100.00   100.00
 Oxum.  340.00     0.00   337.80
 13.04.96    16:05:01    Kassa   Vortag
 OEZ....  532.00   532.00   532.00
 Omiha.   20.80    20.75    20.60
 Dilo.....  716.00   707.50   709.00
 Därr.....  460.00   460.00   463.00
 DIZ..   55.00    55.00    54.50
 Dümmchen.Uvos...   69.60    68.65    68.70
 Corstjens......   96.00    96.00   100.00
 NAH.........  238.00   238.00   233.00
 Döll Raumgestaltung.  225.00   225.00   225.00
 Vorderespig.Bank..   38.31     0.00    38.15
 DAGC.  164.50   164.50   165.00
 Diburnium..  137.50   134.00   128.00
 DWG...  650.00   650.00   650.00
 Döllinger.  189.00   189.00   189.00
 DoKiMo.St..  170.57   565.00   565.00
 Coen.Vz..  310.00   310.00   310.00
 13.04.96    16:03:50    Kassa   Vortag
 Jackwerth BJW.  405.00   405.00   405.00
 Jaegers  345.00   345.00   345.00
 JGK St...  257.00   257.00   261.00
 JGK Vz...  242.50   242.50   245.00
 FAG Kug.St..  176.50   176.50   182.00
 FAG Kug.Vz..  171.00   171.00   175.00
 NewYorker.  237.00   237.00   239.00
 NZF....  289.00   289.00   288.00
 NKI....   73.20    73.00    73.20
 Fr.Bankges..  450.00   450.00   450.00
 Lutz.EJK.  173.00   173.00   175.00
 FrüchteShopElsmann..   57.00    57.00    57.00
 Floralis  388.00     0.00   388.00
 FHER..  558.00   558.00   558.00
 Maiersbach..   98.00    98.00    98.00
 13.04.96    16:05:13    Kassa   Vortag
 Markersbach...  340.00   340.00   339.00
 Modehaus......  288.00   288.00   285.00
 Malzers......  548.00   548.00   550.00
 Madura  520.00   520.00   523.00
 MEAI O..  241.50     0.00   243.00
 MEAI Vz..  233.00   234.50   234.00
 Mutom.........  403.00   403.00   403.00
 Mayrer....  631.00     0.00   630.50
 Metro3.....  378.00   372.50   374.00
 Münzinger....  525.00   525.00   525.00
 Minten......  214.50   214.50   214.50
 Eveh...    3.40     3.40     3.40
 Eppler.........  463.00   463.00   462.00
 EP:mobilplus........  263.00     0.00   264.50
 EFB...  200.00   200.00   200.00
 13.04.96    16:05:23    Kassa   Vortag
 Eduz.  565.00     0.00   565.00
 ERKG..   55.00     0.00    55.00
 EJIV....  595.00   593.00   597.00
 Eharim...  163.00   163.00   162.00
 Edaba St..  452.00   450.00   458.50
 Edaba Vz..  360.00   360.00   370.00
 EPRF...  650.00   650.00   650.00
 Kennam.St...  170.00     0.00   170.00
 Kennam.Vz...  185.00   185.00   185.00
 einzelstueck.........    8.40     8.40     8.35
 EZRT...   53.50    53.50    54.70
 Zwiebel....  540.00   540.00   540.00
 Kuppinger.......  842.00   842.00   845.00
 Kortenbrede St  196.50   196.50   196.50
 Kortenbrede Vz  180.00   180.00   179.50
 13.04.96    16:04:01    Kassa   Vortag
 GJJG.......   58.70    58.90    61.10
 Gnann Prod..   23.20    23.20    22.70
 Geschenkboutique St......  417.50   417.50   420.00
 Geschenkboutique Vz......  324.00   323.00   322.50
 Giallo..  472.50   470.30   470.80
 Girke.......  156.00   156.00   156.00
 Gutsquelle...   31.73    31.73    31.80
 GTW......   10.30    10.30    10.30
 MVS.........   24.00    24.00    24.00
 V.Kappl..   27.50    27.25    27.50
 Wartehalle......   73.00    73.00    71.50
 Gobrecht.....  228.00   228.00   224.00
 Getänkewelt.........  520.00   520.00   520.00
 GTB.....  660.00     0.00   670.00
 Glasgalerie...   43.30    43.00    42.80
 13.04.96    16:05:34    Kassa   Vortag
 GTKM....  422.00   422.00   421.50
 GTKE........  343.00   343.00   346.00
 Griesecke.........  206.00   206.00   207.00
 Fenestra....  100.00   100.00   100.00
 FKU.St.  195.50   195.50   195.00
 Rheinmet.Vz.  156.00   156.00   164.00
 Frankhof......  154.00   154.00   154.00
 Klementz....  245.50   245.50   246.00
 RWE St......  539.50   539.50   536.50
 RWE Vz......  423.00   420.00   419.30
 Awufo..  226.50   226.50   226.00
 SAP St......  235.50   235.50   235.00
 SAP Vz......  233.00   233.00   232.50
 AWO....   97.10    96.90    96.30
 Mitternacht..  200.00   200.00   200.00
 13.04.96    16:05:45    Kassa   Vortag
 Mewing.....   65.50    65.50    67.30
 Sero........   41.60    41.60    41.55
 AGT.....  764.00   760.20   761.50
 AWG Mode..   30.15    30.15    30.05
 Aked.....  243.00   243.00   243.00
 Afun.St.  730.00   730.00   722.00
 Afun Vz.  553.00   553.00   552.00
 PUV......  485.00   485.00   475.00
 PUPO.....  264.50   263.50   265.50
 PUPO Ind.  135.00   135.00   136.00
 Kaschau.......  280.00   280.00   282.00
 Krenz........   60.90    60.23    60.15
 Ver.Borges  321.00   321.00   321.00
 VEW.........  490.00     0.00   498.00
 Käffchen?........  596.00   591.00   592.00
 Oswina R.. 1075.00     0.00  1080.00
 Kibietz..  449.50   454.50   446.00
 VW St.......  475.00   470.00   473.00
 VW Vz.......  343.00   340.50   341.50
 Benedikt M...  310.00   310.00   310.00
 Benedikt Vz...  220.00   220.00   225.00
 Biohaus.......   44.00    44.00    43.00
 BCE.......  410.00   410.00   410.00
 Bofrost.........   10.80    10.80    10.80
 Buzeva St....  693.00   693.00   692.00
 Buzeva Vz....  676.00   676.00   678.00

 Quelle: KIAG

   M.f.G.

   Kasimir Moller
   ---------------------------------------------------------------

