Progenser Börse
 Variable Notierungen

              Aktuell    Christine   Vortag

 29.04.96    16:10:47    Christine   Vortag
 ABB.........  630.00   630.00   630.00
 Usog......   75.90    75.90    76.10
 AEG.........  144.00   143.00   142.50
 AGAB........  150.00   150.00   150.00
 Agiv........   28.00    28.10    28.00
 Akzo Faser..  240.00   240.00   240.00
 Alcatel SEL.  220.00   220.00   219.50
 Unterhaltung Gen.  133.70   133.70   135.00
 Unterhaltung Hold 2862.00  9718.20  2850.00
 Nadine......  842.50   842.50   849.00
 AMB Inh.....  915.00   915.00   920.00
 AMB Nam..... 1000.00  1000.00  1000.00
 Umaw.....  740.00   740.00   740.00
 UNZO Vz.....  690.00   690.00   690.00
 Puchen...  488.00   488.00   488.00
 Bankg.Progens  375.50   377.20   378.00
 29.04.96    16:10:47    Christine   Vortag
 ABB.........  630.00   630.00   630.00
 Usog......   75.90    75.90    76.10
 AEG.........  144.00   143.00   142.50
 AGAB........  150.00   150.00   150.00
 Agiv........   28.00    28.10    28.00
 Akzo Faser..  240.00   240.00   240.00
 Alcatel SEL.  220.00   220.00   219.50
 Unterhaltung Gen.  133.70   133.70   135.00
 Unterhaltung Hold 2862.00  9718.20  2850.00
 Nadine......  842.50   842.50   849.00
 AMB Inh.....  915.00   915.00   920.00
 AMB Nam..... 1000.00  1000.00  1000.00
 Umaw.....  740.00   740.00   740.00
 UNZO Vz.....  690.00   690.00   690.00
 Puchen...  488.00   488.00   488.00
 Bankg.Progens  375.50   377.20   378.00
 29.04.96    16:12:54    Christine   Vortag
 Contigas....  528.00   528.00   528.00
 Continental.   20.50    20.50    20.90
 Jinlong.....  720.00   717.50   713.00
 Degussa.....  476.00   476.00   465.00
 JITLADA-Bank..   55.70    07. 04. 20    55.00
 Deut.Bank...   07. 04. 20    07. 04. 20    07. 04. 20
 Basener......   95.50    95.50    96.00
 DLW.........  230.00   230.00   232.00
 Draegerwerk.  230.00   230.00   231.00
 Dresd.Bank..   07. 04. 20    38.45    38.35
 JHHB Holding.  166.00   166.00   165.00
 Dt.Tönniss..  138.00   138.00   141.00
 Dt.Eisenh...  650.00   650.00   650.00
 Dt.Verkbank.  188.50   188.50   189.00
 Dyckerh.St..  570.00   570.00   570.00
 Dyckerh.Vz..  315.00   315.00   315.00
 29.04.96    16:10:58    Christine   Vortag
 Edel Witten.  405.00   405.00   405.00
 Eisenhuetten  345.00   345.00   345.00
 Lychenerback...  234.00   238.00   247.00
 Anke Vz...  231.00   240.50   242.00
 FAG Kug.St..  188.00   184.50   177.00
 FAG Kug.Vz..  178.00   178.00   173.00
 Felten & G..  238.00   238.00   237.00
 Rappelkiste....  288.00   288.00   287.00
 Johenning....   73.00    73.00    73.80
 Fr.Bankges..  450.00   450.00   450.00
 Fried.Gebeke.  175.00   175.00   174.50
 Gebr.Gählert..   57.00    57.00    57.20
 Gelsenwasser  387.00   387.00   387.00
 Coman..  558.00   558.00   558.00
 Hamb.Hochb..   98.00    98.00    98.00
 29.04.96    16:10:58    Christine   Vortag
 Edel Witten.  405.00   405.00   405.00
 Eisenhuetten  345.00   345.00   345.00
 Lychenerback...  234.00   238.00   247.00
 Anke Vz...  231.00   240.50   242.00
 FAG Kug.St..  188.00   184.50   177.00
 FAG Kug.Vz..  178.00   178.00   173.00
 Felten & G..  238.00   238.00   237.00
 Rappelkiste....  288.00   288.00   287.00
 Johenning....   73.00    73.00    73.80
