Maisenhäldener Börse
 Ausland / Einheitskurse

                    Kassa     Vortag

 30.12.94             Kassa     Vortag
 Acclaim.........     17.50      18.60
 Adanced Mammogr.      2.65       2.50
 Ausserhausverkauf...........    104.50     104.30
 Anglo.Dirk.Corp.     84.50      84.50
 ALHV...........    101.50      98.10
 Abede Online..     59.10      59.10
 Avini.......     84.40      80.90
 Automobile.........      5.30       5.30
 Amedi Brands.     84.50      84.50
 Anglerheim..     96.80      95.50
 Alinun.........     11.60      12.00
 Awir.....     22.00      22.00
 Aus.Nat.Indust..      1.10       1.10
 Ansons.........     94.50      94.00
 AVIA............     12.00      12.00
 B A T...........     12.50      12.50
 12.12.95             Kassa     Vortag
 TÜV...     37.10      37.00
 Thräm.     27.60      27.70
 Tuxedo...     95.70      93.60
 TOTAL......     59.70      59.00
 Textilshop..........     67.50      68.00
 Tonton.........     10.10      10.10
 Tomandl...........      3.51       3.45
 Bowater.........     50.70      52.50
 Tuse      0.00       5.50
 Tedy......     88.80       0.00
 B.A.Embotellad..     34.60      34.30
 Canadian Pioneer      0.32       0.32
 Ufak      0.90       0.85
 Ugesu.............     52.50      52.50
 Ulak.....     54.50      54.50
 30.12.95             Kassa     Vortag
 UUZL...    115.90     116.40
 UCPJ A-Z Fahrzeugtechnik     11.40      11.60
 Code Anunal......     10.60      10.40
 UWLM..........     71.00      70.20
 Comp.Telef.Chile    110.70     111.40
 UAEO      8.20       8.20
 Cristal.Chile...     31.20      30.30
 Motec...      2.20       2.20
 Edhofer........     24.50      26.50
 Montevideo.......    111.00     109.20
 MeRoMi............    109.00     109.00
 MVJ....     99.40      99.40
 Ährensache.......     61.20      60.00
 mipri...     50.40      53.60
 Costbar.....     31.50      30.60
 Coiffeur.     41.00      43.20
 12.12.95             Kassa     Vortag
 Caramel...    105.60     105.60
 Cieplik...     46.50      47.50
 CSE..     29.00      27.50
 CBT.........     40.30      40.60
 CMLA.Germ.Fund.     10.20      10.30
 cobero........     32.60      32.60
 Casteel...      0.15       0.25
 First MillepiediFund.     10.80      10.90
 Peugeot...     13.40      13.40
 Steigäcker..     14.10      14.10
 Sing......     48.00      48.00
 Schnaut..      8.70       8.40
 Greenlight......      1.50       1.57
 Grupo Mexicano..      3.10       2.96
 Grupo remsaan..     31.30      31.30
 Sutu.....     20.90      20.90
 12.12.95             Kassa     Vortag
 GT Chile Growth.     54.30      56.00
 Speckhardt........     10.20      10.00
 Hi-Rise Recycl..     13.50      13.50
 Homestake Mining     23.70      24.10
 Hungarian Inv...     74.00      74.00
 Frizz.....     11.70      11.90
 Müssel.........     17.00      17.30
 I.I.S.Intell.Inf      3.17       3.19
 Interact.Flight.     13.60      14.40
 Laborat.Chile...     17.40      17.80
 ZCWE..      3.50       3.50
 Z & W Autoservice......     15.30      15.60
 Norman........      3.40       3.40
 Lend Lease......     20.60      20.60
 Lihir Gold......      1.65       1.60
 Niels Raimund.....      3.26       3.28
 12.12.95             Kassa     Vortag
 Zurawski.....      0.00       0.00
 Zuckerbeck.....     19.40      19.50
 DUAZ......     72.30      71.50
 DILMAC..........     35.70      35.80
 Damax.........     25.60      25.10
 DKH....     19.60      19.50
 DIZ Dougl.    128.50     127.00
 Daßler..      3.80       3.80
 BIBN On-Line..     75.00      73.00
 Bokmeier.......      8.10       7.60
 Next............      9.90       9.90
 boels.Hill.      3.80       3.80
 NUR Advanced....      5.50       5.50
 Ocean Optique...      3.10       3.30
 JCIZ Systems..     67.60      67.40
 Organik.........      3.00       3.50
 OTP-Ung.BärenCompany.      9.30       9.30
 12.12.95             Kassa     Vortag
 Hairpalast...      0.65       0.62
 Harlekin.    126.00     125.00
 HAGU......     10.30      10.40
 Ellikon......      7.60       7.40
 Hutbi's....      3.60       3.66
 Stilkenbäumer.Ivan.Cement     47.00      47.20
 Protein Design..     26.10      26.40
 Quarterdeck.....     49.40      50.50
 RADA Electronic.      5.40       5.30
 KNUF..........     37.00      37.40
 KVLS.     22.70      22.70
 RJB Nabisco.....     44.30      44.30
 Wehrfritz....    100.00      98.30
 Wurch..........     20.50      21.10
 Waahnsinn..     13.00      13.00
 Whiskyscheune...     45.40      42.00
 WohnFunktion..........    730.00     730.00
 12.12.95             Kassa     Vortag
 Spatializer.....      5.80       4.85
 Wasserstart.........     42.00      42.00
 Spyglass........    145.00     142.00
 WeitFinnTor Min..      0.24       0.25
 Reinigungsservice Russia     20.00      19.30
 Rossman.....     63.40      62.00
 Remmlinger.......     40.50      39.00
 FCZ...     85.50      81.00
 Edug..........     65.00      66.00
 Einkaufscenter A.........     30.00      30.00
 Einkaufscenter B.........     30.00      30.00
 NKE....     24.00      24.50
 NTLS.........      5.85       5.90
 RWJT...      8.10       8.10
 YPF.............     28.50      28.90
 Gawez............     37.50      38.00

 Quelle: ETCETERA

   M.f.G.

   David Ulle
   ---------------------------------------------------------------

   Oyisjz@xbxb.vodk.qgz
   44516 Breitenhagen
