Eichentaler Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 01.07.95    16:03:34    Kassa   Vortag
 Pevog........  635.00     0.00   635.00
 POJP......   77.30    77.30    76.70
 POZ.........  142.00     0.00   142.50
 PCZ........  150.00   150.00   150.00
 Agiv........   27.00    26.80    26.20
 PCFK Faser..  240.00     0.00   240.00
 Pentagon.  236.00   236.00   250.00
 PZBO Gen.  136.50   136.50   136.50
 PZBO Hold 2850.00     0.00  2828.00
 PGR......  850.00     0.00   845.00
 P&C Inh.....  920.00   920.00   925.00
 P&C Nam.....  990.00   990.00   990.00
 Puha St.....  715.00   715.00   725.00
 Puha Vz.....  685.00   685.00   680.00
 Jump-in...    0.00     0.00   490.00
 JPZ.Eichental  381.00   379.00   385.50
 01.07.95    15:47:41    Kassa   Vortag
 Jazzy........  322.00   322.00   320.00
 Jannipa....   36.70     0.00    36.75
 Jourdan   41.95     0.00    42.00
 JGWF.......  376.00   374.50   376.00
 Jendrass..    0.00     0.00  1010.00
 Eissen.El.St..   50.00     0.00    52.25
 Eissen.El.Vz..   48.40     0.00    48.95
 Jende.......  430.00   430.00   427.00
 Jehle....   37.60     0.00    37.60
 JNF St......  756.50   757.00   762.00
 JNF Vz......  530.00   530.00   540.00
 JOH  226.00   226.00   225.00
 Eisighof.   42.80     0.00    43.20
 FMGI........  100.00   100.00   100.00
 Ferienspaß.  337.30   337.30   336.50
 01.07.95    15:47:52    Kassa   Vortag
 Florizz....  525.00   525.00   528.00
 Febih.   20.60    20.60    20.60
 MotorCars.....  710.00   710.00   713.00
 MEC.....  466.00     0.00   465.00
 Motorradzubehör..   54.50     0.00    54.45
 Manes.Bank...   69.05     0.00    68.90
 Pollerhoff......  100.00     0.00   100.00
 PAEPCKE.........  243.00     0.00   241.50
 McTramp.  220.00   220.00   220.00
 Altglashütten.Bank..   38.60     0.00    38.65
 Modepunkt.  166.00     0.00   166.00
 Modetreff..  123.00     0.00   124.50
 Mo-Nails...  650.00   650.00   650.00
 Morgenbrot.  189.00   189.00   189.50
 Missimo.St..  550.00   550.00   570.00
 Pacher.Vz..  310.00   310.00   310.00
 01.07.95    15:46:32    Kassa   Vortag
 WKLD Zentralmarkt.    0.00     0.00   405.00
 Wollwurm  345.00   345.00   345.00
 WCVE St...  252.00   252.00   255.00
 WCVE Vz...  242.00     0.00   242.00
 FAG Kug.St..  184.50   184.50   185.00
 FAG Kug.Vz..  175.00   175.00   175.00
 Ecity.  232.00   232.00   233.00
 Edika....  288.00     0.00   289.50
 Epet....   73.00     0.00    73.00
 Fr.Drewe..  450.00     0.00   450.00
 Ingo.Kornkammer.  173.00     0.00   173.50
 Gebr.Mönnigheim..   57.00    57.00    58.00
 Cucinaria  388.00   388.00   388.00
 Croissanterie..  560.00     0.00   558.50
 Vohburg..   98.00    98.00    98.00
 01.07.95    15:48:03    Kassa   Vortag
 Vestenberg...  335.00   335.00   335.00
 Gutsschänke......  298.00   298.00   295.00
 GRAVIS......  546.00   546.00   542.00
 GKUE  530.00   530.00   534.50
 Gander R..  252.50   252.00   257.00
 Gander Vz..  237.00   237.50   239.00
 Gynaidin.........  402.50   402.50   402.00
 GKF....  640.00   640.00   650.00
 Ginada.....  374.00   374.00   376.50
 Guthard....  527.00   527.00   537.00
 Ginada......  214.00     0.00   214.00
 Urif...    3.30     0.00     3.35
 IVG.........  458.00   458.00   457.30
 US-Freizeitshop........  267.00   267.00   267.00
 Kadoh...  193.00   193.00   191.00
 01.07.95    15:48:14    Kassa   Vortag
 Kelpe.  565.00   565.00   565.00
 Käsgen Haus..   53.20    53.20    54.00
 Keramikinsel....  588.00   588.00   587.00
 Ko...  162.00   162.00   162.00
 Kleintierhandlung St..  460.00   453.50   448.00
 Kleintierhandlung Vz..  367.00   367.00   362.00
