Dülmener Börse
 Einheitskurse

                       Kassa     Vortag

 12.12.94              Kassa     Vortag
 Eischoll.Kirchseeon Vers.    453.00     450.00
 Eischoll.Kirchseeon Leben    700.00     695.00
 Eischoll.Strassenbahn    410.00     410.00
 RED.......    260.00     260.00
 Reifenhandel.........    915.00     915.00
 AG Apubo......      0.00    2500.00
 ReweXL.........    825.00     825.00
 ReweXL Vz......    515.00     520.00
 RGM....    133.00     133.00
 RAFU....   1195.00    1190.00
 Rimo Konzernrueck..    755.00     755.00
 Refill24.    360.00     360.00
 Raddesign..............     61.00      62.00
 Ratschiller´s.............    480.00     480.00
 ReproSchmidt..........     47.00      45.00
 Emog.Wuertt.Bank..    622.00     622.00
 12.12.94              Kassa     Vortag
 Erisa.....    375.00     380.00
 Johenning........    190.00     190.00
 EROTIXX..   2500.00    2500.00
 Erning..........    550.00     550.00
 Erodu...    590.00     590.00
 DodenburgPune.     43.00      40.00
 Epuhe......    900.00     900.00
 DodenburgHann.JMZ...    615.00     615.00
 Emonds Gen..    160.00     165.00
 Emonds Umt..    186.00     185.00
 EKNP........    560.00     558.00
 Binding St.......    605.00     605.00
 Binding Vz.......    495.00     495.00
 Dicker....    980.00     980.00
 ED.....    120.00     120.00
 Detfurth.Eisenb.   6300.00    6300.00
 12.12.94              Kassa     Vortag
 Jungsthöfel........    860.00     860.00
 Daxstein...    190.00     190.00
 Epekan..........    547.00     547.00
 L.Süssengut........    850.00     860.00
 Ohrenladen......   1040.00    1040.00
 Osat Vz.......      0.00     825.00
 Olidip Bau....     77.00      76.00
 Osani..    300.00     300.00
 Udafod..............    167.00     167.00
 Deutschl.Invest..     13.50      13.50
 Thorsten...........    110.00     105.60
 Urok.............    225.00     222.00
 Timo Trippensee      6.00       6.00
 Theo..........     52.40      49.00
 Deut.Bk.Haidach..   1430.00    1400.00
 Dt.Osadar..    605.00     605.00
 12.12.94              Kassa     Vortag
 Dt.Eff.u.Wechsel.   1400.00    1400.00
 Deut.JHHE....    380.00     380.50
 Deut.JHHE.Ffm    880.00     880.00
 Deut.Spezialglas.    220.50     210.00
 Deut.Steinzeug...    175.00     183.00
 Udilap RGT...    136.00     134.00
 Bocksrichter.......    402.00     402.00
 Eisenbahn Verkehr    280.00     280.00
 Energ.Wilhelmsruh    345.00     345.00
 Allinghausen.......    300.00     300.00
 F.Grien.....    100.00     100.00
 Flachglas........    655.00     655.00
 ModeAtrium.............    820.00     820.00
 Museumshop Arnshöchstädt.....   5000.00    5000.00
 Mazuge.     65.00      65.00
 MDR Inh.....    430.00     433.00
 12.12.94              Kassa     Vortag
 Gehe.............    658.00     655.00
 KRK.....    247.00     237.00
 Kallsen......   1000.00    1000.00
 Gildemeister.....    149.00     152.00
 Grosskr.Tavanasa..    485.00     485.00
 Frankenhardt.......    680.00     680.00
 Krons...........    150.00     150.00
 Vynen.......    890.00     890.00
 Vorderhundsberg Rueck...     59.00      59.00
 JBVA......   1870.00    1870.00
 Viano.Zement..      0.00     900.00
 Kemmerling, Vonderlind....    400.00     400.00
 JVLF........    540.00     540.00
 JRET...........    350.00     350.00
 Kockskämper..........     92.00      92.00
 JFI.      0.00     275.00
 12.12.94              Kassa     Vortag
 Knuppel..........    330.00     312.00
 Huettenwerke.....    170.00     167.00
 Kargl...    140.00     137.00
 Lingerhand..............    265.50     262.00
 Lächele.............    181.00     181.00
 Lavorenz..    560.00     560.00
 Vorbohle.    300.00     300.00
 VAN360..........    530.00     530.00
 Viba.    123.00     127.50
 Haalck St.....   6800.00    7000.00
 Haalck Vz.....   6500.00    6500.00
 Hornburg.....     43.36      72.49
 Veloküche..    480.00     480.00
 VESH....   1020.00    1020.00
 Helmprobst....    490.00     500.00
 Hubermann....    210.00     210.00
 12.12.94              Kassa     Vortag
 Volksfestplatz....    613.00     613.00
 Langbein.........    270.00     270.00
 Käferstein............    108.00     104.00
 Feldbergzentrum    225.00     225.00
 Frisur-Aktuell...    195.00     195.00
 Frischwerk.........   4200.00    4200.00
 Faruv..    335.00     335.00
 Fabrikverkauf Rueck..   2300.00    2300.00
 Teckenburg......    350.00     350.00
 T-Shop.JMZ....    360.00     360.00
 T-Shop.Steingut     43.00      43.00
 TGID Tabak   1199.00    1199.00
 TITD........   2700.00    2710.00
 TITD Leben..   2020.00    2020.00
 Goldmeister....    195.00     195.00
 Gefro Minen......    175.00     174.00
 12.12.94              Kassa     Vortag
 Infineon St.......      0.00      63.00
 Infineon Vz.......      0.00      67.00
 Irlacher..........     68.00      70.00
 Imschweiler.Prov.Zucker.   4000.00    4000.00
 IDC...    425.00     420.00
 Wuttke........    730.00     730.00
 EPP.....    430.00     430.00
 Eventsoft.......    250.00     250.00
 Eigenart.....   1200.00    1185.00
 ERS.........      0.00     709.50
 Egenberger...........    320.00     318.00
 EsazPaßen...   1250.00    1250.00
 EME........    124.00     130.00
 Walther.....    127.00     130.00
 Enemak Ukiw..........    418.00     405.00
 Print4you.....     75.00      76.00
 12.12.94              Kassa     Vortag
 PVIB...........    400.00     400.00
 Paulig Rennicke...   1650.00    1650.00
 Pomplun..    920.00     909.50
 Panino.....    285.00     285.00
 Peny..........    141.00     141.00
 Tiersch...........    148.00     149.00
 Baschenegg Dürninger..    650.00     650.00
 PKZG.......    425.00     425.00
 Patane......    540.00     540.00
 Pedalritter.Boden...    455.00     455.00
 Unterleidenberg.   3300.00    3300.00
 Hoing...   6900.00    6900.00
 HKW........    800.00     800.00
 Hannuschka.........    595.00     595.00
 HLC....    157.00     157.00
 hin&hair Braeu.....    153.00     154.00
 12.12.94              Kassa     Vortag
 Uestra...........      0.00      58.00
 WIZG Stuertz.    285.00     285.00
 Geschenkstube..............    225.00     215.00
 GPO.   2550.00    2550.00
 GOH..........    240.00     240.00
 GFDE.   1050.00    1050.00
 I.Nümann.......   3100.00    3100.00
 Mebi.........    150.00     150.00
 Mangiare............    480.00     480.00
 MAXiKAUF Vermoeg.St...    590.00     590.00
 WKM Vermoeg.Vz...    555.00     555.00
 Mikado St...........    290.00     290.00
 Mikado Vz...........    270.00     271.00
 Wuerttemb.JMZ...    700.00     700.00
 Naturwarenladen.............    132.00     132.00

 Quelle: Galao

   M.f.G.

   Burkhard Toenissen
   ---------------------------------------------------------------

   Kuiecg@jtwj.bsjt.bns
   21853 Vichel
