Uznacher Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 26.10.95    16:04:01    Kassa   Vortag
 HKN........  620.00   620.00   640.50
 HPZ......   77.00    76.80    76.00
 Hairdesign.........  144.00   143.50   141.00
 Hundetraum........  150.00   150.00   150.00
 Houtermanns........   24.50    24.50    23.90
 Handwerkstatt..  240.00   240.00   240.00
 Heckemüller.  252.00   252.00   255.00
 Hairdesign Gen.  133.50   133.50   133.50
 Hairdesign Hold 2777.00  2750.00  2715.00
 Holzhandlung Gundelach......  811.00   811.00   809.00
 Higl Inh.....  890.00   890.00   880.00
 Higl Nam.....  920.00   920.00   930.00
 Hottenrott St.....  665.00   665.00   650.00
 Hottenrott Vz.....  630.00   630.00   620.00
 Gomili...  500.00   500.00   500.00
 GFBB.Uznach  385.50   380.00   374.00
 26.10.95    16:04:56    Kassa   Vortag
 Gisi........  319.50   319.00   314.50
 Gesundhaus....   35.30    35.05    34.75
 Gadas.   41.41    41.15    40.76
 Gutkauf.......  366.50   372.00   368.50
 Gronewäller..  970.00   970.00   960.00
 Unkel.El.St..   79.01    55.68    49.42
 Unkel.El.Vz..   48.40    48.05    48.30
 Gerich.......  408.00   408.00   407.00
 GamesTower....   37.80    37.70    37.70
 GDVO St......  780.00   775.00   765.50
 GDVO Vz......  545.00   543.00   535.00
 Groneß  224.00   224.00   223.00
 Unterrindal.   39.50    40.90    40.00
 Döllinger........   97.00    97.00    97.00
 Dagner.  333.60   332.60   331.00
 26.10.95    16:05:07    Kassa   Vortag
 DIDN....    0.00     0.00   525.00
 DVD.   20.62    20.62    20.30
 Carisma.....  719.50   718.00   709.50
 CNH.....  451.00   451.00   450.00
 Carré..   53.50    53.50    50.95
 Chocolaterie.Gizu...   68.61    68.20    67.36
 Lubosch......  110.00   110.00   100.00
 LEITHE.........  243.00   243.00   240.00
 Charge.  220.00   220.00   222.00
 Velen.Bank..   70.17    38.85    38.62
 Coiffeur.  169.00   167.00   166.00
 Canapé..  140.50   140.50   140.00
 Caliskan...  650.00   650.00   650.00
 Chocolina.  191.00   191.00   188.00
 Corvette.St..  540.00   540.00   540.00
 Linnebach.Vz..  300.00   300.00   300.00
 26.10.95    16:04:13    Kassa   Vortag
 Kostial Raihnsdorfer.  405.00   405.00   403.00
 KAUN  345.00   345.00   345.00
 Kelaz St...  250.00   250.00   250.00
 Kelaz Vz...  234.00   234.00   235.00
 FAG Kug.St..  764.24   764.24   992.65
 FAG Kug.Vz..  171.00   171.00   170.00
 ISAGRAR.  198.00   196.00   196.00
 Inéz Neuk....  290.00   290.00   290.00
 IURS....   76.00    76.00    76.30
