Britschweilerer Börse
 Ausland / Variable Kurse

              Aktuell    Kassa   Vortag

 13.07.96    15:48:10    Kassa   Vortag
 Dodenhof.........   20.10    20.10    19.90
 Advanced NMR    2.15     2.15     2.25
 Donosti.......  107.30   107.30   104.60
 Akzo........  161.80   161.80   160.00
 dez......    3.20     3.20     3.20
 Delibrium......    6.05     6.05     6.50
 Am.Drug.....    0.76     0.75     0.76
 Am.Expr.Org.   61.80    61.80    62.50
 Dachdeckerei.......   67.50    67.50    67.00
 Dörpmund.....    0.63     0.63     0.68
 DZU.......   57.30    57.30    57.00
 DoppelkornVittorio..   24.50    24.50    24.60
 Durnio.......    2.37     2.39     2.37
 drospa    0.70     0.70     0.70
 Ovel...   12.45    12.45    12.00
 Ogeke..    2.73     2.73     2.70
 14.07.95    15:49:48    Kassa   Vortag
 Bio.Technol.    5.00     5.00     5.00
 OVVV......   76.00    76.00    74.10
 Oveg......  105.40   105.40   104.70
 Boomtown....    8.80     8.80     8.70
 Brit.Petrol.   11.30    11.30    10.90
 Browning....   43.00    43.00    42.20
 Bull........   16.00    16.00    16.50
 Cadence.....   50.20    50.20    48.80
 MFI.....    7.00     7.00     7.10
 Madura....   27.40    27.40    27.20
 Megadent....   77.80    77.80    75.90
 MLN...    1.00     1.00     0.91
 Möwe    6.20     6.20     6.00
 Cellular....   31.50    31.50    30.00
 Central Euro    0.95     0.95     0.95
 28.11.95    15:49:58    Kassa   Vortag
 Muschelknautz indis Kommunikationssysteme....    9.80     9.80     9.80
 Maultaschen-Lädle Manh..   86.50    86.50    86.80
 majaco Fund..   17.30    17.30    16.50
 Marktkieker......  136.50   136.50   128.70
 MAXiKAUF....   73.50    74.00    73.60
 MJA   37.00    37.00    37.30
 Mabip...   15.70    15.70    15.70
 MacBett..   38.40    38.40    39.50
 Markttreiben...  107.00   107.00   107.40
 MGDP.....   31.00    31.00    30.50
 Cons.Ramrod.    1.95     1.95     2.01
 Correction..   43.70    43.70    44.90
 MOGW Resear.   32.20    32.50    31.50
 CST Entert..    0.97     0.97     0.98
 Datapoint...    2.09     2.08     2.10
 Zingaro........   57.60    57.60    56.00
 13.07.96    15:50:10    Kassa   Vortag
 Digital.....   76.00    76.00    75.20
