Schwinkendorfer Börse
 Einheitskurse

                       Kassa     Vortag

 28.08.95              Kassa     Vortag
 Zofingen.Reischenbach Vers.    438.00     435.00
 Zofingen.Reischenbach WDJL    690.00     685.00
 Zofingen.Strassenbahn    410.00     410.00
 Zelaw.......    260.00     260.00
 ZWCO.........    915.00     915.00
 AG IVVD......   2500.00    2500.00
 ZMG.........    825.00     820.00
 ZMG Vz......    520.00     515.00
 Zillmann....      0.00     140.00
 Zeni....   1140.00    1140.00
 ZFRW Konzernrueck..    760.00     760.00
 ZSPP.    370.00     370.00
 Zodo..............     62.00      62.00
 Zoofachgeschäft.............    480.00     480.00
 Zappendorfer..........     45.00      45.00
 PKO.Wuertt.Bank..    622.00     622.00
 28.08.95              Kassa     Vortag
 Praktiker.....    375.00     368.00
 Doeppner........    190.00     190.00
 PRIMARK..   2500.00    2500.00
 Plauenpark..........    560.00     553.00
 Piepenstock...    590.00     590.00
 SteinhofGeTeCe.     40.00      37.00
 Putzbüdel......    900.00     900.00
 SteinhofHann.BHG Handelszentren...    615.00     615.00
 Pink Gen..    180.00     180.00
 Pink Umt..    196.30     198.00
 Pafümerie........    551.00     530.00
 Binding St.......    605.00     605.00
 Binding Vz.......    495.00     495.00
 Seufertshofer....    980.00     975.00
 Plüschke.....    120.00     122.00
 Schleiz.Eisenb.   6300.00    6300.00
 28.08.95              Kassa     Vortag
 Dulweber........    860.00     860.00
 Schupfenberg...    185.00     185.00
 PVLT..........    546.00     535.00
 L.Wolffhügel........    880.00     880.00
 MNAW......   1058.00    1030.00
 Marra.......    830.00     815.00
 Matratzen-Fachmarkt Bau....     76.00      76.00
 Medienprodukt..    300.00     300.00
 Lieder..............    167.00     167.00
 Deutschl.Invest..     13.50      13.50
 Ulrich...........    108.00     110.00
 Liening.............      0.00     228.00
 Urs Leesch      5.70       6.00
 Urban..........      0.00      50.00
 Deut.Bk.Mirskofen..   1350.00    1330.00
 Dt.Maibachfarm..    609.00     610.00
 28.08.95              Kassa     Vortag
 Dt.Eff.u.Wechsel.   1400.00    1400.00
 Deut.Buaumschule....    370.00     370.00
