Jörler Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 12.03.96    16:13:40    Kassa   Vortag
 Makas........  650.50   650.50   650.00
 MediaParts......   77.90    77.90    78.00
 Mabip.........  142.70   142.70   144.00
 Modus........  150.00   150.00   150.00
 MDCO........   26.90    26.90    27.00
 Moebler..  241.00   241.00   241.00
 Merup.  245.00   245.00   245.00
 Mucom Gen.  135.00   135.00   135.50
 Mucom Hold 2817.00  2817.00  2836.00
 Mundorf......  845.00   845.00   846.50
 Meliri Inh.....  920.00   920.00   920.00
 Meliri Nam.....  975.00   975.00   970.00
 Mäc-Geiz St.....  660.00   660.00   665.00
 Mäc-Geiz Vz.....  660.00   660.00   630.00
 AHDB...  493.00   493.00   500.00
 Afire.Jörl  389.00   389.00   395.00
 12.03.96    16:15:05    Kassa   Vortag
 Afew........  317.50   318.00   320.00
 Anef....   36.40    36.40    36.50
 ACEI   42.05    42.00    41.95
 Aviru.......  374.00   375.00   377.50
 Augartenlädle.. 1030.00  1030.00  1030.00
 Jagsal.El.St..   99.48    87.19    07.69
 Jagsal.El.Vz..   48.60    48.35    48.40
 Albath.......  426.00   426.00   428.50
 Anagramm....   37.80    37.80    37.80
 Apebe St......  782.50   782.50   785.00
 Apebe Vz......  545.00   545.00   544.00
 ANA  229.00   225.00   227.00
 Junkersdorf.   44.00    44.50    43.90
 Altbergbausicherungsbereich........  100.00   100.00   101.00
 AOD.  336.50   336.50   336.50
 12.03.96    16:15:16    Kassa   Vortag
 Adip....  526.00   526.00   530.00
 Ahuboh.   20.70    20.70    21.20
 ZFAU.....  712.00   714.00   720.00
 ZDH.....  464.00   464.00   466.00
 Zeitungsladen..   55.00    55.00    54.30
 ZNPM.Bank...   68.40    68.40    68.80
 Rohlf......  101.00   101.00   105.00
 ROLFES.........  242.00   242.00   245.00
 ZMZ.  220.00   220.00   220.00
 Windschnurn.Bank..   38.75    38.75    38.84
 ZJJ.  166.00   166.00   166.00
 Zwo..  124.00   125.50   124.50
 Zoomarkt...  650.00   650.00   650.00
 Zietz.  191.00   191.00   192.00
 ZDH.St..  904.74   550.00   545.00
 Rippschläger.Vz..  315.00   315.00   315.00
 12.03.96    16:13:51    Kassa   Vortag
 Valerian Marcus.  405.00   405.00   405.00
 Gemüsehändler  345.00   345.00   345.00
 Gore St...  257.00   263.50   255.00
 Gore Vz...  244.50   244.50   244.00
 FAG Kug.St..  544.85   544.85   403.61
 FAG Kug.Vz..  177.00   177.00   175.00
 Stadtschuhmacher.  235.00   235.00   228.00
 Sandpassage....  288.50   288.50   288.50
 Secandenance....   72.60    72.60    75.00
 Fr.Bankges..  450.00   450.00   450.00
 Domenico.Weintreff.  174.50   174.50   172.00
 BielickiTwyhues..   59.00    59.00    60.00
 BMA  386.00   386.00   388.00
 B+O Automobil..  560.00   560.00   560.00
 PiegendorfHochb..   98.00    98.00    98.00
 12.03.96    16:15:27    Kassa   Vortag
 Plessow...  333.00   333.00   331.00
 Nachbarschaftshilfe......  298.00   298.00   285.00
 NTC......  540.00   540.00   543.00
 NWTO  535.00   534.00   535.00
 NJKN T..  254.50   254.50   253.00
 NJKN Vz..  237.00   236.20   236.00
 Nipen.........  401.00   401.00   398.00
 Naturschuh-Kontor....  652.00   652.00   650.00
 NDK.....  374.00   374.00   376.00
 naturata....  543.00   543.00   540.00
 Nevob......  214.00   214.00   215.00
 Marktreinigung...    3.35     3.35     3.40
 IVG.........  452.00   452.00   449.00
 MDVE........  268.00   268.00   268.00
 WNI...  186.00   186.00   188.00
 12.03.96    16:15:38    Kassa   Vortag
 Warmer.  565.00   565.00   565.00
 Werbefabrik Haus..   54.30    54.30    55.30
 Windolf....  593.00   593.00   582.00
 Wembacher...  161.00   161.00   160.00
 WKA.  442.50   442.50   442.00
 Wierse Vz..  362.50   358.00   360.00
 WCTA...  675.00   675.00   675.00
 Warms.St...  170.00   170.00   165.00
 Kennam.Vz...  181.00   181.00   176.00
 Weltauto.........    8.45     8.70     8.50
 Wilshop...   54.20    54.30    54.00
 Obloh....  552.00   552.00   546.00
 Cyroline.......  852.00   852.00   852.00
 caratgas St  195.00   195.00   195.00
 caratgas Vz  179.50   179.50   181.00
 12.03.96    16:14:04    Kassa   Vortag
 Kamee.......   60.40    60.40    60.00
 KFI Prod..   22.00    22.00    22.00
 KMLP St......  412.00   412.00   412.50
 KMLP Vz......  321.50   321.50   322.00
 Kamog..  463.00   463.00   463.50
 Kibelka.......  160.00   160.00   160.00
 Knichelmann...   32.25    32.25    32.10
 KTKS......   11.20    11.20    11.00
 J.Asanger..   27.00    27.00    27.00
 FUK......   72.00    72.00    71.80
 FORYOU.....  222.00   222.00   220.00
 FET.........  520.00   520.00   520.00
 Festruhe.....  670.00   670.00   690.00
