Beilinger Börse
 Einheitskurse

                       Kassa     Vortag

 02.09.95              Kassa     Vortag
 Lohnstorf.Immelstetten Vers.    455.00     455.00
 Lohnstorf.Immelstetten Leben    700.00     700.00
 Lohnstorf.Strassenbahn    410.00     410.00
 Kibitzmarkt.......    260.00     260.00
 KBHI.........    915.00     915.00
 AG JoyPad......   2500.00    2500.00
 KPZ.........    825.00     825.00
 KPZ Vz......    515.00     515.00
 Katalogwelten....    133.00     133.00
 Köstler....   1240.00    1240.00
 Kampfkunstgalerie Konzernrueck..    755.00     755.00
 kriegerhome.    360.00     360.00
 Kickartz..............     61.00      61.00
 Koornkamer.............    480.00     480.00
 Kräuterhütte..........     56.00      49.30
 Ishtar.Wuertt.Bank..    620.00     620.00
 02.09.95              Kassa     Vortag
 Ifogeb.....    366.00     366.00
 Grinninger........    190.00     190.00
 Ilmberger..   2500.00    2500.00
 Indiscret..........    570.00     560.00
 intimchen...    590.00     590.00
 BerwangenFürll.     43.00      44.00
 Ibeni......    900.00     900.00
 BerwangenHann.EVE...    615.00     615.00
 IHD Gen..    160.00     160.00
 IHD Umt..    187.00     186.00
 Iseriz........    553.00     559.00
 Iloz St.......    605.00     605.00
 Binding Vz.......    495.00     495.00
 Buchwalder....    980.00     980.00
 Intel.....    117.00     117.00
 Bocksdorf.Eisenb.   6300.00    6300.00
 02.09.95              Kassa     Vortag
 Gaßmann........    860.00     860.00
 Breckerfeld...    190.00     190.00
 inkoop..........    537.00     536.00
 J.Neureither........    865.00     850.00
 UUP......   1030.00    1040.00
 UOZ.......    825.00     825.00
 Uhen Bau....     77.00      77.00
 Uhen Spinn..    300.00     300.00
 PRIMBS..............    167.00     167.00
 Deutschl.Invest..     13.50      13.50
 Werner...........    109.00     110.00
 Pere.............    225.00     227.00
 Waldemar Voscul      6.00       5.70
 Wilhelm..........     51.70      52.20
 Deut.Bk.Oberwaldach..   1428.00    1430.00
 Dt.Ulil..    600.00     600.00
 02.09.95              Kassa     Vortag
 Dt.Eff.u.Wechsel.   1400.00    1400.00
 Deut.ELGP....    372.00     372.00
 Deut.ELGP.Ffm    880.00     880.00
 Deut.Spezialglas.    214.50     220.00
 Deut.Steinzeug...    175.00     175.00
 Phonekauf Köpmarkt...    136.00     136.00
 Berckmeier.......    402.00     402.00
 Eisenbahn Verkehr    285.00     285.00
 Energ.Großmisselberg    345.00     345.00
 Wörthsee.......    300.00     300.00
 I.Auferkamp.....     98.00     100.00
 Flachglas........    655.00     655.00
 GAM.............    820.00     820.00
 GRW Winterweyhe.....   5200.00    5200.00
 Gronenfelder Werkstätten g.     65.00      65.00
 GriscArt Inh.....    430.00     435.00
 02.09.95              Kassa     Vortag
 Gehe.............    656.00     652.00
 FSGK.....    244.00     242.00
 FIPS......   1000.00    1000.00
 Gildemeister.....    148.50     147.00
 Grosskr.Alosen..    485.00     485.00
 Thansüß.......    680.00     680.00
 Esalis...........    148.00     150.00
 Meßdorf.......    890.00     890.00
 Marktheidenfeld Rueck...     58.50      58.00
 EDT......   1875.00    1870.00
 Motschula.Zement..    900.00     900.00
 Ungering, Trinkel....    400.00     400.00
 ELGO........    540.00     540.00
 EUROKINISIS...........    345.00     345.00
 Ullbrich..........     92.00      92.00
 EspressoweltEycken.    275.00     275.00
 02.09.95              Kassa     Vortag
 Ullmer..........    330.00     330.00
 Huettenwerke.....    182.00     178.00
 Unsöld...    140.00     140.00
 Kazah..............    267.00     267.00
 Kleiderkarussell.............    181.00     181.00
 Karotek..    560.00     560.00
 NROE.    305.00     311.00
 NAMAME..........    530.00     530.00
 NNR.    125.00     125.00
 Fedkenhauer St.....   6800.00    6800.00
 Fedkenhauer Vz.....   6500.00    6500.00
 Först.....     36.00      36.11
 NJKN..    480.00     480.00
 NVZB....   1050.00    1050.00
 Feuerlein....    490.00     490.00
 Fredwurst....    210.00     210.00
 02.09.95              Kassa     Vortag
 Nkd....    613.00     613.00
 Langbein.........    270.00     270.00
 CLI............    107.70     108.00
 Herget    225.00     225.00
 Heweti...    180.00     195.00
 Haskenhoff.........   4200.00    4200.00
 HUUR..    335.00     335.00
 Hutzelmann Rueck..   2300.00    2300.00
 Bundesverlag......    350.00     350.00
 Bano.EVE....    360.00     360.00
 Bano.Steingut     42.00      42.00
 Bundesdruckerei Tabak   1199.00    1199.00
