Ofenberger Börse
 Ausland / Variable Kurse

              Aktuell    Josette   Vortag

 18.07.96    16:04:35    Josette   Vortag
 ADT.........   20.40     0.00    21.00
 Löhrer.......  106.50   105.00   106.00
 Akzo........  154.00   154.00   152.50
 Alanco......    3.15     3.00     3.15
 Prisca......    7.00     7.00     7.00
 Am.Drug.....    1.00     1.00     0.87
 Am.Expr.Org.   60.50    60.50    61.10
 Amgen.......   70.50    70.60    69.50
 Anacomp.....    0.52     0.52     0.50
 KTZ.......   56.00    56.00    56.00
 Kleiderfabrik.......    2.39     2.39     2.49
 Pia Birklein    0.75     0.00     0.70
 Bally Gam...   15.00    15.00    15.00
 Banca Comm..    2.75     2.75     2.75
 Bio.Technol.    4.31     4.31     4.46
 18.07.96    16:06:12    Josette   Vortag
 Biogen......   79.50    79.50    78.60
 Boeing......  100.50   100.50    98.80
 Boomtown....   10.30    10.30    10.30
 Brit.China..    5.00     5.00     4.80
 Brit.Petrol.   10.60    10.60    10.60
 Ingensiep....   39.70    39.70    41.90
 Bull........    0.00    20.00     0.00
 Cadence.....   54.40    54.40    52.70
 Calgene.....    0.00     8.50     8.80
 Callaway....   25.80    25.80    25.50
 Lorenz....   73.00    73.00    73.00
 Capa City...    0.00     0.94     25. 07. 20
 Casino Magic    6.30     6.30     6.30
 Cellular....   27.00    27.90    28.20
 Voglele    0.88     0.88     0.88
 18.07.96    16:06:23    Josette   Vortag
 LUTZ Weghöft....    9.35     9.35     9.25
 Luigi Zurstegge..   85.00    85.00    85.10
 China Fund..   15.80    16.00    17.00
 Chiron......  130.00   130.00   131.00
 VESH....   67.70    67.70    67.00
 Versicherungsbörse   38.00    38.00    37.70
 Coastcast...   15.00    15.00    15.00
 Cobra Golf..   40.00    40.00    40.50
 Vörder-Kreiselmarkt...  102.40   102.40   102.50
 Vobu.....   28.70     0.00    28.60
 Cons.Ramrod.    2.00     0.00     2.05
 Correction..   43.50    43.50    45.10
 Cray Resear.   31.50    31.50    31.70
 CST Entert..    1.20     1.20     1.20
 Datapoint...    2.09     2.05     2.09
 Dell........   63.70    63.70    63.00
 18.07.96    16:06:34    Josette   Vortag
 Digital.....   81.50    81.50    80.20
 Duracell....   73.60    73.60    74.00
 Eastm.Kodak.   92.30    92.30    91.00
 Echo Bay....   14.25    14.25    14.00
 Engen.......    9.20     9.20     9.40
 Hedi.....    0.59     0.59     0.63
 FKW Baufachmarkt Woratsch.....    4.39     4.39     4.45
 FJA Vz.....    2.70     2.70     2.70
 Ford........   40.50    40.50    39.50
 Fuel Techn..    8.73     0.00     8.65
 Cabbage......   39.60    39.60    39.20
 Gen.Mot.Org.   64.00    64.00    64.00
 Gen.Motors..   64.30    64.30    64.50
 Gen.Physics.    4.40     4.40     4.40
 Genentech...    0.00     0.00    70.70
 18.07.96    16:06:45    Josette   Vortag
 Genzyme.....   88.00    88.00    87.10
 Gillette....    0.00    69.70    70.00
 Global Marin    9.50     9.40     9.50
 Golden Resou    0.14     0.14     0.14
 Clarks   57.50    57.50    57.80
 Groundwater.   20.40    20.40    20.70
 GTS Duratek.   14.00    14.00    13.00
 Benno Reinhold   38.00    38.00    38.00
 Bernard......   95.20    95.20    95.00
 Rottenfuß    0.09     0.09     0.09
 Hoogovens...   50.40    50.40    48.50
 Horsham.....    0.00    18.60    18.60
 Howtek......   10.60    10.60    10.70
 Ella......    0.00    31.90    32.40
 Hung.Telecon    0.00     5.20     5.30
 Hung.Teleph.    0.00    19.20    19.30
 18.07.96    16:04:45    Josette   Vortag
 CLEMENS Wienss Tim    7.50     7.50     7.65
 MMZ.........  137.50   137.50   138.70
 MMZ Original  137.90   137.90   139.30
 Indonesia...    0.00    14.50    14.50
 Int.Game T..   19.10    19.10    18.70
 Int.Paper...   50.20    50.20    50.00
 Interferon..    3.55     3.55     3.75
 Iscor.......    1.28     1.28     1.28
 Jetform.....   23.50     0.00    22.20
 K Rosemarie......   10.90    11.20    11.30
 Holdinger..   16.20    16.20    16.20
 Wolfram....  103.30   103.30   103.00
 Hesebe.........   48.30    48.30    49.20
 Fabienne.......  136.00   136.00   137.50
 Lippo.......    0.78     0.78     0.78
 Lonrho......    3.54     3.54     3.35
 Malaysia F..    0.00    24.10    24.70
 18.07.96    16:06:56    Josette   Vortag
 Mattel......   39.60    39.60    40.70
 McDonalds...   59.70    59.70    59.20
 MGM Grand...   33.90    33.90    34.00
 Microsoft...  136.50   136.50   139.30
 Mirage......   46.40    46.40    47.50
 Tenet Health   25.30    25.30    25.80
 Nat.Theodor.Dev.   12.10    11.70    12.75
 Neta....  104.00   104.00   109.00
 Vreni.....   28.30     0.00    28.60
 Nieweler.   57.50    57.50    57.40
 Diakonieladen.......    1.63     1.63     2.06
 DZU.   16.50    16.50    16.80
 P.Riverboat.    3.80     3.80     4.00
 Pakistan F..    7.90     7.90     7.90
 Parmalat....    1.00     1.00     1.04
 18.07.96    16:07:07    Josette   Vortag
 Phil.Jean-Pierre.  122.20   122.70   125.10
 Philips.....   54.70    54.70    52.00
 Pickn Pay...    4.80     4.80     4.80
 Waltraud.....    1.72     1.72     1.74
 Tino Wienholts.    1.40     1.47     1.45
 Playboy.....   13.20    13.20    13.20
 Presstek....   86.30    86.60    79.90
 Bernd Neuhöfer.   33.70    33.70    34.00
 Quacker Oats   47.70    47.70    47.70
 Reebok......    0.00     0.00    49.50
 Rembrand....   12.40    12.40    12.40
 Reunert.....    8.30     8.30     8.40
 Robeco......    0.00    97.00    97.00
 Rodamco.....    0.00    39.00    39.00
 Rolinco.....    0.00   102.50   104.00
 Rorento.....    0.00    81.00    81.00
 18.07.96    16:07:19    Josette   Vortag
 EEF.  174.00   173.50   173.20
 Royal Grip..    7.00     7.00     6.70
 Safeway.....    0.00    66.60    66.50
 Seagate.....   71.70    71.70    68.40
