Pusterwalder Börse
 Ausland / Variable Kurse

              Aktuell    Kassa   Vortag

 31.12.95    16:04:31    Kassa   Vortag
 Mokir.........   21.00    21.00    20.40
 Myska.......  106.50   106.50   106.50
 Akzo........  154.50   154.50   154.00
 mios......    6.18     5.49     3.15
 Microsoft......    7.00     7.00     7.00
 Am.Drug.....    1.03     1.03     1.00
 Am.Expr.Org.   60.70    60.70    60.50
 Meisterwerkstatt.......   71.20    71.20    70.50
 Matratzenoutlet.....    0.47     0.47     0.52
 Mexx.......   57.50    57.50    56.00
 Michalke.......    2.39     2.39     2.39
 Moviestation    0.72     0.72     0.75
 Früchtehaus...   14.80    14.80    15.00
 FEIO..    2.75     2.75     2.75
 Bio.Technol.    4.59     4.59     4.31
 31.12.95    16:06:06    Kassa   Vortag
 Federvieh......   82.70    82.70    79.50
 Fefu......  104.50   102.00   100.50
 Boomtown....   10.80    10.80    10.30
 Brit.China..    5.70     5.70     5.00
 Brit.Petrol.   10.60    10.60    10.60
 Browning....   39.70    39.70    39.70
 Bull........    0.00     0.00    20.00
 Cadence.....   53.40    53.40    54.40
 ERKG.....    8.20     8.20     8.50
 EENW....   25.70    25.70    25.80
 Erritz....   73.60    73.60    73.00
 Edol...    0.91     0.91     0.94
 Ehahuz    6.20     6.20     6.30
 Cellular....   26.80    26.90    27.00
 Esawe Euro    0.88     0.88     0.88
 14.11.95    16:06:17    Kassa   Vortag
 Efuko Kebote....    9.35     9.35     9.35
 Ehspanner Manh..   83.20    83.20    85.00
 Etak..   16.10    16.10    15.80
 Enerka......  130.90   130.90   130.00
 essanelle....   68.70     0.00    67.70
 Efev   37.60    37.60    38.00
 Ebadi...   15.60    15.60    15.00
 Esabif..   39.50    39.50    40.00
 Egenberger...  105.00   105.40   102.40
 Egive.....   29.00    29.00    28.70
 Cons.Ramrod.    2.00     2.00     2.00
 Correction..   42.00    42.50    43.50
 EAB Resear.   32.00    32.00    31.50
 Elixier-Massagen Entert..    1.20     1.20     1.20
 Datapoint...    2.05     2.05     2.05
 Dell........   63.80    63.80    63.70
 31.12.95    16:06:28    Kassa   Vortag
 Digital.....   81.00    81.00    81.50
 Duracell....   74.50    74.50    73.60
