Molzener Börse
 Ausland / Variable Kurse

              Aktuell    Patricia   Vortag

 25.03.96    16:14:18    Patricia   Vortag
 ADT.........   21.00    21.00    20.00
 Dieckmann.......  106.00   106.00   106.00
 Akzo........    0.00     0.00   152.80
 Alanco......    3.15     3.15     3.30
 Simone......    7.00     7.00     7.00
 Am.Drug.....    0.87     0.88     0.88
 Am.Expr.Org.   61.10    61.10    59.00
 Amgen.......   69.50    69.10    67.50
 Anacomp.....    0.50     0.45     0.50
 Kopfsalat.......   56.00    56.00    56.20
 Küchenmarkt.......    2.49     2.59     2.90
 Atlan.Gold..    0.70     0.68     0.70
 Bally Gam...   15.00    15.00    15.00
 Banca Comm..    2.75     2.75     2.78
 Bio.Technol.    4.46     4.46     4.60
 25.03.96    16:16:21    Patricia   Vortag
 Biogen......   78.60    78.60    80.50
 Boeing......   98.80    98.80    99.50
 Boomtown....   10.30    10.30    11.25
 Brit.China..    4.80     4.60     5.60
 Brit.Petrol.   10.60    10.60    10.60
 Penther....   41.90    41.90    42.00
 Bull........    0.00     0.00     0.00
 Cadence.....   51.70    51.70    52.00
 Calgene.....    8.80     9.00     9.00
 Callaway....   25.50    25.50    26.00
 Ingmar....   73.00    73.00    74.00
 Capa City...    04. 04. 20     04. 04. 20     1.00
 Casino Magic    6.30     6.30     6.30
 Cellular....   28.20    28.10    26.20
 perlenpaula    0.88     0.88     0.88
 25.03.96    16:16:32    Patricia   Vortag
 INGMAR Trommenschläger....    0.00     0.00     9.20
 Ivan Küter..   85.10    85.10    85.00
 China Fund..   17.00    17.00    16.60
 Chiron......  131.00   131.00   127.10
 Preisparadies....   67.00    67.00    69.60
 Pflips'   37.70    37.70    37.30
 Coastcast...   15.00    15.00    16.40
 Cobra Golf..   40.50    40.50    41.10
 Prooptik...  102.50   102.50   103.50
 Profil.....   28.60    28.60    29.00
 Cons.Ramrod.    2.05     2.00     2.05
 Cor.Co.Amer.   45.10    45.10    45.00
 Cray Resear.   31.70    31.70    32.70
 CST Entert..    1.20     1.20     1.22
 Datapoint...    2.09     2.09     2.14
 Dell........   63.00    63.00    62.90
 25.03.96    16:16:43    Patricia   Vortag
 Digital.....   80.20    80.20    79.70
 Duracell....   74.00    74.00    74.60
 Eastm.Kodak.   91.00    91.00    91.00
 Echo Bay....   14.00    14.00    13.85
 Engen.......    0.00     0.00     9.35
 Marlis.....    0.63     0.65     0.68
 Emegi.....    0.00     0.00     4.60
 ERSU Vz.....    2.70     2.70     2.82
 Fidelity.Med    0.00     0.00     0.00
 Ford........   39.50    39.50    40.50
 Fuel Techn..    8.65     8.68     8.90
 APZ......   39.20    39.20    39.80
 Gen.Mot.Org.   64.00    64.00    63.20
 Gen.Motors..   64.50    64.50    63.70
 Gen.Physics.    4.40     4.40     4.50
 Genentech...    0.00     0.00    70.70
 25.03.96    16:16:54    Patricia   Vortag
 Genzyme.....   87.10    87.10    87.50
 Gillette....   69.80     0.00    69.50
 Global Marin    9.50     9.50     9.50
