Peckelsheimer Börse
 Einheitskurse

                       Kassa     Vortag

 01.11.96              Kassa     Vortag
 Dizy.Udorf Vers.      5.80     039.75
 Dizy.Grashopper Leben      0.00     648.00
 Dizy.Strassenbahn      0.00     465.00
 Achtern.......    270.00     270.00
 AC.........      0.00     915.00
 ALEW......      0.00    2500.00
 Armgardt.........      0.00     810.00
 Armgardt Vz......      0.00     510.00
 Aniko....      0.00     140.00
 allerlei....      0.00    1140.00
 Ahog Konzernrueck..      0.00     755.00
 Avol.      0.00     370.00
 Avalance..............      0.00      60.00
 AWS.............    510.00     510.00
 Antiquitätendiele..........      0.00      47.00
 Wertstoffhof abfallGut.Wuertt.Bank..      5.68     891.47
 01.11.96              Kassa     Vortag
 Dizy.Udorf Vers.      5.80     039.75
 Dizy.Grashopper Leben      0.00     648.00
 Dizy.Strassenbahn      0.00     465.00
 Achtern.......    270.00     270.00
 AC.........      0.00     915.00
 ALEW......      0.00    2500.00
 Armgardt.........      0.00     810.00
 Armgardt Vz......      0.00     510.00
 Aniko....      0.00     140.00
 allerlei....      0.00    1140.00
 Ahog Konzernrueck..      0.00     755.00
 Avol.      0.00     370.00
 Avalance..............      0.00      60.00
 AWS.............    510.00     510.00
 Antiquitätendiele..........      0.00      47.00
 Wertstoffhof abfallGut.Wuertt.Bank..      0.00     625.00
 01.11.96              Kassa     Vortag
 Isenhut........      0.00     730.00
 Petzlsdorf-Kluckhuhn...      0.00     185.00
 WRN..........      0.00     570.00
 C.Pätzel........      0.00     870.00
 HUUR......      0.00    1080.00
 Hyunday.......      0.00     825.00
 Hatz....     76.00      76.00
 H@ppy-net..    280.00     280.00
 Einkaufstreff..............      0.00     167.00
 Deutschl.Invest..      0.00      13.50
 Alfred...........      0.00     113.00
 Egafa.............      0.00     225.00
 Alfons Schneiderlöchner      7.50       7.50
 Anton..........      0.00      52.50
 Deut.Bk.Zennern..      0.00    1290.00
 Dt.Haix-Fabrikverkauf..      0.00     620.00
 01.11.96              Kassa     Vortag
