Walkshamer Börse
 Ausland / Variable Kurse

              Aktuell    Thérèse   Vortag

 30.10.96    14:46:43    Thérèse   Vortag
 ADT.........   19.30    19.30    19.50
 Flösse.......   99.00    99.00    97.40
 Akzo........  159.00   159.00   160.00
 Alanco......    3.18     3.18     3.25
 Olga......    6.50     6.40     6.20
 Am.Drug.....    0.65     0.65     0.70
 Am.Expr.Org.   57.00     0.00    57.80
 Amgen.......   67.90    67.90    66.00
 Anacomp.....    0.62     0.60     0.63
 Footlocker.......   50.40    50.40    49.50
 Florales.......    3.19     3.19     3.20
 Atlan.Gold..    0.65     0.65     0.70
 Bally Gam...   14.00    14.00    14.70
 Banca Comm..    2.67     2.67     2.75
 Bio.Technol.    4.60     4.60     4.70
 30.10.96    14:48:32    Thérèse   Vortag
 Biogen......   83.10    83.10    82.00
 Boeing......   94.50    94.50    95.50
 Boomtown....   10.30    10.30    10.50
 Brit.China..    5.80     5.80     5.95
 Brit.Petrol.   10.40    10.40    10.30
 Nigemeier....   40.80    40.80    39.90
 Bull........    0.00     0.00     0.00
 Cadence.....   69.70    69.70    70.60
 Calgene.....    9.00     9.00     9.00
 Callaway....   22.70    22.70    22.40
 Mike....   74.20    74.20    74.00
 Capa City...    19. 11. 20     19. 11. 20     19. 11. 20
 Casino Magic    6.50     6.50     6.10
 Cellular....   24.80    24.50    24.80
 Pedalritter    0.94     0.94     0.94
 30.10.96    14:48:42    Thérèse   Vortag
 MAIK Mühlbeyer....    8.90     8.90     8.85
 Maurice Brezger..   82.00    82.00    82.60
 China Fund..   16.00    16.00    16.80
 Chiron......  124.00   124.00   120.80
 Palk....   74.00    74.00    74.50
 Postenrieders   37.00    37.00    36.70
 Coastcast...   15.00    15.00    13.70
 Cobra Golf..   37.30    37.30    38.00
 PHONELAND...  102.50   102.50   100.20
 Pede.....   26.40    26.40    25.50
 Cons.Ramrod.    2.39     2.40     2.08
 Cor.Co.Amer.   75.20    75.20    74.50
 Cray Resear.   29.40    29.40    28.40
