Kromberger Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 21.01.96    15:57:31    Kassa   Vortag
 mediarent24h........  616.00   616.00   616.00
 monte24.........  134.00   134.00   135.00
 MTHB........  150.00   150.00   150.00
 Agiv........   29.00    29.00    29.00
 MRBT..  243.00   243.00   243.00
 MotoYama.....  245.00   245.00   245.00
 minimeter Gen.  131.00   131.00   131.00
 minimeter Hold 2602.00  2584.00  2597.00
 Mahl......  821.00   821.00   823.00
 Mahan Inh.....  890.00   890.00   885.00
 Mahan Nam.....  940.00   940.00   930.00
 MKL St.....  752.00   752.00   720.00
 MKL Vz.....  710.00     0.00   700.00
 AFB...  500.00   500.00   500.00
 artecom.Kromberg  414.50   414.00   414.50
 21.01.96    15:59:42    Kassa   Vortag
 Audioviel........  311.00   310.50   309.00
 Abeb....   33.84    33.78    34.04
 Awut   39.87    39.85    39.92
 AWD.......  373.50   375.00   373.50
 Autotag..  973.00   973.00   950.00
 Körne.El.St..   48.80    48.50    48.75
 Körne.El.Vz..   46.30    46.15    46.50
 ATWG.......  400.00   400.00   399.00
 Aweli....   37.50    37.50    37.50
 Airparkprofis St......  753.50   753.50   755.00
 Airparkprofis Vz......  531.00   531.00   532.00
 Ageh  234.00   236.00   245.00
 Krön.   44.90    45.00    44.30
 Tabakbeutel....    0.00     0.00  2600.00
 TopZoo........  110.00   110.00   110.00
 21.01.96    15:59:52    Kassa   Vortag
 TDV.  324.10   324.00   325.80
 T....  518.00   518.00   518.00
 tesco.   20.00    19.80    19.80
 JV-Autoservice.....  676.00   675.00   679.50
 JABH.....  446.00   446.00   451.00
 JHC..   55.20    55.20    54.95
 JUNP.Bank...   63.65    63.68    63.81
 Wynant......  110.00   110.00   113.50
 WELLNHOFER.........  260.00   260.00   263.00
 JLML.  240.00   240.00   240.00
 Oberaschach.Bank..   56.89    37.45    37.64
 JaWoll.  166.00   170.00   170.00
 W.Kätker St  138.00   138.00   140.00
 JDC.  190.00   190.00   190.00
 21.01.96    15:57:42    Kassa   Vortag
 Waltemade.St..  023.83   023.83   023.83
 Waltemade.Vz..  342.00   342.00   342.00
 Kunath Witten.  410.00   410.00   410.00
 Eisenhandel.  660.00   660.00   650.00
 Eisenhuetten  345.00   345.00   345.00
 Kachouri St...  258.00   258.00   258.00
 Kachouri Vz...  253.00   253.00   253.00
 Olivier.Schuhreparaturdienst.  186.00   186.00   188.00
 ENW.  222.00   222.00   222.00
 Eschbachalpe.........  288.00   284.00   280.00
 Eurospar....   76.50    76.50    76.90
 Fr.Bankges..  450.00   450.00   450.00
 IVRG  400.00   400.00   400.00
 Iwiga..  590.00   590.00   590.00
 Willings..  100.00   100.00   100.00
 21.01.96    16:00:03    Kassa   Vortag
 Winnekendonk...  330.00   330.00   331.00
 Matzack....  290.00   290.00   300.00
 Meyro......  518.00   518.00   518.50
 MCNE  555.00   555.00   551.00
 MCNE.  255.00   260.00   263.00
 Manka Vz..  245.00     0.00   248.50
 MSF.........  386.00   386.00   384.00
 Metker....  555.00   555.00   552.00
 Migos.....  374.50   374.00   367.00
 Mutom....  524.20   523.00   530.00
 Meuten......  214.00   214.00   215.00
 Zeitzeichen...    3.20     3.20     3.30
 ZLT.........  461.00   461.00   468.00
 ZSZP........  263.00   263.00   260.00
 Streuobstmosterei...  180.00   180.00   180.00
 21.01.96    16:00:14    Kassa   Vortag
 Schuhparadies.  568.00   568.00   565.00
 Striebing Haus..   55.50    55.50    55.60
 SHUI....  609.50   609.50   609.50
 Senfladen...  162.00   162.00   163.00
 Streuobstmosterei.  480.00   480.00   478.50
 SiGoTi Vz..  374.00   374.00   374.00
 SilberArt...  680.00   680.00   680.00
 Kennam.St...  063.70   306.16   545.09
 Kennam.Vz...  190.00   190.00   186.00
 KHD.........    9.20     9.20     9.50
 Pechler...   57.00    56.00    62.50
 Kugelf.St...  189.00   189.00   189.00
 Kugelf.Vz...  181.00   181.00   181.00
 Talam....  555.00   555.00   555.00
 Cetin's.......  862.00   862.00   850.00
 21.01.96    15:57:52    Kassa   Vortag
 cibaria St  196.50   196.50   196.00
 cibaria Vz  179.00   179.00   177.00
 Maerz.......   60.00    60.00    60.20
 rmk-Reiseservice St......  407.50   407.50   407.70
 rmk-Reiseservice Vz......  317.00   317.00   316.00
 RBRA..  462.50   463.00   462.00
 RKNK.......  167.00   167.00   167.00
 Réza...   29.10    29.00    29.12
 RWO24......    9.70     9.70     9.89
 T.Jaerling..   24.50    25.00    24.70
 ALHV...    0.00     0.00   143.00
 Falar.....  222.50   222.50   219.00
 Foke.........  515.00   515.00   510.00
 Fegin.....  648.00   648.00   645.00
 Fenske....  395.00   395.00   402.50
 21.01.96    16:00:24    Kassa   Vortag
 FJPR........  388.00   388.00   392.00
 FWG.........  222.00   222.00   221.00
 Bergetappe....  100.00   100.00   100.00
 Balkenholl.Ci.  610.89     1.41   478.89
